数据库：分省年度数据
指标：住本乡、镇、街道，户口待定男性人口数(人口抽样调查)(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,18,14,27,31,464,22,38,45,24,,36,27,39,21,436,21,24,31
天津市,,,6,18,9,6,275,7,7,15,15,,5,2,2,12,244,13,14,15
河北省,,,36,56,159,276,1555,116,146,186,279,,184,78,117,129,1026,123,114,79
山西省,,,37,57,83,56,881,68,74,98,88,,112,89,94,93,1152,104,166,134
内蒙古自治区,,,27,25,54,33,549,42,48,54,58,,36,39,57,38,1031,83,99,103
辽宁省,,,14,17,39,29,771,33,26,33,50,,45,49,57,69,941,45,66,83
吉林省,,,12,14,26,13,308,25,27,30,45,,29,25,27,41,278,14,11,28
黑龙江省,,,14,16,88,33,847,29,25,32,66,,45,39,54,71,694,67,121,39
上海市,,,15,18,39,21,396,31,20,31,34,,11,17,22,16,264,37,27,61
江苏省,,,85,90,190,99,1741,160,189,249,318,,249,195,157,167,3277,280,195,260
浙江省,,,80,108,129,81,1743,79,111,145,148,,166,115,131,126,2339,175,102,130
安徽省,,,88,128,269,96,1929,186,240,309,338,,189,136,142,155,1496,164,156,123
福建省,,,106,122,233,163,2970,223,205,226,227,,213,209,201,137,2114,139,100,99
江西省,,,50,107,121,64,1277,86,146,191,288,,200,136,142,152,2233,163,163,210
山东省,,,124,88,213,103,1420,204,233,305,239,,165,132,170,124,2196,160,103,75
河南省,,,39,97,195,87,2548,122,155,241,306,,197,119,122,116,2351,154,128,83
湖北省,,,57,78,170,105,2273,123,156,200,247,,126,66,78,79,939,69,112,88
湖南省,,,88,101,141,167,1950,135,147,207,223,,166,68,65,100,1177,118,114,122
广东省,,,313,269,449,279,6342,535,688,686,605,,396,338,370,387,4749,511,440,351
广西壮族自治区,,,65,107,208,100,2752,192,254,289,290,,186,129,102,87,1405,130,121,109
海南省,,,17,32,45,21,490,34,24,41,56,,49,41,27,31,393,41,35,38
重庆市,,,26,39,79,98,1025,43,36,50,66,,70,55,51,50,830,39,39,54
四川省,,,63,81,156,99,3017,209,272,256,227,,295,135,264,251,3107,168,175,197
贵州省,,,69,70,137,83,1879,154,140,203,271,,219,113,108,124,1464,83,109,124
云南省,,,61,52,103,93,1720,164,161,185,230,,92,81,89,113,1527,108,133,119
西藏自治区,,,3,3,19,7,106,49,7,8,14,,3,4,7,5,75,2,1,3
陕西省,,,26,37,76,34,1022,46,73,77,73,,84,80,83,91,894,119,98,92
甘肃省,,,19,37,58,33,748,50,56,41,84,,42,19,50,34,691,44,56,42
青海省,,,9,12,12,15,190,16,23,15,23,,19,13,18,18,280,18,31,29
宁夏回族自治区,,,3,5,12,7,144,10,17,19,26,,13,17,17,25,395,31,35,30
新疆维吾尔自治区,,,21,40,69,75,1126,132,112,108,122,,47,33,30,63,905,33,62,30
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
