数据库：分省年度数据
指标：居住在港澳台或国外，户口在本乡、镇、街道女性人口数(人口抽样调查)(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,77,78,67,50,814,26,18,24,21,,,,,,28,,,
天津市,,,9,6,6,6,107,7,6,6,7,,,,,,4,,,
河北省,,,3,3,9,6,97,4,9,,5,,,,,,8,,,
山西省,,,13,4,,1,28,2,1,2,2,,,,,,1,,,
内蒙古自治区,,,5,5,2,2,40,1,2,4,6,,,,,,4,,,
辽宁省,,,60,88,86,22,543,49,30,27,36,,,,,,19,,,
吉林省,,,253,220,57,66,832,108,106,79,75,,,,,,15,,,
黑龙江省,,,21,25,20,10,645,12,6,26,36,,,,,,14,,,
上海市,,,68,82,87,87,1273,35,37,46,46,,,,,,16,,,
江苏省,,,47,51,55,27,617,52,54,45,39,,,,,,50,,,
浙江省,,,162,150,88,58,2029,91,215,201,120,,,,,,23,,,
安徽省,,,13,9,9,6,101,2,7,7,86,,,,,,5,,,
福建省,,,214,135,114,142,2368,137,121,159,145,,,,,,85,,,
江西省,,,8,7,4,2,70,6,3,2,5,,,,,,4,,,
山东省,,,37,58,34,25,439,36,43,56,69,,,,,,11,,,
河南省,,,10,15,9,7,121,13,6,14,13,,,,,,8,,,
湖北省,,,33,38,12,25,298,15,8,11,11,,,,,,11,,,
湖南省,,,11,15,11,6,207,8,12,13,5,,,,,,8,,,
广东省,,,103,59,53,29,1064,101,38,28,77,,,,,,24,,,
广西壮族自治区,,,14,14,4,5,300,7,3,10,10,,,,,,5,,,
海南省,,,4,2,4,6,55,3,3,3,3,,,,,,9,,,
重庆市,,,6,14,7,4,44,3,3,1,4,,,,,,8,,,
四川省,,,20,17,16,10,142,33,8,18,45,,,,,,7,,,
贵州省,,,1,5,3,4,28,2,3,4,2,,,,,,4,,,
云南省,,,23,5,4,12,125,13,9,2,11,,,,,,19,,,
西藏自治区,,,,,,,3,,1,1,1,,,,,,,,,
陕西省,,,25,10,2,6,116,9,8,2,2,,,,,,6,,,
甘肃省,,,6,,5,7,27,2,1,1,,,,,,,1,,,
青海省,,,1,1,1,,4,,,1,,,,,,,1,,,
宁夏回族自治区,,,1,1,,,10,1,,,1,,,,,,,,,
新疆维吾尔自治区,,,9,8,8,3,57,4,2,2,8,,,,,,13,,,
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
