数据库：分省年度数据
指标：15岁及以上未婚人口数(人口抽样调查)(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,3067,3290,3599,3434,68685,3879,4704,4095,3988,,3013,2855,3214,3063,42458,3076,2828,2748
天津市,,,2085,2151,2563,2224,41678,2216,2077,2075,2446,,1980,1645,1750,1640,25272,1532,1577,1481
河北省,,,7011,7444,7519,7397,150161,7465,8091,8517,9546,,8575,9927,9955,10540,150192,11394,11679,10676
山西省,,,4332,4797,5315,5328,103780,5668,5141,5591,5585,,4985,5028,4980,4948,63950,5322,4681,4928
内蒙古自治区,,,2940,2846,2951,3415,63020,2875,3075,3301,3767,,3116,3109,3171,3266,44045,3574,3519,3357
辽宁省,,,4495,5125,5385,5355,107935,5854,7060,7714,5685,,5578,5481,5698,5825,75060,6310,6150,6217
吉林省,,,2499,2671,2665,2940,60802,2892,3096,4090,3353,,3386,3694,3626,3854,54665,4737,4628,4450
黑龙江省,,,3737,4099,4258,4791,92174,4613,4350,4317,5002,,4436,4456,4650,4863,67892,5899,5823,5984
上海市,,,2851,3021,3102,3103,57729,3415,3456,3870,4263,,2863,3123,2991,3001,45843,2769,2929,2816
江苏省,,,8246,8647,8558,9063,177235,9484,9757,10599,11095,,9188,10340,10206,9397,132857,9071,8597,8444
浙江省,,,6499,6345,6881,6981,130664,8358,10003,9091,8588,,6868,6935,6743,6696,94861,6613,6185,6179
安徽省,,,6565,7600,6826,7570,152869,8419,8356,8395,7669,,8111,7535,7752,8382,107540,8743,9923,8728
福建省,,,3642,4458,4594,4207,95280,4518,4759,5002,6532,,4657,4887,5377,5796,81372,6227,5913,6220
江西省,,,5761,5878,5633,5829,105919,5854,6640,5680,5875,,5270,5265,5132,4934,71072,5976,5749,5742
山东省,,,8632,8963,9779,10634,216398,9970,9948,10598,11562,,11414,11743,12689,13829,185411,13035,13017,13854
河南省,,,11539,11082,11841,12159,232766,12548,12349,12881,14498,,13033,13240,13794,13731,198308,14913,14324,14285
湖北省,,,7043,8627,8311,7885,155661,7195,7915,8283,8005,,7767,8528,8611,7883,107940,9939,9500,8403
湖南省,,,7691,8027,7996,8152,151578,8205,8354,7828,8479,,8404,8880,9061,8628,136313,10638,10813,10847
广东省,,,20103,19017,19202,21475,380284,22238,20453,21053,22926,,20433,19409,19963,19653,287066,14856,14018,15052
广西壮族自治区,,,6571,7126,7284,7430,129709,6687,7005,6917,7311,,7673,7308,7933,7904,107908,9605,10001,9469
海南省,,,1642,1743,1621,1645,30828,1726,1687,1767,1740,,1636,1482,1592,1538,21852,1662,1586,1627
重庆市,,,3382,3691,3421,3699,75123,3903,3849,3552,3715,,3402,3173,3046,3266,43319,3169,3968,3856
四川省,,,9303,9911,10809,10583,202254,10725,11340,10277,9837,,9866,10530,9581,10002,126300,10321,11450,10590
贵州省,,,4423,4886,5254,5120,93165,5679,5328,4729,5202,,5287,5097,4877,4955,63287,6030,5904,5856
云南省,,,6413,6783,7500,7063,128862,6095,5810,6472,6661,,6133,6486,6486,6292,85689,6625,6800,6726
西藏自治区,,,576,614,592,649,11711,652,587,642,663,,634,649,665,630,9393,624,596,611
陕西省,,,4722,5667,5460,5849,115004,5115,5152,5934,6020,,5434,5212,5287,5358,74375,5886,5768,5559
甘肃省,,,3381,3557,3526,3801,76208,3983,3685,3959,4111,,3814,3756,4046,3950,50573,4094,4110,3803
青海省,,,741,781,802,856,15017,814,795,816,930,,718,756,738,705,10481,764,769,781
宁夏回族自治区,,,812,962,1037,889,16983,900,862,855,970,,841,823,840,827,10563,824,852,813
新疆维吾尔自治区,,,3011,3066,2874,3044,56129,2945,3024,2851,3219,,3203,3261,3320,3202,43499,3334,3059,3133
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
