数据库：分省年度数据
指标：15岁及以上男性未婚人口数(人口抽样调查)(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,1736,1679,1979,2038,40131,1999,2734,2267,2079,,1715,1605,1696,1601,24048,1726,1600,1658
天津市,,,1390,1260,1542,1281,24373,1145,1041,1056,1214,,1061,875,937,837,13533,820,839,807
河北省,,,4297,4095,4236,4459,83891,4393,4744,4903,5802,,5043,5714,5702,5987,83326,6496,6608,5950
山西省,,,2599,2915,3264,3095,63254,3097,2957,3171,3212,,2942,2870,2863,2787,37514,3187,2804,2982
内蒙古自治区,,,1711,1746,1601,1799,34966,1687,1874,1851,1876,,1854,1841,1809,1875,26679,2124,2136,2016
辽宁省,,,2608,2867,2945,3132,61483,3448,3940,4227,3268,,3155,3128,3299,3400,43118,3537,3461,3534
吉林省,,,1475,1572,1567,1712,34868,1719,1863,2323,1945,,2034,2128,2105,2192,31559,2448,2423,2390
黑龙江省,,,2189,2403,2476,2688,50967,2386,2489,2512,2734,,2600,2609,2729,2839,39886,3340,3380,3463
上海市,,,1586,1703,1767,1761,33725,2008,1944,2203,2527,,1567,1735,1661,1662,25561,1564,1741,1511
江苏省,,,4937,4836,4844,5070,104304,5590,5427,5642,5952,,5336,5629,5685,5195,74717,5232,5041,5053
浙江省,,,4002,3880,4487,4361,81014,5207,5876,4900,3908,,4026,4209,4136,3805,56991,3913,3656,3666
安徽省,,,4089,4922,4244,4603,92350,4304,4747,5456,4465,,4979,4441,4331,4947,63216,5189,5989,5180
福建省,,,2397,2885,2688,2537,57892,2761,2912,2834,3082,,2745,2865,3025,3244,46360,3427,3486,3837
江西省,,,3452,3463,3370,3626,63004,3656,4031,3437,3566,,3086,3060,3054,2993,42527,3532,3390,3504
山东省,,,5157,5277,5625,6207,130405,5905,5916,6121,6631,,6553,6493,7235,7951,103594,7203,7245,7710
河南省,,,6802,6468,6910,6931,134160,7124,7030,7175,8835,,7458,7373,7782,7732,113209,8455,8288,8012
湖北省,,,4038,5343,5196,4886,92185,4422,4668,4824,4748,,4715,4991,5013,4680,65272,5771,5715,5271
湖南省,,,4795,4918,4840,5002,87826,5024,5028,4805,5136,,5103,5569,5601,5145,81936,6312,6560,6640
广东省,,,12832,11858,11386,12922,228961,14577,12169,12546,13709,,10994,10916,11078,10955,155264,8357,7913,8727
广西壮族自治区,,,4105,4500,4569,4632,78509,4199,4488,4204,4730,,4948,4722,4965,5002,67455,5731,6229,5798
海南省,,,921,931,961,1042,19230,1103,1023,1071,1004,,1054,925,992,950,13323,975,981,968
重庆市,,,2007,2181,1990,2205,42661,2360,2382,2056,2245,,1920,1875,1808,1910,27417,1959,2424,2416
四川省,,,5156,5724,6514,6132,117507,6155,7088,6167,5615,,5922,6375,5776,6320,77715,6083,6945,6426
贵州省,,,2752,3008,3163,3084,56375,3098,3059,2758,3391,,3213,3082,2925,3020,39732,3644,3629,3598
云南省,,,3897,4402,4668,4071,77994,3706,3706,3868,3779,,3954,4208,4019,3981,54480,3991,4419,4246
西藏自治区,,,315,339,317,344,6300,358,312,337,366,,354,346,369,348,5074,335,313,310
陕西省,,,2901,3269,2777,3278,64795,3141,3115,3570,3306,,3200,3056,3069,3052,43747,3470,3405,3335
甘肃省,,,2105,2187,2099,2202,45117,2466,2193,2363,2460,,2232,2163,2331,2307,29433,2432,2401,2264
青海省,,,446,479,484,523,9134,440,466,471,482,,419,443,436,417,6183,463,460,484
宁夏回族自治区,,,489,475,481,534,9947,520,495,480,590,,483,471,481,483,6003,462,480,466
新疆维吾尔自治区,,,1808,1822,1697,1828,32609,1757,1845,1700,1936,,1893,1919,1949,1891,26016,1979,1812,1818
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
