数据库：分省年度数据
指标：15岁及以上有配偶人口数(人口抽样调查)(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,10972,11633,11335,11730,215191,,,,,,,,,,,,,
天津市,,,8039,8602,8067,8625,159757,,,,,,,,,,,,,
河北省,,,37376,39415,39823,40290,732106,,,,,,,,,,,,,
山西省,,,18537,19149,18832,19253,349701,,,,,,,,,,,,,
内蒙古自治区,,,13004,13950,13865,13801,251804,,,,,,,,,,,,,
辽宁省,,,22650,23739,23868,24269,441982,,,,,,,,,,,,,
吉林省,,,13970,14829,15126,15254,279905,,,,,,,,,,,,,
黑龙江省,,,19509,20782,21168,21042,387890,,,,,,,,,,,,,
上海市,,,12946,13708,13523,14057,256912,,,,,,,,,,,,,
江苏省,,,41502,44001,44550,44561,816527,,,,,,,,,,,,,
浙江省,,,30063,31336,31248,30912,564757,,,,,,,,,,,,,
安徽省,,,30509,31367,31746,32254,575210,,,,,,,,,,,,,
福建省,,,20196,20555,19863,20412,359561,,,,,,,,,,,,,
江西省,,,21218,22318,22132,22395,412865,,,,,,,,,,,,,
山东省,,,50612,53211,53300,53971,974605,,,,,,,,,,,,,
河南省,,,43410,46395,46251,47045,854788,,,,,,,,,,,,,
湖北省,,,28709,29243,29421,30667,555563,,,,,,,,,,,,,
湖南省,,,31465,33575,34299,34753,639681,,,,,,,,,,,,,
广东省,,,50966,54072,53147,51226,959346,,,,,,,,,,,,,
广西壮族自治区,,,21253,21954,21683,22134,402118,,,,,,,,,,,,,
海南省,,,3899,4126,4166,4159,76068,,,,,,,,,,,,,
重庆市,,,15017,15641,15718,15938,283763,,,,,,,,,,,,,
四川省,,,40072,41848,41562,42053,776169,,,,,,,,,,,,,
贵州省,,,15431,15881,16022,16077,296878,,,,,,,,,,,,,
云南省,,,22092,23034,22213,22774,421809,,,,,,,,,,,,,
西藏自治区,,,1300,1351,1368,1306,23918,,,,,,,,,,,,,
陕西省,,,19051,19412,19163,19383,349841,,,,,,,,,,,,,
甘肃省,,,12282,12811,13021,13025,234944,,,,,,,,,,,,,
青海省,,,2702,2835,2793,2772,51591,,,,,,,,,,,,,
宁夏回族自治区,,,3155,3231,3265,3402,60782,,,,,,,,,,,,,
新疆维吾尔自治区,,,10512,11360,11347,11229,207617,,,,,,,,,,,,,
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
