数据库：分省年度数据
指标：15岁及以上男性有配偶人口数(人口抽样调查)(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,5502,5859,5746,5933,111598,,,,,,,,,,,,,
天津市,,,4364,4640,4177,4679,88551,,,,,,,,,,,,,
河北省,,,18545,19685,19883,19972,363044,,,,,,,,,,,,,
山西省,,,9193,9541,9495,9684,175504,,,,,,,,,,,,,
内蒙古自治区,,,6662,6979,7008,7055,128249,,,,,,,,,,,,,
辽宁省,,,11351,11947,11970,12147,219656,,,,,,,,,,,,,
吉林省,,,6979,7457,7596,7668,139474,,,,,,,,,,,,,
黑龙江省,,,9814,10471,10700,10579,193662,,,,,,,,,,,,,
上海市,,,6813,7097,6895,7260,134178,,,,,,,,,,,,,
江苏省,,,20778,22335,22535,22214,406040,,,,,,,,,,,,,
浙江省,,,15389,16095,16098,15820,286627,,,,,,,,,,,,,
安徽省,,,14777,15368,15609,15933,280837,,,,,,,,,,,,,
福建省,,,10172,10367,9960,10164,179761,,,,,,,,,,,,,
江西省,,,10354,11046,11025,11104,203291,,,,,,,,,,,,,
山东省,,,25063,26359,26425,26796,483047,,,,,,,,,,,,,
河南省,,,20888,22493,22698,22823,414685,,,,,,,,,,,,,
湖北省,,,14165,14419,14384,15152,273501,,,,,,,,,,,,,
湖南省,,,15347,16272,16787,17226,315666,,,,,,,,,,,,,
广东省,,,26454,28433,27802,26207,494519,,,,,,,,,,,,,
广西壮族自治区,,,10590,10962,10839,11003,198464,,,,,,,,,,,,,
海南省,,,1946,2081,2099,2063,37715,,,,,,,,,,,,,
重庆市,,,7323,7638,7678,7880,139352,,,,,,,,,,,,,
四川省,,,19437,20384,20368,20548,380537,,,,,,,,,,,,,
贵州省,,,7620,7944,7961,7938,146648,,,,,,,,,,,,,
云南省,,,10943,11394,10983,11309,209367,,,,,,,,,,,,,
西藏自治区,,,644,668,699,679,12296,,,,,,,,,,,,,
陕西省,,,9329,9490,9474,9618,172535,,,,,,,,,,,,,
甘肃省,,,5994,6294,6384,6411,117048,,,,,,,,,,,,,
青海省,,,1391,1454,1421,1403,26696,,,,,,,,,,,,,
宁夏回族自治区,,,1586,1620,1638,1710,30669,,,,,,,,,,,,,
新疆维吾尔自治区,,,5189,5526,5695,5633,105159,,,,,,,,,,,,,
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
