数据库：分省年度数据
指标：15岁及以上女性离婚人口数(人口抽样调查)(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,220,206,194,191,3254,165,116,116,126,,118,102,94,106,1528,101,98,86
天津市,,,151,143,125,119,2017,118,99,100,84,,64,67,56,59,681,56,51,45
河北省,,,312,303,293,262,4498,205,187,174,189,,175,154,117,91,1750,148,201,100
山西省,,,158,174,166,136,2181,122,101,121,94,,57,57,57,55,870,46,72,58
内蒙古自治区,,,172,176,158,149,2782,153,103,106,111,,91,80,82,73,1201,79,90,86
辽宁省,,,611,632,566,561,9963,537,460,413,509,,332,354,364,340,4411,345,368,322
吉林省,,,373,367,343,325,5514,268,279,245,259,,200,200,186,196,2040,193,196,180
黑龙江省,,,608,596,506,520,7773,375,412,377,356,,310,299,271,266,3196,221,248,193
上海市,,,222,264,249,202,3815,166,171,160,155,,165,200,176,154,1866,153,154,125
江苏省,,,523,443,445,397,6460,375,310,289,322,,227,216,155,209,2871,198,165,216
浙江省,,,342,361,296,303,5374,202,231,205,143,,203,183,176,157,1997,170,168,163
安徽省,,,268,294,262,253,3971,216,175,183,169,,124,132,106,90,1409,125,173,89
福建省,,,207,209,202,183,2902,128,119,132,117,,101,92,58,88,1101,89,97,77
江西省,,,220,233,165,182,2783,174,128,113,121,,90,91,111,78,1069,90,107,89
山东省,,,321,382,335,281,5189,272,245,222,271,,122,170,143,139,1954,152,144,183
河南省,,,381,363,345,272,4954,310,322,260,196,,138,155,128,118,2165,220,183,122
湖北省,,,400,350,316,329,5090,250,255,249,214,,217,214,200,184,1996,163,141,97
湖南省,,,442,472,451,391,6543,285,288,223,263,,226,175,226,199,2340,160,155,166
广东省,,,417,495,554,450,6997,295,244,283,202,,224,167,157,164,2627,133,138,171
广西壮族自治区,,,229,186,204,221,3429,185,169,153,150,,97,79,78,66,1343,135,125,120
海南省,,,38,32,24,27,496,28,18,17,18,,11,13,18,16,199,13,18,14
重庆市,,,299,264,346,309,4605,200,224,177,206,,176,129,141,118,1896,183,183,155
四川省,,,645,686,631,699,9940,639,534,410,418,,372,352,252,314,4148,400,354,386
贵州省,,,267,243,260,228,3666,229,184,156,148,,119,104,106,85,1395,151,163,121
云南省,,,310,339,288,260,5084,251,217,173,182,,152,137,155,165,1773,185,131,146
西藏自治区,,,33,42,34,32,520,37,29,28,28,,30,36,38,37,381,21,26,19
陕西省,,,225,189,157,158,2254,134,97,92,76,,101,98,89,73,1191,83,94,106
甘肃省,,,118,98,108,112,1866,73,86,95,80,,76,69,68,60,867,56,67,67
青海省,,,74,71,65,73,1116,59,57,51,51,,48,46,48,42,595,46,41,37
宁夏回族自治区,,,54,56,46,43,807,41,46,25,24,,25,23,19,18,312,23,20,16
新疆维吾尔自治区,,,347,316,310,327,4957,290,281,313,243,,287,271,287,241,2964,238,220,206
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
