数据库：分省年度数据
指标：15岁及以上丧偶人口数(人口抽样调查)(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,528,554,602,654,11149,509,478,487,568,,559,549,527,576,7647,621,593,595
天津市,,,442,451,462,547,8771,539,515,505,484,,487,531,470,458,5590,467,483,490
河北省,,,2719,2789,2781,2748,50122,2448,2529,2632,2595,,2743,2742,2746,2790,36973,2808,2581,2636
山西省,,,1262,1345,1214,1208,23780,1182,1109,1161,1251,,1293,1228,1165,1139,17279,1229,1249,1340
内蒙古自治区,,,795,807,854,865,17084,916,837,786,769,,873,857,909,889,11446,908,956,919
辽宁省,,,1919,1947,1887,1923,36979,1856,1714,1767,1895,,1923,1988,1949,1893,25238,1906,1906,1878
吉林省,,,1174,1169,1115,1114,22300,1102,1087,873,1071,,1095,1178,1160,1146,14735,1063,1020,989
黑龙江省,,,1674,1505,1570,1656,29797,1449,1410,1541,1490,,1602,1678,1674,1564,20813,1547,1489,1421
上海市,,,689,719,778,709,15366,681,818,608,606,,840,807,867,894,9916,916,923,832
江苏省,,,3181,3275,3161,3285,59385,3183,3403,3204,3241,,3878,4095,3910,3869,51686,4169,4180,3864
浙江省,,,2118,2109,2052,2143,38235,1779,1742,1710,1838,,2225,2271,2305,2027,30874,2065,2311,2359
安徽省,,,2512,2488,2529,2412,44628,2145,2264,2423,2460,,2874,2940,2924,2948,41760,2969,2776,3110
福建省,,,1351,1425,1373,1506,26110,1164,1263,1367,1261,,1839,1887,1787,1646,22716,1682,1590,1533
江西省,,,1465,1609,1680,1739,30573,1657,1552,1559,1626,,1686,1815,1812,1889,26399,1934,1729,1907
山东省,,,4343,4498,4017,3950,74614,3933,3840,3886,4161,,3841,3848,4093,4153,58507,3991,4071,4075
河南省,,,3398,3562,3552,3507,65885,2988,3421,3233,3543,,3827,3563,3638,3839,54044,4118,4170,4096
湖北省,,,2310,2388,2447,2402,45455,2301,2256,2627,2664,,2670,2804,2919,2967,38519,2721,2784,3182
湖南省,,,2835,2858,2934,3009,53513,2825,2890,3003,3037,,3008,2907,3154,3135,43888,3239,3177,3291
广东省,,,3095,3167,3038,3100,55416,3279,3092,3048,3120,,3076,3272,3056,2899,42826,3312,3284,3229
广西壮族自治区,,,1819,1957,1944,1928,36937,1898,1976,1864,1970,,2103,2117,2118,2116,30533,2291,2395,2390
海南省,,,280,249,272,301,5470,279,278,250,243,,322,330,327,314,4140,306,307,290
重庆市,,,1192,1234,1347,1352,24970,1342,1500,1415,1384,,1476,1588,1522,1498,20880,1869,1537,1618
四川省,,,3670,3864,3874,4145,70523,4187,3864,3580,4058,,4343,4714,4637,4617,65324,4060,4336,4377
贵州省,,,1432,1485,1422,1489,26204,1372,1379,1417,1534,,1548,1632,1692,1646,22780,1748,1729,1660
云南省,,,1815,1864,1755,1835,33675,1839,1731,1638,1759,,2092,1968,1863,1878,25741,2176,2096,1985
西藏自治区,,,106,132,120,117,2299,116,102,121,115,,138,145,151,164,1806,157,141,91
陕西省,,,1479,1575,1648,1628,28685,1446,1544,1524,1452,,1687,1763,1795,1742,22421,1542,1569,1699
甘肃省,,,1136,1163,1098,1132,19441,951,1050,1011,1054,,1251,1182,1161,1192,15282,1057,1080,1114
青海省,,,218,213,223,226,3992,220,218,205,208,,238,232,238,221,2918,227,227,225
宁夏回族自治区,,,206,202,194,197,3368,167,181,162,148,,184,173,174,179,2340,163,170,151
新疆维吾尔自治区,,,781,756,795,747,13847,658,651,620,619,,733,732,708,675,8737,640,634,675
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
