数据库：分省年度数据
指标：15岁及以上女性人口数(人口抽样调查)(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,7429,8017,7860,7885,144262,7946,7574,7649,7725,,6692,6608,6645,6554,90424,6256,6111,5706
天津市,,,4846,5319,5365,5407,97216,5624,5476,5287,5243,,4681,4610,4414,4362,60578,4377,4365,4311
河北省,,,23797,25372,25444,25334,474084,24608,24571,24680,24862,,25849,26210,26355,26580,376876,26989,26620,26145
山西省,,,12173,12647,12415,12780,233827,12666,12241,12464,12598,,12364,12515,12317,12410,173769,12451,12327,12091
内蒙古自治区,,,8339,8844,8997,9128,166711,8801,8560,8765,9222,,9045,9081,9230,9172,128607,9373,9408,9262
辽宁省,,,15189,16092,16244,16254,305209,16106,16103,16373,16537,,17132,17207,17165,17103,240977,17736,17809,17472
吉林省,,,9240,9694,9775,9927,187704,9822,9744,9945,10099,,10484,10790,10797,10912,152323,11440,11358,11176
黑龙江省,,,13011,13695,13888,14226,264217,14033,13768,13878,14437,,14788,15044,15197,15152,213813,15770,15718,15404
上海市,,,8149,8756,8823,8889,163073,8763,8801,8738,8667,,7869,7817,7767,7687,106825,7764,7342,7297
江苏省,,,26819,28255,28446,29085,533275,28516,28861,29403,29753,,30442,31387,31131,31065,434191,31139,31069,30020
浙江省,,,19162,19693,19394,19650,362848,19019,19294,19694,20988,,19539,19501,19300,19428,271165,19162,19242,19088
安徽省,,,20305,20757,20786,21218,390570,21238,20322,19953,21036,,21977,22244,22704,22613,319509,24331,24186,23706
福建省,,,12529,13063,13060,13241,241858,12554,12606,13077,13740,,13510,13470,13678,13610,193398,13935,13430,13055
江西省,,,14509,15119,14758,14937,278362,14501,14650,14621,14582,,15469,15515,15655,15321,217579,16195,15927,15664
山东省,,,32480,34131,34188,34573,634885,34082,33779,33944,35043,,35538,36347,36535,36676,521811,37339,37074,36423
河南省,,,29981,31383,31237,31960,586617,31267,31597,31733,31421,,34550,34659,34797,35129,495872,37076,36405,36142
湖北省,,,19593,20158,20136,20503,383161,20082,20262,20548,20752,,21554,22047,22037,22116,307644,23679,23148,22690
湖南省,,,21491,22964,23240,23201,432671,22547,22289,22189,22805,,23376,23541,23930,24123,338500,26136,25647,25481
广东省,,,34585,35726,36028,36345,666213,33904,35079,35260,34964,,35435,34614,34538,33804,483406,28984,28672,28528
广西壮族自治区,,,14753,15248,15175,15550,285679,14914,14724,14762,14842,,16324,16396,16519,16343,231606,18302,18102,18041
海南省,,,2923,3082,2956,2950,54720,2826,2891,2839,2926,,2871,2922,2941,2908,40601,2951,2905,2849
重庆市,,,10212,10654,10739,10759,199149,10242,10239,10327,10322,,10465,10416,10512,10580,148178,12292,12442,12255
四川省,,,28035,29111,28837,29503,539794,28609,27510,26898,28358,,30246,30327,30684,30606,433616,34257,34244,34225
贵州省,,,10759,11112,11402,11404,209387,11217,11050,11060,10682,,12462,12373,12466,12396,175003,13780,13760,13371
云南省,,,15293,15703,15621,16036,293376,15460,14978,15259,15633,,15385,15435,15694,15623,218407,16525,15478,15724
西藏自治区,,,1027,1096,1062,1043,19127,983,972,1017,982,,1049,1048,1040,999,13592,1019,1036,1029
陕西省,,,12809,13600,13688,13606,249921,12921,12968,13115,13400,,14136,14254,14347,14295,200127,14215,14194,13881
甘肃省,,,8525,8837,8949,9109,164410,8696,8672,8778,8856,,9465,9472,9519,9481,132515,9711,9673,9533
青海省,,,1843,1917,1922,1938,34909,1969,1876,1852,1927,,1955,1956,1947,1938,27252,1971,1957,1881
宁夏回族自治区,,,2097,2307,2375,2236,40517,2151,2128,2106,2056,,2140,2113,2118,2082,29330,2094,2069,2006
新疆维吾尔自治区,,,7474,7975,7748,7699,141301,7338,7225,7274,7320,,7399,7400,7324,7135,100566,7225,6957,7373
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
