数据库：分省年度数据
指标：三人户家庭户户数(人口抽样调查)(户)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,1648,1712,1682,1872,31383,1879,1726,1868,1837,,1806,1847,1792,1743,25622,1816,1789,1791
天津市,,,1272,1361,1375,1386,23457,1600,1555,1535,1511,,1411,1360,1360,1393,18937,1416,1455,1510
河北省,,,4111,4506,4503,4779,84494,4690,4955,4671,4695,,4919,5169,5139,5584,77806,5540,5872,5328
山西省,,,2559,2607,2667,2902,48648,2620,2820,2943,2761,,2608,2755,2674,2683,36662,2325,2356,2320
内蒙古自治区,,,2227,2562,2520,2568,47294,2602,2593,2683,2827,,2798,2805,2835,2744,41861,2793,2848,2935
辽宁省,,,3590,3943,4354,4469,80497,4585,4332,4388,4884,,5024,5268,5199,5131,72276,5434,5760,5897
吉林省,,,2147,2370,2544,2509,44256,2588,2516,2456,2621,,3014,3168,3158,3150,44196,3337,3411,3411
黑龙江省,,,3137,3437,3731,3895,69239,3943,3984,4063,4124,,4388,4631,4574,4809,67909,5085,5170,5129
上海市,,,1727,1985,2095,2044,37741,2123,2122,2116,2052,,2313,2317,2311,2215,30199,2512,2583,2218
江苏省,,,4546,4841,5257,5493,99657,5605,5899,5885,6106,,6340,6564,7134,7495,103101,7241,7311,7924
浙江省,,,3495,3711,3789,4076,72531,3997,3890,4072,4359,,4854,4948,4909,5037,67211,5233,5336,5289
安徽省,,,3798,3876,4049,4200,76274,4385,4428,4523,4749,,5036,5471,5568,5474,78502,5798,5650,4969
福建省,,,2048,2108,2125,2322,41686,2446,2577,2585,2605,,2679,2795,2852,2797,40613,3015,2938,2686
江西省,,,2330,2364,2313,2444,43170,2669,2568,2735,2679,,2953,3189,3374,3439,47285,3474,3881,3262
山东省,,,6355,6981,7792,8594,149307,8890,8912,8911,8859,,9879,9996,9797,10082,140097,10596,10645,10666
河南省,,,4660,4979,5566,5475,96450,5594,5678,5562,5608,,6513,6828,6875,7138,97970,7459,7312,7022
湖北省,,,3742,3794,3897,4344,77407,4701,4895,4642,4596,,5433,5560,5465,5506,75096,5503,5631,5461
湖南省,,,3866,4060,4260,4551,77725,4293,4125,4382,4404,,4907,5333,5469,5534,73904,5630,5478,5514
广东省,,,4263,4658,4939,5169,85821,4887,4813,5166,4998,,4934,4966,4941,4717,68221,4123,4017,4426
广西壮族自治区,,,2486,2461,2427,2623,45949,2978,2640,2802,3100,,3134,3173,3130,3321,44589,3083,3265,3265
海南省,,,380,417,434,412,7505,391,414,437,464,,425,445,425,415,5860,399,450,340
重庆市,,,1925,2010,2103,2164,38834,2290,2220,2290,2335,,2509,2480,2573,2650,39101,3192,3164,3396
四川省,,,5023,5242,5326,5634,101141,5850,5696,5818,6022,,6832,7268,7449,7599,103686,8109,8321,8841
贵州省,,,1696,1838,1912,1999,35675,2290,2349,2199,2245,,2264,2364,2401,2382,36404,2619,2742,2639
云南省,,,2407,2607,2468,2568,45751,2692,2798,2856,2672,,2741,2678,2723,2710,38206,2701,2122,2555
西藏自治区,,,109,166,136,121,2131,127,123,122,99,,81,98,84,89,1058,90,84,106
陕西省,,,2199,2502,2572,2415,46069,2719,2832,2687,2610,,3062,3268,3297,3126,43286,2780,2943,2693
甘肃省,,,1263,1344,1656,1684,27121,1611,1630,1604,1621,,1744,1781,1645,1686,23989,1685,1597,1494
青海省,,,314,320,334,350,5883,377,378,352,319,,351,347,368,375,5156,355,352,281
宁夏回族自治区,,,409,421,474,523,8585,468,497,437,446,,458,443,442,449,6207,469,411,446
新疆维吾尔自治区,,,1385,1668,1583,1511,27358,1599,1577,1640,1645,,1552,1506,1537,1472,22135,1758,1662,1874
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
