数据库：分省年度数据
指标：六人户家庭户户数(人口抽样调查)(户)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,125,130,131,104,1565,77,86,75,69,,57,60,67,59,948,68,67,80
天津市,,,65,66,82,76,1467,69,66,73,61,,55,51,50,51,807,67,63,57
河北省,,,943,1006,1104,1169,21199,1107,1040,1174,1145,,949,975,947,840,13179,960,945,1111
山西省,,,279,332,305,296,6627,420,366,390,451,,387,453,469,436,6821,494,593,568
内蒙古自治区,,,79,104,104,108,2046,110,115,83,72,,140,141,141,136,1711,171,221,180
辽宁省,,,195,216,182,207,4775,211,203,229,205,,234,190,221,215,3771,334,305,335
吉林省,,,140,161,162,215,4106,200,215,234,223,,175,168,186,181,3268,193,223,238
黑龙江省,,,132,174,184,181,3736,197,214,205,221,,190,184,201,259,3462,256,273,316
上海市,,,89,80,112,84,1351,72,62,57,55,,56,64,61,67,978,72,58,85
江苏省,,,839,884,911,943,16598,884,768,733,700,,724,632,564,561,8044,768,846,749
浙江省,,,467,471,490,453,8087,365,302,436,325,,324,293,348,337,4729,340,391,394
安徽省,,,658,826,812,887,14816,721,586,614,661,,516,514,502,528,7499,692,784,968
福建省,,,521,615,586,514,9023,376,360,348,321,,354,410,402,373,5018,404,440,436
江西省,,,674,705,777,751,13223,764,714,743,713,,697,564,522,557,7598,541,570,642
山东省,,,762,977,888,668,12000,699,587,728,705,,589,592,564,518,7908,638,710,670
河南省,,,1490,1679,1388,1614,27119,1547,1325,1455,1333,,1164,1261,1203,1186,19056,1447,1479,1630
湖北省,,,556,690,617,617,10743,566,507,608,666,,479,467,485,431,7431,731,629,800
湖南省,,,809,938,839,864,16211,957,909,838,804,,750,613,631,543,9460,761,871,894
广东省,,,1375,1415,1510,1376,26690,1531,1385,1408,1550,,1360,1318,1470,1338,19500,1616,1762,1491
广西壮族自治区,,,676,731,662,710,13258,643,679,701,619,,698,675,690,578,9475,817,919,858
海南省,,,133,123,129,148,2496,145,147,149,144,,152,157,167,162,2498,182,182,212
重庆市,,,295,359,278,245,4643,203,192,206,224,,200,174,194,184,2897,270,343,386
四川省,,,862,975,838,846,15976,807,717,673,774,,749,639,731,672,11191,1085,1159,1086
贵州省,,,499,506,548,548,10110,449,385,440,465,,626,631,622,609,8341,645,671,656
云南省,,,731,788,809,825,15609,796,760,692,774,,770,762,808,825,11327,817,1010,853
西藏自治区,,,54,53,58,52,855,51,48,56,52,,54,56,60,62,829,65,73,48
陕西省,,,407,410,449,421,7825,488,428,475,499,,410,385,460,464,6973,616,605,686
甘肃省,,,475,496,438,436,8795,437,448,458,464,,457,493,511,507,7395,638,629,652
青海省,,,86,90,103,94,1805,87,87,85,100,,96,95,90,99,1414,102,108,118
宁夏回族自治区,,,68,84,73,75,1467,82,70,89,86,,101,109,121,108,1631,109,120,113
新疆维吾尔自治区,,,277,252,285,286,4802,260,261,229,230,,290,297,275,341,4291,282,292,342
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
