数据库：分省年度数据
指标：七人户家庭户户数(人口抽样调查)(户)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,18,27,35,32,398,11,25,25,16,,9,11,13,14,259,17,16,19
天津市,,,12,14,12,11,295,10,9,10,9,,7,11,12,9,144,14,18,16
河北省,,,247,269,295,287,5436,247,251,253,276,,267,210,190,210,3122,309,302,282
山西省,,,66,64,49,59,1356,66,67,53,96,,74,85,94,86,1648,158,193,164
内蒙古自治区,,,14,17,20,19,435,16,17,10,8,,13,19,25,30,371,44,52,50
辽宁省,,,39,30,34,49,848,30,46,43,33,,34,19,32,56,663,92,91,75
吉林省,,,29,34,32,41,1014,39,28,45,55,,34,35,39,42,779,49,63,73
黑龙江省,,,21,31,44,50,829,31,38,39,50,,30,27,35,40,696,59,67,84
上海市,,,10,12,17,22,340,20,14,8,12,,13,16,16,13,285,24,16,24
江苏省,,,220,271,211,238,4220,206,203,188,172,,171,178,126,138,1942,220,191,203
浙江省,,,83,86,97,97,1906,76,77,76,71,,66,47,46,69,926,74,95,94
安徽省,,,192,215,219,266,3823,142,152,142,137,,110,107,143,152,1988,217,237,281
福建省,,,153,164,160,132,2603,106,86,89,89,,115,109,94,116,1444,113,135,134
江西省,,,205,273,248,272,4777,238,239,208,219,,201,173,161,156,2576,206,194,235
山东省,,,153,168,119,111,2356,141,137,129,137,,105,99,109,88,1304,123,138,185
河南省,,,439,547,430,429,7995,377,379,388,415,,261,247,230,301,5028,403,445,532
湖北省,,,116,140,156,134,2730,139,117,132,127,,101,80,86,98,1821,165,190,164
湖南省,,,245,301,245,256,5267,273,297,222,256,,190,126,139,145,2540,204,258,281
广东省,,,654,690,596,688,12340,675,660,590,597,,555,531,585,562,8378,829,831,622
广西壮族自治区,,,235,281,307,314,5686,205,244,210,188,,224,193,222,204,3577,351,333,331
海南省,,,57,53,51,62,1143,67,59,57,61,,56,62,60,75,1107,88,92,102
重庆市,,,79,70,80,70,1201,51,38,52,42,,40,44,37,50,660,89,124,103
四川省,,,205,300,236,240,4801,172,215,173,180,,194,182,175,183,3133,321,400,314
贵州省,,,207,206,208,192,3840,126,131,125,148,,241,227,221,213,2982,245,224,252
云南省,,,254,232,236,235,4884,182,192,171,187,,179,177,192,201,3114,275,314,268
西藏自治区,,,31,29,33,32,594,33,33,32,33,,36,40,42,41,633,44,45,36
陕西省,,,95,110,103,97,1836,109,85,78,119,,96,93,96,84,1611,171,184,192
甘肃省,,,152,182,132,150,2891,137,121,124,123,,131,149,149,152,2541,231,262,233
青海省,,,33,35,33,33,636,23,28,33,35,,38,38,39,34,522,44,46,52
宁夏回族自治区,,,24,29,23,23,477,23,25,24,21,,27,36,38,38,553,45,49,53
新疆维吾尔自治区,,,104,85,74,105,1967,98,101,82,74,,138,124,139,130,1867,126,128,155
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
