数据库：分省年度数据
指标：十人及以上户家庭户户数(人口抽样调查)(户)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,1,3,3,1,34,3,3,2,,,,1,1,0,15,1,1,3
天津市,,,,,2,1,15,,,,,,,,,0,7,,,0
河北省,,,22,28,28,17,400,18,10,23,26,,15,11,8,0,166,17,13,32
山西省,,,2,2,2,4,112,7,3,2,9,,5,3,6,7,115,23,15,11
内蒙古自治区,,,1,1,1,,18,,1,,,,,,,0,12,3,3,1
辽宁省,,,,,,2,32,,,,1,,,,,1,19,5,3,3
吉林省,,,,,,1,53,1,,1,1,,1,1,1,1,40,5,3,3
黑龙江省,,,1,2,4,1,30,,,,,,,,1,1,42,2,3,2
上海市,,,1,1,,1,21,2,3,1,1,,,,2,1,14,1,1,8
江苏省,,,17,23,22,22,330,11,10,22,22,,12,5,5,5,126,15,22,11
浙江省,,,9,5,5,2,195,6,2,3,3,,1,3,2,3,78,8,2,6
安徽省,,,17,18,18,16,549,13,8,20,10,,12,7,2,9,155,14,23,23
福建省,,,24,26,27,25,427,12,5,8,11,,18,13,10,6,139,13,17,14
江西省,,,43,40,48,42,795,40,28,42,39,,23,17,18,20,498,35,44,48
山东省,,,,7,7,5,75,11,5,2,5,,5,3,2,4,56,11,9,9
河南省,,,30,39,23,44,760,34,27,29,29,,9,5,,7,411,42,51,17
湖北省,,,16,30,20,14,298,16,10,8,25,,9,9,6,9,149,21,14,11
湖南省,,,21,40,32,37,759,43,47,19,33,,12,22,9,11,261,28,25,32
广东省,,,189,259,179,170,3815,157,150,165,145,,105,84,83,124,1888,170,179,84
广西壮族自治区,,,58,76,89,103,1826,33,73,51,29,,23,32,33,33,726,52,40,62
海南省,,,14,10,14,20,258,16,12,15,9,,9,9,9,13,250,18,16,21
重庆市,,,4,2,7,5,62,4,3,4,1,,4,,2,4,55,10,16,9
四川省,,,18,19,10,11,469,20,15,37,12,,,2,6,2,372,62,46,43
贵州省,,,25,28,21,14,467,9,4,12,10,,19,16,16,16,242,17,15,28
云南省,,,18,8,22,28,473,10,13,14,11,,11,9,15,12,225,23,23,25
西藏自治区,,,14,12,17,21,444,23,23,19,22,,19,20,19,20,419,18,19,24
陕西省,,,5,11,4,13,124,7,4,3,6,,1,2,6,2,81,17,12,17
甘肃省,,,24,20,6,16,252,12,7,10,12,,10,16,15,21,209,34,24,27
青海省,,,4,4,3,7,112,3,4,8,8,,8,10,11,11,107,12,12,17
宁夏回族自治区,,,1,3,1,1,31,1,2,3,2,,2,2,3,3,37,3,2,6
新疆维吾尔自治区,,,18,12,14,21,433,23,30,23,24,,17,13,20,17,290,26,25,30
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
