数据库：分省年度数据
指标：电力、热力、燃气及水生产和供应业城镇单位就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,9.5,9.6,9.7,9.0,9.1,8.2,8.2,8.7,8.9,9.0,6.8,6.6,6.6,,,,,,
天津市,,4.1,4.2,4.0,4.1,4.3,4.5,4.5,4.5,4.4,4.2,3.3,3.3,3.6,,,,,,
河北省,,18.7,18.7,17.8,17.9,18.8,18.7,19.2,19.6,21.2,20.2,19.9,19.8,19.5,,,,,,
山西省,,15.7,15.8,13.0,12.9,12.5,11.7,11.8,11.5,11.1,10.3,9.9,9.9,10.6,,,,,,
内蒙古自治区,,16.0,14.6,14.0,13.6,14.5,14.2,14.0,13.4,12.0,11.1,10.1,10.1,9.7,,,,,,
辽宁省,,15.3,15.8,16.3,14.0,14.7,14.6,15.9,16.5,16.4,17.1,16.6,16.3,17.0,,,,,,
吉林省,,9.5,10.4,10.2,11.9,12.3,13.0,13.5,14.0,8.9,9.0,8.2,8.1,8.1,,,,,,
黑龙江省,,13.9,14.5,13.7,16.8,17.6,18.1,18.1,18.3,15.7,14.6,14.3,14.8,14.6,,,,,,
上海市,,3.4,3.5,4.0,4.1,4.4,4.3,4.6,5.2,5.8,6.1,5.4,5.6,5.5,,,,,,
江苏省,,14.3,14.3,14.2,14.8,14.5,17.4,18.1,18.1,12.9,13.2,12.9,12.9,12.7,,,,,,
浙江省,,13.0,11.1,12.2,12.3,12.0,11.0,13.4,13.5,13.3,13.9,12.6,12.5,12.2,,,,,,
安徽省,,10.1,10.4,10.3,10.2,10.4,10.3,10.8,12.0,9.9,9.8,9.6,9.4,9.8,,,,,,
福建省,,10.9,11.4,11.5,8.7,9.1,9.0,9.1,8.9,9.5,9.5,9.2,9.6,9.5,,,,,,
江西省,,9.6,9.4,9.0,9.2,9.3,14.1,14.3,13.2,10.5,10.3,9.5,9.6,8.7,,,,,,
山东省,,28.3,27.9,25.6,26.1,23.1,23.5,23.7,23.9,21.0,20.8,20.4,20.5,19.9,,,,,,
河南省,,23.8,23.5,24.5,25.7,26.2,25.3,25.5,24.6,22.5,21.5,21.1,20.7,20.4,,,,,,
湖北省,,14.5,14.6,15.1,15.7,16.4,16.3,16.6,18.1,18.2,17.8,11.9,12.0,12.4,,,,,,
湖南省,,15.4,15.1,14.9,15.7,16.6,17.3,16.5,16.6,15.7,14.3,12.2,11.6,11.5,,,,,,
广东省,,26.9,25.7,28.0,29.9,31.3,30.7,30.8,32.2,20.1,19.9,18.8,18.5,18.5,,,,,,
广西壮族自治区,,11.6,10.0,10.2,11.8,13.7,13.9,14.1,14.7,9.8,9.2,9.0,8.8,8.5,,,,,,
海南省,,2.2,2.2,2.2,2.1,2.3,2.4,2.3,2.2,2.1,2.0,2.0,1.9,1.8,,,,,,
重庆市,,6.2,6.2,6.1,6.5,6.4,6.7,7.0,7.0,7.5,6.9,6.6,6.4,6.5,,,,,,
四川省,,23.2,20.9,22.4,22.1,23.2,26.1,26.7,27.2,17.6,16.3,15.3,15.4,15.4,,,,,,
贵州省,,9.5,9.5,9.1,9.1,12.2,12.8,13.0,13.5,8.4,8.3,7.0,6.6,7.0,,,,,,
云南省,,11.3,12.1,10.3,10.3,10.7,10.6,10.3,10.3,9.7,9.5,8.5,8.0,8.0,,,,,,
西藏自治区,,1.1,1.4,1.3,1.2,0.7,1.1,1.0,1.0,0.8,0.7,0.8,0.8,0.8,,,,,,
陕西省,,13.1,13.5,12.2,12.8,13.7,13.7,12.7,12.2,9.6,9.7,11.0,10.0,10.1,,,,,,
甘肃省,,10.7,11.3,12.0,12.6,12.2,12.1,12.9,10.0,7.2,7.0,6.8,6.7,6.5,,,,,,
青海省,,2.2,2.1,2.4,2.4,2.2,2.0,1.9,1.9,2.0,1.5,1.2,1.3,1.4,,,,,,
宁夏回族自治区,,4.2,3.5,3.5,3.4,3.5,3.5,3.7,3.4,4.1,3.5,3.7,4.2,3.9,,,,,,
新疆维吾尔自治区,,11.4,10.2,9.6,9.9,9.6,8.9,9.5,8.3,7.6,7.6,6.1,6.0,6.0,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
