数据库：分省年度数据
指标：建筑业城镇单位就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,45.4,45.1,47.8,46.6,45.9,45.3,45.6,43.9,42.7,42.5,39.4,34.1,32.8,,,,,,
天津市,,23.0,25.1,26.6,28.1,28.2,29.5,31.3,31.0,31.1,30.6,10.2,10.7,10.8,,,,,,
河北省,,41.2,43.2,48.1,38.3,81.8,84.4,89.0,90.6,81.4,50.6,36.5,33.9,34.6,,,,,,
山西省,,28.9,29.0,29.7,29.2,29.4,33.3,35.5,38.4,38.8,25.1,22.5,22.5,19.8,,,,,,
内蒙古自治区,,10.2,12.9,13.4,16.4,18.9,21.6,22.9,25.5,18.2,16.7,13.6,13.7,13.4,,,,,,
辽宁省,,28.3,32.4,37.8,50.2,64.6,83.7,102.3,112.1,60.9,47.9,31.2,29.5,28.4,,,,,,
吉林省,,13.3,14.9,18.5,23.7,27.3,29.3,33.2,33.9,17.6,13.4,13.4,12.9,13.7,,,,,,
黑龙江省,,14.7,17.4,21.5,24.7,28.4,31.1,33.8,37.2,35.6,30.6,27.0,29.9,30.1,,,,,,
上海市,,28.5,32.4,30.5,31.3,32.9,35.1,37.3,37.2,48.9,36.8,11.3,11.0,11.1,,,,,,
江苏省,,282.5,270.1,434.0,407.0,396.8,417.3,450.2,420.5,69.5,65.2,52.3,46.0,38.4,,,,,,
浙江省,,198.0,212.4,279.9,288.3,310.1,323.4,329.5,303.2,294.1,236.7,180.2,155.8,121.7,,,,,,
安徽省,,105.8,111.1,139.4,93.3,91.8,92.6,97.1,99.7,69.9,58.4,42.1,40.7,34.2,,,,,,
福建省,,136.9,163.7,197.0,176.7,168.5,162.9,154.8,146.2,121.7,99.9,62.4,52.0,45.0,,,,,,
江西省,,79.5,83.4,87.0,87.7,90.4,91.9,94.4,91.3,66.6,49.5,29.4,27.4,25.2,,,,,,
山东省,,139.6,150.5,159.1,159.9,160.3,163.7,177.5,188.6,136.8,121.9,80.3,70.5,65.7,,,,,,
河南省,,148.3,153.1,169.4,170.3,173.4,178.8,189.6,189.5,125.6,116.1,93.7,87.3,80.6,,,,,,
湖北省,,104.3,119.7,124.6,133.8,140.4,138.5,144.2,140.4,97.1,103.1,72.5,69.8,61.7,,,,,,
湖南省,,103.6,105.0,106.8,110.2,108.7,106.3,107.9,107.4,94.6,87.3,75.6,71.7,66.9,,,,,,
广东省,,127.8,132.8,169.0,154.2,143.3,141.6,149.4,162.3,107.6,92.7,64.4,63.2,59.6,,,,,,
广西壮族自治区,,67.0,71.9,66.8,65.1,64.9,65.2,61.0,60.9,42.5,38.7,30.5,27.6,23.6,,,,,,
海南省,,5.7,6.2,5.7,6.3,7.1,6.9,7.3,7.7,6.0,5.6,6.8,6.2,4.9,,,,,,
重庆市,,71.2,78.7,88.9,97.7,100.2,101.5,103.8,103.6,85.2,82.8,48.0,43.3,41.1,,,,,,
四川省,,151.4,151.7,160.4,145.5,151.5,153.9,155.6,177.8,116.1,111.8,99.9,99.6,93.8,,,,,,
贵州省,,43.9,43.4,45.1,45.2,45.7,42.8,42.8,39.5,34.9,28.3,23.3,22.0,21.7,,,,,,
云南省,,33.7,38.9,73.9,73.7,71.7,68.0,67.6,73.7,66.4,48.1,37.6,36.3,36.0,,,,,,
西藏自治区,,3.5,4.3,2.1,1.8,1.5,2.0,1.9,1.8,0.5,0.8,0.8,0.9,0.8,,,,,,
陕西省,,54.6,58.7,61.2,60.4,61.1,64.4,71.0,72.1,42.8,34.6,25.2,24.1,20.6,,,,,,
甘肃省,,33.1,34.6,35.6,40.5,43.7,43.8,45.7,46.1,23.0,19.1,15.4,14.1,16.3,,,,,,
青海省,,4.2,4.6,5.8,6.5,6.7,7.0,7.6,7.3,7.4,6.6,4.1,4.0,3.5,,,,,,
宁夏回族自治区,,3.2,3.4,3.5,4.1,4.4,5.3,6.0,6.2,4.4,2.6,3.0,2.4,2.4,,,,,,
新疆维吾尔自治区,,21.8,20.4,21.8,26.4,25.0,24.7,25.4,26.3,22.4,20.6,15.0,14.3,13.8,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
