数据库：分省年度数据
指标：住宿和餐饮业城镇单位就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,26.8,30.5,31.2,31.1,29.4,29.8,30.3,31.0,32.0,29.2,28.0,28.3,26.0,,,,,,
天津市,,5.6,6.3,5.6,4.9,5.1,5.2,6.0,6.6,6.9,6.7,4.8,4.1,3.7,,,,,,
河北省,,4.3,4.5,4.1,3.4,5.4,5.8,6.3,6.9,6.8,5.3,4.5,4.5,4.8,,,,,,
山西省,,3.7,3.5,3.5,3.7,3.9,4.2,5.0,5.6,6.9,4.9,4.2,4.2,4.1,,,,,,
内蒙古自治区,,2.4,2.9,3.1,3.6,3.7,4.1,4.3,4.6,2.9,2.7,2.4,2.3,2.5,,,,,,
辽宁省,,4.9,5.1,5.6,5.8,6.2,6.8,7.4,8.1,7.2,7.3,6.4,6.7,6.5,,,,,,
吉林省,,1.9,2.3,2.3,2.8,2.8,3.0,3.0,3.3,3.0,3.1,3.0,3.1,2.9,,,,,,
黑龙江省,,1.4,1.4,3.2,3.7,4.0,4.2,4.5,4.9,4.6,3.8,3.7,3.3,3.2,,,,,,
上海市,,26.3,29.9,30.5,25.5,24.3,24.0,24.4,21.1,20.1,16.7,11.7,10.8,9.8,,,,,,
江苏省,,19.7,19.2,18.0,16.6,16.9,17.3,19.8,19.2,11.9,11.7,10.6,10.5,9.9,,,,,,
浙江省,,14.7,14.6,13.8,14.0,13.5,13.5,13.8,14.7,16.3,18.1,15.6,14.9,14.3,,,,,,
安徽省,,5.8,5.8,6.4,5.4,5.9,6.0,6.0,5.8,4.3,3.9,3.7,3.7,3.1,,,,,,
福建省,,8.8,9.2,11.1,10.0,9.8,9.8,9.9,9.8,9.4,8.7,7.6,6.1,5.6,,,,,,
江西省,,3.7,3.6,3.3,4.2,4.3,4.4,4.1,4.7,4.3,3.3,1.6,1.8,1.9,,,,,,
山东省,,11.3,11.6,12.3,14.1,14.2,14.0,15.6,19.3,15.2,13.6,11.0,11.7,11.5,,,,,,
河南省,,7.7,7.8,7.9,10.4,11.0,11.3,11.2,11.8,10.1,10.5,9.9,9.5,9.1,,,,,,
湖北省,,9.0,8.8,8.3,9.4,9.4,9.9,10.6,12.2,9.2,8.2,7.7,6.6,6.3,,,,,,
湖南省,,6.3,6.3,6.3,6.8,7.4,8.3,8.5,9.5,9.5,9.1,9.0,8.3,7.9,,,,,,
广东省,,39.3,40.6,40.7,36.5,37.0,37.1,37.1,39.3,32.3,29.0,25.2,23.7,24.1,,,,,,
广西壮族自治区,,4.1,4.4,4.4,4.4,4.6,4.8,5.0,5.4,4.8,4.3,4.3,4.5,4.5,,,,,,
海南省,,5.2,5.5,6.1,5.9,6.0,6.0,6.5,6.8,6.2,5.2,4.4,4.0,3.8,,,,,,
重庆市,,4.2,4.5,6.0,6.1,6.4,6.3,6.8,7.1,7.1,7.1,4.3,4.2,3.7,,,,,,
四川省,,16.3,12.5,9.6,9.3,9.7,10.6,11.5,12.5,7.6,6.1,5.5,5.2,5.0,,,,,,
贵州省,,2.7,2.8,2.6,2.9,2.8,2.9,3.9,4.1,3.9,2.9,2.6,2.7,2.3,,,,,,
云南省,,4.9,5.4,8.0,8.1,8.2,8.4,8.7,9.6,8.5,7.4,5.8,5.9,5.8,,,,,,
西藏自治区,,0.8,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.3,0.3,0.3,0.4,0.4,,,,,,
陕西省,,8.7,9.3,9.6,10.1,10.6,11.1,11.8,12.6,7.5,7.4,6.3,5.7,4.8,,,,,,
甘肃省,,3.0,2.8,2.7,3.2,3.2,3.3,3.4,3.5,1.9,1.9,1.9,2.0,2.0,,,,,,
青海省,,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.5,0.5,0.4,,,,,,
宁夏回族自治区,,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.6,0.6,0.4,0.4,0.5,0.6,,,,,,
新疆维吾尔自治区,,2.3,2.5,2.3,2.2,2.3,2.4,2.4,2.8,2.8,2.9,2.3,2.4,2.8,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
