数据库：分省年度数据
指标：房地产业城镇单位就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,45.0,47.4,47.3,44.3,43.9,42.2,41.0,40.6,37.1,35.1,31.5,30.1,28.8,,,,,,
天津市,,9.2,10.8,10.4,8.2,8.0,7.3,6.7,9.1,5.5,4.2,3.6,3.1,3.1,,,,,,
河北省,,11.8,10.4,8.3,6.3,12.1,11.0,10.5,9.1,6.8,4.9,4.2,3.3,3.2,,,,,,
山西省,,5.7,5.5,3.6,3.8,3.5,3.6,3.6,3.2,2.6,2.1,2.6,2.7,1.5,,,,,,
内蒙古自治区,,5.3,5.7,5.0,5.6,5.5,5.4,5.0,4.8,1.8,2.0,1.5,1.4,1.5,,,,,,
辽宁省,,12.0,10.7,10.5,10.4,12.0,13.3,14.5,14.0,12.4,11.5,8.8,7.5,6.5,,,,,,
吉林省,,5.4,6.1,6.1,6.9,6.8,6.0,6.3,5.7,5.1,5.3,3.6,3.4,3.4,,,,,,
黑龙江省,,5.4,5.8,6.4,6.3,6.1,6.0,6.0,6.0,5.9,5.6,4.9,4.3,4.4,,,,,,
上海市,,28.5,30.1,26.6,26.7,25.4,26.2,25.6,24.0,15.2,15.5,11.2,11.5,10.7,,,,,,
江苏省,,29.8,29.1,25.4,23.0,22.2,22.6,22.1,21.2,8.2,7.9,7.3,6.5,6.0,,,,,,
浙江省,,28.8,26.8,22.4,21.6,20.9,20.1,19.7,17.9,17.5,15.3,13.6,10.4,9.3,,,,,,
安徽省,,15.6,17.6,14.7,11.2,10.5,10.4,10.4,9.4,6.9,6.1,4.9,4.4,3.3,,,,,,
福建省,,16.9,17.4,17.1,15.6,15.6,15.3,14.3,12.6,10.2,9.1,9.0,8.8,7.2,,,,,,
江西省,,9.9,9.4,8.0,7.1,6.7,6.4,5.7,5.4,4.5,3.6,2.1,2.0,2.1,,,,,,
山东省,,27.6,26.0,25.3,26.1,26.8,26.1,25.6,23.7,15.8,13.4,11.4,9.4,8.4,,,,,,
河南省,,29.3,28.0,23.5,26.8,23.1,21.2,18.4,15.8,13.1,11.6,9.0,8.6,6.9,,,,,,
湖北省,,18.7,17.7,16.4,16.2,14.9,13.1,12.4,12.0,10.0,8.1,6.6,5.7,4.7,,,,,,
湖南省,,16.2,14.1,12.5,12.7,12.2,12.4,12.0,11.2,9.9,9.3,9.7,8.3,7.7,,,,,,
广东省,,90.1,86.0,77.1,66.3,61.8,59.1,55.8,52.5,34.9,33.4,29.0,26.1,24.1,,,,,,
广西壮族自治区,,9.4,9.1,7.8,7.9,8.0,7.9,8.0,7.8,5.4,4.9,4.3,3.7,3.6,,,,,,
海南省,,8.4,8.2,8.6,9.2,8.4,7.7,7.4,5.8,4.2,3.5,3.2,2.4,2.2,,,,,,
重庆市,,14.9,13.7,14.6,13.9,13.0,12.5,12.4,10.1,7.8,7.3,5.6,4.9,4.6,,,,,,
四川省,,29.7,25.2,21.9,21.5,19.8,18.6,17.7,15.7,6.6,6.5,5.4,5.3,5.1,,,,,,
贵州省,,10.6,10.7,8.6,9.6,8.8,8.7,7.9,6.9,5.4,4.3,3.9,3.7,3.2,,,,,,
云南省,,10.2,10.4,13.9,12.4,11.2,10.9,11.1,10.1,7.3,5.4,4.1,3.7,3.3,,,,,,
西藏自治区,,0.6,0.5,0.2,0.2,0.2,0.2,0.1,0.1,0.0,,,,,,,,,,
陕西省,,13.8,13.8,11.9,11.8,11.5,11.1,10.7,8.7,6.6,6.3,5.1,4.5,3.0,,,,,,
甘肃省,,6.7,5.4,4.5,5.3,5.2,4.5,4.5,3.9,1.9,1.6,1.7,1.7,1.4,,,,,,
青海省,,1.5,1.4,0.9,1.0,0.9,0.9,0.8,0.8,0.8,1.0,0.6,0.7,0.6,,,,,,
宁夏回族自治区,,1.5,1.4,1.4,1.5,1.5,1.7,1.5,1.4,1.1,1.1,0.8,0.8,0.7,,,,,,
新疆维吾尔自治区,,6.4,6.0,5.2,5.6,5.4,5.1,4.5,4.0,3.2,2.8,2.3,2.1,2.0,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
