数据库：分省年度数据
指标：租赁和商务服务业城镇单位就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,62.3,73.7,81.3,88.3,80.1,80.1,70.8,66.2,61.4,58.7,77.8,72.9,62.8,,,,,,
天津市,,13.6,15.3,13.2,12.7,9.3,8.2,6.7,5.8,5.4,6.4,6.9,7.3,7.3,,,,,,
河北省,,15.0,16.1,10.7,9.8,12.6,13.4,13.8,11.5,5.2,5.1,4.9,5.1,4.8,,,,,,
山西省,,11.4,11.8,8.6,8.2,9.1,8.9,8.0,7.3,5.3,5.5,6.4,6.2,6.3,,,,,,
内蒙古自治区,,5.4,7.1,5.0,5.3,4.2,4.6,4.5,4.4,3.2,2.9,2.8,2.9,3.0,,,,,,
辽宁省,,14.5,13.4,12.0,11.5,11.9,11.8,12.8,13.3,10.2,12.6,12.2,10.1,12.0,,,,,,
吉林省,,5.1,6.4,6.6,6.8,5.8,5.0,5.8,5.5,4.9,4.4,4.5,4.1,3.6,,,,,,
黑龙江省,,12.4,13.5,10.8,8.0,6.9,6.3,6.2,5.9,4.9,5.0,5.9,4.2,4.2,,,,,,
上海市,,68.9,76.4,57.9,55.4,52.2,52.0,48.9,42.1,17.2,18.4,18.6,18.0,18.3,,,,,,
江苏省,,45.7,46.1,33.5,30.2,29.4,31.3,31.2,31.9,12.3,11.2,12.0,11.5,11.0,,,,,,
浙江省,,37.5,35.6,29.1,30.2,29.0,27.9,28.4,28.8,29.2,27.7,26.0,24.0,20.4,,,,,,
安徽省,,18.6,18.3,8.8,7.4,6.6,6.3,6.0,7.1,3.7,4.8,4.6,4.3,5.2,,,,,,
福建省,,18.3,19.9,18.6,16.3,14.5,12.6,11.7,11.4,6.0,6.6,12.3,10.4,11.0,,,,,,
江西省,,7.4,7.3,5.8,6.5,5.4,5.2,4.7,5.5,2.9,3.5,2.9,2.7,4.5,,,,,,
山东省,,23.5,22.9,17.7,21.8,20.7,21.5,21.6,20.8,11.5,10.3,11.9,11.7,11.3,,,,,,
河南省,,23.9,26.4,16.4,19.6,18.1,16.1,15.1,12.5,11.3,11.1,11.3,12.1,12.4,,,,,,
湖北省,,19.6,17.7,13.4,11.0,10.5,9.0,9.4,9.0,6.2,4.5,5.1,4.6,4.8,,,,,,
湖南省,,12.8,13.9,9.8,10.3,9.9,9.8,9.1,9.0,8.8,8.7,8.4,7.3,5.7,,,,,,
广东省,,118.6,112.6,78.8,76.1,71.2,64.7,60.6,55.8,37.0,31.7,30.1,28.5,26.9,,,,,,
广西壮族自治区,,13.4,11.3,11.8,10.8,10.0,11.2,11.1,9.8,8.9,9.3,8.9,8.3,7.0,,,,,,
海南省,,3.1,3.1,2.0,2.0,1.9,2.1,2.5,2.0,2.0,2.4,2.2,2.1,2.0,,,,,,
重庆市,,12.3,14.3,14.3,13.3,12.6,12.2,12.1,10.9,6.1,5.7,5.3,4.3,4.2,,,,,,
四川省,,28.5,25.4,18.5,16.8,15.6,14.2,12.7,12.2,5.2,6.4,5.9,6.0,6.3,,,,,,
贵州省,,7.2,8.2,7.4,7.2,5.0,4.6,4.5,4.6,3.0,3.1,3.3,4.1,3.2,,,,,,
云南省,,11.7,11.9,12.3,11.2,10.4,9.6,9.3,9.4,6.2,6.7,7.2,5.8,5.0,,,,,,
西藏自治区,,1.8,1.5,0.7,0.5,0.4,0.3,0.5,0.5,0.2,0.2,0.1,0.1,0.1,,,,,,
陕西省,,11.9,11.0,8.5,9.0,10.9,10.9,8.5,7.6,4.5,4.1,3.5,3.1,3.0,,,,,,
甘肃省,,4.2,3.8,3.4,5.3,3.6,3.0,3.1,2.7,1.7,1.9,1.9,2.0,1.9,,,,,,
青海省,,1.3,1.6,0.7,0.8,0.9,0.8,0.8,0.7,0.8,0.8,0.8,0.9,0.5,,,,,,
宁夏回族自治区,,1.0,3.0,1.8,1.8,1.8,2.0,1.9,2.0,1.8,1.4,1.4,1.1,0.8,,,,,,
新疆维吾尔自治区,,12.6,10.9,10.0,8.6,8.0,8.5,7.4,5.9,5.4,5.3,4.8,4.9,5.2,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
