数据库：分省年度数据
指标：科学研究和技术服务业城镇单位就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,58.2,68.9,71.7,71.2,69.0,59.3,59.8,59.7,54.0,50.6,45.7,43.8,40.1,,,,,,
天津市,,11.4,11.1,10.8,11.9,11.5,11.3,10.7,10.7,8.3,5.3,6.5,5.9,6.4,,,,,,
河北省,,15.7,16.4,15.9,14.1,16.4,14.8,14.5,14.0,12.5,10.0,8.9,8.4,8.2,,,,,,
山西省,,7.9,7.7,7.3,7.1,7.2,7.5,7.3,7.0,5.9,6.1,6.0,5.9,5.9,,,,,,
内蒙古自治区,,6.3,7.0,5.6,6.0,5.9,6.3,6.2,6.1,4.9,4.4,4.3,4.2,4.2,,,,,,
辽宁省,,10.5,9.8,10.4,12.1,13.8,15.9,16.9,16.9,15.8,13.9,12.0,10.8,10.2,,,,,,
吉林省,,7.3,7.8,7.3,7.7,7.6,7.5,7.9,8.0,7.6,6.8,6.7,6.4,6.3,,,,,,
黑龙江省,,5.6,8.6,9.2,10.7,11.1,11.2,11.5,11.2,11.9,12.2,12.0,11.4,11.2,,,,,,
上海市,,32.1,36.2,26.9,24.6,23.2,22.5,22.5,20.4,12.2,12.4,23.2,20.9,18.1,,,,,,
江苏省,,26.6,27.3,21.8,22.0,21.8,21.8,21.5,19.2,12.8,12.0,10.9,9.8,9.4,,,,,,
浙江省,,19.6,18.0,16.6,19.0,18.6,16.1,16.1,16.0,17.5,15.5,14.0,10.5,9.6,,,,,,
安徽省,,11.1,10.6,9.3,8.9,9.1,9.2,9.6,8.3,8.2,7.5,6.7,6.0,5.6,,,,,,
福建省,,8.4,7.9,7.7,7.8,8.7,8.6,8.5,7.7,6.5,5.7,5.4,4.8,4.5,,,,,,
江西省,,7.1,6.4,6.1,6.2,6.2,5.7,5.5,5.7,5.4,5.5,5.1,5.0,4.9,,,,,,
山东省,,20.5,18.2,17.3,18.3,17.8,18.0,18.4,16.9,12.4,10.8,11.0,10.0,8.9,,,,,,
河南省,,18.4,17.6,14.0,17.1,17.8,17.2,16.4,14.8,13.1,12.3,11.5,11.1,11.9,,,,,,
湖北省,,17.1,17.0,15.8,15.4,15.8,16.3,15.2,15.1,13.5,11.6,10.8,10.7,10.1,,,,,,
湖南省,,13.3,13.4,11.2,11.4,11.7,11.5,12.9,12.4,9.5,8.5,8.3,7.6,6.8,,,,,,
广东省,,47.8,47.3,37.8,33.9,32.3,34.7,31.9,29.5,21.3,18.6,18.1,15.4,15.1,,,,,,
广西壮族自治区,,8.6,7.4,7.1,8.3,8.9,9.5,9.8,9.4,9.3,7.6,7.0,6.4,6.0,,,,,,
海南省,,2.5,2.1,2.0,2.0,2.1,2.2,2.2,2.0,1.7,1.6,1.7,1.6,1.5,,,,,,
重庆市,,7.7,7.6,8.2,8.2,8.1,8.0,7.7,6.4,5.7,5.1,5.5,5.4,5.3,,,,,,
四川省,,20.4,15.3,20.4,21.9,21.1,21.0,21.1,19.9,16.2,14.6,13.6,13.1,12.5,,,,,,
贵州省,,5.5,4.8,6.7,7.2,7.3,7.7,7.7,6.5,5.4,4.6,4.3,4.6,3.8,,,,,,
云南省,,9.6,9.4,9.9,10.4,10.1,10.0,10.1,9.2,7.8,6.4,6.2,6.4,6.1,,,,,,
西藏自治区,,1.0,1.2,0.8,1.0,1.2,1.2,1.1,1.1,1.1,0.7,0.7,0.7,0.6,,,,,,
陕西省,,13.5,12.9,17.0,18.7,18.2,18.3,17.8,16.7,14.4,14.4,12.8,12.8,11.5,,,,,,
甘肃省,,7.3,6.6,6.5,7.1,6.9,7.0,7.0,6.9,5.6,5.0,5.2,5.0,4.9,,,,,,
青海省,,2.0,1.8,2.2,2.3,2.2,2.2,2.3,2.3,2.8,2.7,2.3,2.1,1.7,,,,,,
宁夏回族自治区,,1.7,1.4,1.3,1.5,1.6,1.5,1.4,1.4,1.2,1.3,1.2,1.2,1.2,,,,,,
新疆维吾尔自治区,,6.7,6.6,6.5,6.3,6.4,6.4,6.6,6.5,6.1,5.0,4.8,4.7,4.6,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
