数据库：分省年度数据
指标：水利、环境和公共设施管理业城镇单位就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,11.6,12.4,12.2,10.7,10.3,10.2,9.9,9.8,9.4,9.0,8.8,8.8,8.1,,,,,,
天津市,,3.3,3.7,3.3,4.1,4.4,4.1,4.1,4.1,3.7,3.4,3.5,3.6,3.6,,,,,,
河北省,,9.7,9.1,12.2,12.2,11.9,11.8,11.4,11.5,11.3,10.1,10.1,9.3,8.9,,,,,,
山西省,,7.6,8.0,9.0,10.1,9.8,9.6,9.4,8.8,7.6,7.0,6.4,6.0,5.6,,,,,,
内蒙古自治区,,4.2,3.9,8.2,8.4,8.3,8.1,8.3,8.2,7.8,7.8,7.3,6.9,6.5,,,,,,
辽宁省,,8.3,7.4,10.0,13.2,14.4,15.9,16.1,15.9,15.6,14.2,12.8,11.5,11.4,,,,,,
吉林省,,5.7,6.8,7.2,8.5,8.5,8.3,8.2,8.3,8.2,8.5,8.1,7.8,7.5,,,,,,
黑龙江省,,6.5,6.7,10.4,11.0,11.1,10.9,10.2,10.2,10.2,10.2,9.7,9.2,8.5,,,,,,
上海市,,10.2,10.6,9.3,8.7,8.6,8.3,8.6,8.1,6.2,6.3,5.9,6.2,5.7,,,,,,
江苏省,,13.7,13.2,12.2,14.9,15.4,15.5,15.0,14.0,13.3,13.0,12.3,11.5,11.2,,,,,,
浙江省,,11.6,11.3,10.1,10.3,10.6,11.6,11.7,11.7,12.9,11.9,10.9,8.3,7.4,,,,,,
安徽省,,7.1,8.3,6.1,7.0,7.8,8.2,8.2,7.8,8.1,7.2,6.4,6.5,6.3,,,,,,
福建省,,7.4,6.9,5.7,5.8,5.6,5.5,5.8,5.5,5.0,4.7,4.4,4.4,4.2,,,,,,
江西省,,5.7,5.1,5.8,7.7,7.1,7.7,7.1,7.4,5.9,5.4,5.6,5.1,5.1,,,,,,
山东省,,17.7,17.8,20.4,18.1,17.6,18.3,16.8,14.9,12.5,12.0,11.6,11.1,11.3,,,,,,
河南省,,15.2,13.6,13.4,13.6,13.0,13.5,13.2,12.4,13.1,12.9,12.2,11.5,11.6,,,,,,
湖北省,,8.7,11.8,11.5,11.2,11.4,11.4,10.4,9.3,9.8,9.0,8.9,8.4,8.4,,,,,,
湖南省,,9.6,9.5,8.3,7.3,8.2,8.4,9.5,9.6,9.7,8.9,8.7,8.2,8.0,,,,,,
广东省,,20.4,18.0,18.6,17.2,16.9,17.4,17.3,16.3,14.3,14.4,14.0,13.6,13.3,,,,,,
广西壮族自治区,,7.1,7.4,7.1,7.9,8.5,9.3,9.6,9.6,8.8,8.1,7.4,6.9,6.4,,,,,,
海南省,,4.4,3.6,3.6,3.4,3.1,2.9,2.8,3.1,2.6,2.2,2.2,2.0,2.0,,,,,,
重庆市,,3.8,4.1,5.8,6.8,6.5,6.4,5.5,5.0,4.6,4.2,3.7,3.4,3.1,,,,,,
四川省,,11.0,9.8,11.4,12.7,13.0,12.8,13.2,12.1,10.6,10.1,9.8,9.2,8.3,,,,,,
贵州省,,5.0,4.3,5.1,5.3,5.2,5.0,5.0,4.6,4.2,3.8,3.3,2.9,2.9,,,,,,
云南省,,6.4,6.1,7.2,7.0,7.5,7.5,7.6,7.8,5.7,5.5,5.3,5.1,4.7,,,,,,
西藏自治区,,0.6,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,
陕西省,,9.3,10.3,10.2,9.9,9.6,9.6,9.8,8.9,8.9,8.5,7.9,7.2,6.0,,,,,,
甘肃省,,4.5,6.0,6.4,6.4,5.9,5.9,5.9,5.4,5.2,4.0,3.4,3.4,3.6,,,,,,
青海省,,1.1,1.0,1.1,1.2,1.1,1.0,1.0,1.0,1.0,1.0,1.1,1.0,0.9,,,,,,
宁夏回族自治区,,1.6,1.7,2.0,2.3,2.3,2.3,2.1,2.1,2.0,1.8,1.8,1.8,1.9,,,,,,
新疆维吾尔自治区,,6.7,5.8,5.9,5.7,5.7,5.9,5.6,5.5,5.4,5.3,5.1,4.8,4.6,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
