数据库：分省年度数据
指标：教育业城镇单位就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,58.0,57.6,55.8,50.6,48.6,47.3,45.8,46.1,44.4,42.6,40.6,41.7,39.9,,,,,,
天津市,,19.3,20.2,18.4,18.0,18.0,18.0,17.4,18.9,16.3,16.5,16.4,16.6,16.8,,,,,,
河北省,,83.0,96.0,87.9,88.2,88.1,89.1,89.9,89.7,89.9,88.8,86.3,82.5,82.7,,,,,,
山西省,,54.7,55.2,50.0,51.3,51.3,51.7,52.7,52.4,49.9,49.2,48.6,48.0,49.1,,,,,,
内蒙古自治区,,36.0,37.9,34.2,35.2,35.1,35.1,35.4,35.1,34.8,34.6,34.7,34.2,34.4,,,,,,
辽宁省,,52.7,51.0,49.0,50.3,53.7,58.0,59.9,59.1,57.8,55.1,52.3,50.9,50.3,,,,,,
吉林省,,35.9,37.2,35.9,36.1,36.2,36.1,36.6,37.1,37.2,36.8,36.7,37.1,37.7,,,,,,
黑龙江省,,39.8,39.6,40.9,41.8,43.0,44.3,45.4,45.2,47.0,45.9,46.1,45.2,44.3,,,,,,
上海市,,38.1,40.1,31.9,30.8,29.7,29.1,29.4,29.5,28.0,27.7,26.1,26.7,27.1,,,,,,
江苏省,,108.8,110.3,92.1,94.0,95.0,96.0,94.6,89.5,88.8,87.1,85.5,84.6,84.3,,,,,,
浙江省,,90.9,87.6,75.3,74.3,71.4,70.9,70.1,68.4,66.2,63.5,61.1,57.8,55.9,,,,,,
安徽省,,66.0,69.5,64.1,63.6,64.6,64.4,64.7,63.7,63.3,61.6,60.5,59.6,58.7,,,,,,
福建省,,63.5,60.7,54.7,53.1,52.1,50.3,50.1,48.2,46.7,46.1,44.7,43.7,44.3,,,,,,
江西省,,61.6,60.1,55.6,53.4,52.0,55.8,50.9,45.8,44.2,47.8,47.6,46.7,45.1,,,,,,
山东省,,129.1,121.4,113.0,116.6,117.2,117.2,120.3,120.1,109.8,107.9,109.1,106.0,105.8,,,,,,
河南省,,129.6,121.5,119.5,124.5,124.6,125.0,119.0,116.9,118.9,117.4,114.1,112.5,109.8,,,,,,
湖北省,,75.3,70.6,69.3,71.4,72.9,73.9,69.4,68.1,71.8,65.9,65.7,64.6,64.5,,,,,,
湖南省,,91.7,84.1,67.6,66.9,67.7,67.2,73.7,72.2,72.0,71.5,70.2,68.3,68.3,,,,,,
广东省,,169.8,162.4,130.1,127.5,125.6,125.5,124.5,118.6,117.7,116.1,112.3,109.0,105.7,,,,,,
广西壮族自治区,,76.7,68.7,63.1,62.4,61.8,62.0,61.9,61.8,60.8,60.2,58.1,56.1,55.8,,,,,,
海南省,,15.2,14.4,13.1,13.2,13.1,13.0,12.9,12.5,12.3,12.5,11.8,11.2,10.2,,,,,,
重庆市,,41.4,45.6,42.0,41.7,41.8,41.2,40.7,39.1,37.1,36.6,35.0,33.8,33.4,,,,,,
四川省,,114.2,104.4,96.1,96.0,94.4,94.8,94.6,90.9,89.4,85.1,82.0,82.1,81.6,,,,,,
贵州省,,57.9,53.9,55.3,54.4,54.3,53.7,51.1,47.6,44.2,42.5,41.9,41.3,40.6,,,,,,
云南省,,68.5,63.4,60.7,59.4,59.8,60.0,59.9,58.0,54.9,52.9,51.8,50.7,50.6,,,,,,
西藏自治区,,5.1,5.4,6.2,5.1,4.9,4.8,4.7,4.4,4.4,4.3,4.0,3.9,3.7,,,,,,
陕西省,,64.9,61.4,55.1,55.6,58.1,57.9,59.6,58.5,56.9,56.7,55.1,53.6,51.8,,,,,,
甘肃省,,40.8,39.2,35.6,38.2,38.7,38.9,38.1,36.5,36.8,35.2,34.2,33.6,33.7,,,,,,
青海省,,8.4,8.6,7.8,7.6,7.7,7.6,7.4,7.6,7.6,7.6,7.5,7.3,6.8,,,,,,
宁夏回族自治区,,10.3,9.6,9.0,8.9,8.9,9.3,8.9,8.8,8.4,8.2,7.9,7.8,7.7,,,,,,
新疆维吾尔自治区,,51.6,51.9,46.1,40.0,39.1,38.4,37.9,37.0,36.0,33.9,33.9,33.2,33.3,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
