数据库：分省年度数据
指标：文化、体育和娱乐业城镇单位就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,17.9,18.6,19.0,19.0,18.7,18.3,17.4,18.1,17.1,16.5,15.3,15.8,14.9,,,,,,
天津市,,1.7,2.1,2.3,2.5,2.1,2.2,2.1,2.3,1.9,1.6,1.8,1.8,1.8,,,,,,
河北省,,5.2,5.2,5.1,5.0,5.5,5.5,5.3,5.3,5.2,5.1,5.0,4.7,4.7,,,,,,
山西省,,4.6,4.4,4.7,4.4,4.6,4.6,4.9,4.7,4.5,4.6,4.6,4.6,4.8,,,,,,
内蒙古自治区,,3.2,3.2,3.3,3.7,3.5,3.5,3.5,3.5,3.3,3.3,3.3,3.3,3.3,,,,,,
辽宁省,,4.4,4.5,4.1,4.7,5.0,5.1,5.3,5.5,5.1,5.2,5.1,5.4,5.0,,,,,,
吉林省,,3.0,3.3,3.7,3.7,3.5,3.6,3.5,3.6,3.6,3.7,3.7,3.7,3.7,,,,,,
黑龙江省,,2.5,2.8,3.5,3.8,3.9,4.0,4.1,4.6,4.2,4.1,3.9,3.9,3.8,,,,,,
上海市,,6.0,7.5,5.9,6.4,6.0,5.6,5.7,5.9,5.1,5.2,4.7,4.6,4.4,,,,,,
江苏省,,8.9,9.2,7.9,8.0,7.9,7.8,7.8,7.7,6.1,6.0,5.7,5.6,5.4,,,,,,
浙江省,,7.9,8.0,7.1,6.7,6.8,7.4,7.2,7.2,6.7,6.6,6.2,5.9,5.2,,,,,,
安徽省,,3.5,3.7,3.3,3.2,3.4,3.2,3.4,3.4,3.6,3.3,3.4,3.3,3.5,,,,,,
福建省,,4.2,4.2,4.3,4.3,4.2,4.3,4.0,4.0,3.6,3.8,3.7,3.7,3.8,,,,,,
江西省,,3.3,3.0,2.9,3.4,4.2,3.8,3.0,3.3,3.9,2.9,3.2,3.2,3.3,,,,,,
山东省,,7.5,6.9,7.1,7.1,7.0,7.0,7.1,7.2,6.9,6.6,6.7,6.4,6.0,,,,,,
河南省,,7.5,6.8,7.1,7.7,7.8,7.8,7.5,8.5,7.1,7.1,7.0,7.1,7.2,,,,,,
湖北省,,6.1,5.9,6.7,7.2,6.5,6.3,5.7,5.6,6.3,5.4,5.1,5.1,4.9,,,,,,
湖南省,,6.2,6.2,5.5,5.7,5.7,5.5,5.3,5.1,5.0,5.2,4.6,4.3,4.4,,,,,,
广东省,,12.5,13.4,10.5,11.5,11.8,11.6,11.5,10.9,9.5,9.2,9.4,9.0,8.9,,,,,,
广西壮族自治区,,2.9,3.2,3.2,3.3,3.2,3.4,3.4,3.3,3.3,3.3,3.2,3.1,3.1,,,,,,
海南省,,1.6,1.3,1.4,1.3,1.3,1.2,1.2,1.3,1.1,1.2,1.2,1.4,1.2,,,,,,
重庆市,,2.7,2.7,2.8,3.2,2.9,2.9,2.6,2.6,2.6,2.6,2.6,2.4,2.4,,,,,,
四川省,,6.3,5.5,5.5,6.3,6.1,6.1,6.3,5.9,4.5,4.4,4.4,4.4,4.3,,,,,,
贵州省,,2.4,2.3,2.4,2.4,2.3,2.1,2.0,1.9,1.6,1.9,1.8,1.9,1.9,,,,,,
云南省,,3.8,3.8,3.8,3.7,3.6,3.5,3.4,3.5,3.4,3.4,3.6,3.5,3.2,,,,,,
西藏自治区,,0.7,0.6,0.9,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,,,,,,
陕西省,,5.6,5.7,5.6,5.6,5.0,5.0,4.5,4.6,5.0,4.9,4.6,4.4,4.2,,,,,,
甘肃省,,2.9,2.8,2.7,2.8,2.7,2.5,2.5,2.5,2.6,2.5,2.8,2.5,2.4,,,,,,
青海省,,0.8,0.8,0.8,0.9,0.8,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.7,,,,,,
宁夏回族自治区,,1.0,0.8,0.9,1.0,1.0,1.1,0.9,0.8,0.7,0.7,0.8,0.9,0.8,,,,,,
新疆维吾尔自治区,,2.7,2.6,2.7,2.9,3.0,3.0,3.0,3.0,2.9,3.2,2.7,2.6,2.4,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
