数据库：分省年度数据
指标：交通运输、仓储和邮政业私营企业和个体就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,30.8,32.3,29.6,26.1,25.9,24.4,15.9,15.7,15.5,15.0,13.4,11.5,9.7,10.6,8.2,5.1,,
天津市,,,6.6,6.1,5.0,4.3,3.9,3.2,2.8,5.7,5.6,6.1,5.3,5.3,5.3,5.3,4.5,3.8,,
河北省,,,53.7,43.7,37.0,30.2,25.3,21.9,20.0,77.2,19.2,17.8,19.9,22.3,22.0,24.1,27.0,28.5,,
山西省,,,37.1,33.6,24.5,17.1,12.6,14.8,14.2,89.4,5.9,5.9,4.5,4.8,4.3,5.6,5.2,6.7,,
内蒙古自治区,,,20.6,19.4,16.9,17.5,18.6,19.5,31.9,25.3,13.3,13.1,13.2,12.1,9.8,8.6,8.5,7.9,,
辽宁省,,,49.6,47.8,48.2,62.8,64.8,69.5,64.4,67.4,68.7,67.2,88.4,60.3,63.8,47.2,50.5,49.0,,
吉林省,,,47.7,47.0,42.6,22.4,16.6,17.0,15.9,13.8,14.6,12.3,12.9,13.8,13.0,11.3,9.6,7.4,,
黑龙江省,,,33.1,29.9,9.8,8.4,6.9,17.3,21.5,27.5,19.0,15.2,17.4,17.8,19.4,17.9,17.0,16.9,,
上海市,,,46.6,45.2,42.5,38.9,37.4,32.5,27.6,25.2,22.8,22.2,21.0,20.5,15.2,14.2,12.5,8.5,,
江苏省,,,103.5,98.5,81.9,65.9,57.4,54.7,51.1,146.3,39.5,38.9,35.1,31.7,24.6,23.2,21.2,17.0,,
浙江省,,,51.3,49.1,46.1,41.6,37.5,31.2,28.4,26.9,26.2,24.2,23.5,23.9,24.6,24.3,23.5,23.1,,
安徽省,,,31.0,27.9,24.1,19.6,16.2,14.1,12.1,11.3,10.4,10.6,12.2,18.2,23.5,26.9,23.9,23.3,,
福建省,,,31.2,22.3,22.2,19.0,16.0,12.9,10.9,10.6,9.3,7.7,6.3,5.2,4.5,3.9,3.2,3.3,,
江西省,,,27.2,26.1,25.3,26.4,26.0,24.2,20.2,19.7,20.1,16.8,16.1,15.0,13.5,14.0,12.7,10.5,,
山东省,,,78.3,69.5,63.1,57.9,52.6,54.9,51.1,46.8,43.5,38.0,34.2,28.6,29.2,27.8,25.1,24.2,,
河南省,,,36.7,32.8,22.7,17.9,15.0,12.9,11.1,15.7,15.6,14.9,16.1,17.4,21.4,21.3,22.2,24.5,,
湖北省,,,64.6,60.2,46.7,42.9,44.4,43.4,42.5,30.8,26.9,22.8,19.8,17.2,17.2,18.2,18.2,19.4,,
湖南省,,,27.6,23.7,17.5,13.0,16.8,16.9,14.4,15.0,13.9,16.3,11.6,11.1,12.5,13.7,13.0,13.2,,
广东省,,,83.9,76.9,67.5,57.8,48.4,39.7,33.7,31.5,30.1,27.6,28.5,28.9,25.4,23.9,14.2,13.7,,
广西壮族自治区,,,35.6,32.2,24.3,18.5,20.2,22.6,21.5,52.0,19.1,19.6,23.1,19.9,18.9,17.5,15.6,14.7,,
海南省,,,5.4,4.9,8.3,4.6,5.5,5.6,5.1,9.9,4.5,4.8,4.4,3.9,3.1,3.3,3.4,3.3,,
重庆市,,,29.3,26.9,23.5,20.0,16.7,14.3,12.3,11.3,10.3,8.8,9.0,8.4,8.2,7.3,6.0,6.5,,
四川省,,,25.9,21.6,17.2,21.4,21.2,17.1,24.7,23.5,21.6,25.0,23.4,20.7,20.5,19.0,18.7,17.2,,
贵州省,,,17.3,18.9,10.1,9.6,8.7,8.8,8.5,6.5,5.8,6.1,5.7,5.3,4.9,4.5,4.6,4.4,,
云南省,,,16.7,14.1,13.0,12.9,12.0,13.8,12.6,11.0,10.6,9.6,8.7,8.3,8.0,8.0,10.0,7.7,,
西藏自治区,,,5.5,2.3,1.2,1.0,0.7,0.9,0.9,1.0,0.9,0.8,0.7,0.7,0.8,0.6,0.7,0.6,,
陕西省,,,24.4,24.5,14.1,7.7,6.8,6.4,9.8,7.4,6.9,8.1,26.4,5.6,7.1,6.2,7.3,11.5,,
甘肃省,,,8.9,8.2,7.3,6.5,5.7,5.0,4.3,3.8,3.1,2.8,2.8,2.3,2.3,2.2,1.9,1.9,,
青海省,,,5.0,4.9,4.3,1.2,0.8,0.8,0.7,1.2,1.4,1.6,1.9,1.8,2.1,2.3,1.5,2.2,,
宁夏回族自治区,,,3.4,2.5,3.0,2.6,2.5,2.1,1.8,1.9,1.8,1.7,1.3,1.3,1.0,1.0,1.0,1.2,,
新疆维吾尔自治区,,,12.0,10.6,8.8,7.9,7.4,7.0,7.2,6.3,5.7,6.3,6.0,7.7,7.7,8.0,7.9,7.8,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
