数据库：分省年度数据
指标：租赁和商务服务业私营企业和个体就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,192.5,194.6,186.4,171.7,152.6,122.5,99.3,84.5,73.9,65.2,58.1,52.9,45.6,49.1,42.6,2.6,,
天津市,,,23.6,20.1,23.7,19.7,14.6,11.7,10.8,11.8,12.8,11.0,7.7,8.0,7.8,7.2,5.7,4.7,,
河北省,,,47.6,40.6,35.1,29.5,23.8,18.7,16.0,17.5,13.4,11.6,11.6,10.7,7.5,6.7,4.5,3.4,,
山西省,,,27.3,26.8,24.0,20.2,18.2,17.1,13.7,6.3,8.4,7.5,5.5,5.9,4.8,4.5,2.8,0.7,,
内蒙古自治区,,,46.1,38.1,36.0,28.7,25.8,19.0,16.2,13.3,12.2,9.8,7.9,7.8,4.4,3.6,2.9,2.5,,
辽宁省,,,63.4,56.3,49.1,36.1,40.6,54.5,42.0,36.9,33.4,27.4,27.0,19.4,18.4,16.4,14.5,12.3,,
吉林省,,,32.8,30.9,32.5,27.8,26.1,17.6,13.5,11.8,10.0,8.5,6.9,7.1,4.6,4.8,4.5,15.3,,
黑龙江省,,,16.8,15.3,13.9,11.7,8.9,20.4,26.3,22.0,19.5,14.5,10.7,8.9,6.4,4.8,4.7,4.3,,
上海市,,,353.4,316.5,276.7,238.4,203.3,154.8,118.0,97.8,84.1,71.1,81.0,56.1,56.6,56.0,55.5,43.4,,
江苏省,,,333.3,336.9,317.8,282.9,183.5,126.0,111.5,91.0,77.6,68.1,56.1,47.8,37.2,30.7,24.3,16.6,,
浙江省,,,224.6,212.4,261.7,212.0,203.7,112.4,87.3,70.2,66.3,57.1,47.1,42.8,29.8,24.3,18.9,12.2,,
安徽省,,,88.8,78.2,69.9,56.4,46.4,37.3,29.9,22.8,26.2,21.3,16.8,15.9,12.3,12.8,7.4,5.5,,
福建省,,,137.2,172.3,114.4,95.2,71.6,55.5,46.4,44.6,38.2,30.8,25.9,20.5,16.8,12.7,9.3,6.7,,
江西省,,,85.3,77.9,70.0,64.8,57.4,45.7,33.2,25.3,17.7,11.4,11.1,9.4,6.5,5.8,4.6,3.5,,
山东省,,,277.9,184.6,157.9,128.4,106.4,86.2,68.5,67.6,59.5,50.1,43.1,32.1,26.3,23.6,22.7,17.2,,
河南省,,,102.6,88.2,76.3,54.5,44.6,36.1,27.7,29.2,28.0,23.5,19.0,11.5,8.5,7.4,5.1,3.0,,
湖北省,,,116.9,108.3,100.0,84.8,74.5,63.3,44.7,35.9,28.1,23.1,22.3,15.5,13.6,10.6,9.4,8.0,,
湖南省,,,82.8,67.5,56.4,43.5,171.4,133.2,95.2,106.4,90.0,68.4,60.5,57.2,53.5,50.5,66.5,64.6,,
广东省,,,525.0,441.1,367.8,268.8,183.0,151.4,121.2,124.5,106.6,89.3,85.6,80.7,72.2,61.7,25.6,18.8,,
广西壮族自治区,,,89.7,80.9,66.1,54.9,42.8,32.9,25.8,22.4,18.5,15.7,14.5,9.8,12.3,7.9,6.7,5.4,,
海南省,,,24.5,23.7,20.2,19.4,19.5,16.3,13.2,10.8,8.6,7.0,5.7,5.0,4.2,3.4,2.8,2.1,,
重庆市,,,151.6,139.9,117.1,99.5,87.2,69.3,48.7,50.6,39.6,29.3,26.3,21.0,17.0,12.4,8.0,5.1,,
四川省,,,102.8,79.9,65.2,119.8,141.9,66.5,60.2,36.7,29.6,41.6,35.6,29.4,25.2,20.5,16.5,11.2,,
贵州省,,,52.8,47.3,41.1,33.5,28.0,25.2,17.4,11.9,7.0,5.3,4.5,3.9,2.8,2.4,1.9,1.5,,
云南省,,,48.3,44.2,41.2,38.1,33.2,37.5,29.5,23.1,20.5,15.5,12.6,11.2,9.4,5.5,4.6,3.9,,
西藏自治区,,,7.4,8.9,8.5,8.0,8.5,3.4,2.7,2.1,1.9,1.4,1.2,0.9,0.5,0.3,0.2,0.1,,
陕西省,,,55.5,41.4,24.0,21.6,19.4,23.0,21.9,20.1,19.4,12.1,12.2,8.1,8.8,6.3,5.9,4.6,,
甘肃省,,,26.1,23.2,20.2,17.5,14.6,11.0,7.7,6.2,5.6,4.7,4.5,3.7,3.4,2.8,2.3,2.1,,
青海省,,,7.2,6.0,4.8,3.5,2.5,2.1,1.6,1.7,0.9,0.8,0.7,0.7,0.6,0.5,0.3,0.3,,
宁夏回族自治区,,,14.4,6.5,13.7,11.4,9.3,7.3,6.0,4.8,4.3,3.4,2.8,2.1,2.3,1.8,1.3,0.7,,
新疆维吾尔自治区,,,29.9,30.0,30.8,26.8,23.5,20.6,16.8,9.9,8.3,9.1,8.3,6.9,5.7,5.1,4.0,3.1,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
