数据库：分省年度数据
指标：居民服务和其他服务业私营企业和个体就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,23.0,23.3,21.9,21.0,20.7,19.0,19.4,20.3,21.0,21.2,20.7,19.6,19.2,19.2,17.0,20.9,,
天津市,,,15.9,12.9,11.8,9.6,8.1,6.8,6.1,5.6,5.3,5.3,5.0,5.1,4.8,4.8,4.4,3.9,,
河北省,,,100.1,87.9,74.6,62.7,50.9,41.8,35.0,34.8,36.3,31.8,31.2,27.7,24.8,24.1,23.0,21.7,,
山西省,,,59.8,55.7,51.7,46.5,39.5,32.3,27.8,17.6,28.3,27.2,23.8,22.3,18.1,12.1,10.8,13.7,,
内蒙古自治区,,,48.0,53.3,64.9,51.9,52.2,47.9,41.0,29.1,25.4,22.3,20.1,16.7,15.4,14.7,13.4,12.2,,
辽宁省,,,81.8,73.3,66.9,61.0,55.5,61.3,58.6,56.5,41.7,41.4,40.6,42.7,32.0,29.1,29.9,28.2,,
吉林省,,,64.9,61.4,64.2,49.8,45.3,41.2,40.1,35.9,34.2,22.6,18.1,13.8,10.7,10.2,9.6,8.0,,
黑龙江省,,,87.7,52.9,50.0,44.9,36.1,45.8,41.6,49.4,37.8,59.7,26.8,22.5,19.7,18.6,18.6,17.3,,
上海市,,,26.9,25.5,23.2,21.2,20.7,19.2,17.8,17.5,17.1,16.8,16.6,15.9,19.1,18.7,18.3,13.2,,
江苏省,,,168.7,156.9,140.8,122.3,108.6,97.9,90.7,81.8,81.7,74.0,69.4,62.9,54.4,51.2,69.8,39.5,,
浙江省,,,124.8,117.5,114.1,114.1,98.8,79.8,63.2,57.9,56.9,53.1,53.8,46.4,46.1,44.5,42.1,44.2,,
安徽省,,,123.1,99.7,86.4,74.2,63.7,56.4,43.6,48.3,49.2,43.1,40.7,31.5,34.0,39.8,32.9,30.3,,
福建省,,,78.5,67.1,61.1,53.1,43.8,36.7,31.1,38.2,36.1,29.5,29.3,20.6,17.6,18.1,16.7,14.7,,
江西省,,,67.0,60.3,55.4,51.8,50.3,45.4,40.8,70.9,69.6,30.2,26.4,22.7,22.9,22.8,20.4,18.7,,
山东省,,,353.2,197.9,165.2,139.3,117.7,94.8,80.9,75.4,70.9,63.7,56.9,48.2,47.7,47.1,48.1,41.8,,
河南省,,,92.1,71.7,112.7,87.4,71.2,63.6,51.1,60.5,54.3,47.3,45.0,37.8,35.3,36.2,33.3,31.7,,
湖北省,,,128.8,124.8,123.9,111.8,114.7,110.3,91.7,62.9,59.9,48.8,42.2,35.6,31.1,27.1,26.5,24.2,,
湖南省,,,66.6,96.5,68.9,47.9,48.3,48.9,40.7,36.8,35.1,32.0,21.8,19.6,18.3,20.7,19.1,18.3,,
广东省,,,261.3,248.7,229.3,184.4,147.6,123.7,98.5,88.0,85.1,82.7,79.4,76.0,69.6,63.9,58.2,50.9,,
广西壮族自治区,,,64.7,54.2,50.3,43.5,37.5,32.0,28.1,21.8,20.6,19.6,22.8,19.5,20.9,17.9,15.8,15.0,,
海南省,,,17.1,15.8,14.2,13.1,12.4,11.3,9.9,8.8,8.1,7.3,6.5,5.6,5.4,4.4,3.8,3.6,,
重庆市,,,75.0,71.6,62.5,56.0,49.2,41.9,34.5,30.5,24.2,17.9,17.8,15.2,13.9,12.5,13.2,14.6,,
四川省,,,102.7,91.5,79.4,77.1,69.5,59.5,65.8,59.2,54.7,55.0,53.5,49.3,43.8,39.6,36.9,32.2,,
贵州省,,,59.9,51.0,46.5,40.5,34.5,28.1,22.7,17.7,14.2,12.6,11.8,10.5,10.2,9.1,7.2,7.8,,
云南省,,,63.4,55.8,50.1,45.2,41.5,42.0,37.1,32.9,29.7,26.2,22.9,20.0,18.4,15.2,13.9,12.8,,
西藏自治区,,,6.3,6.8,6.5,6.1,4.9,4.2,4.0,4.2,3.9,3.2,2.9,2.7,2.5,2.2,2.1,1.9,,
陕西省,,,86.7,72.5,55.9,50.9,46.7,53.1,46.9,42.0,38.7,21.0,7.6,22.7,21.5,18.2,19.7,25.4,,
甘肃省,,,36.6,33.9,32.3,29.3,25.8,21.9,18.8,16.1,15.1,13.0,11.7,10.4,9.0,8.3,7.7,8.0,,
青海省,,,10.8,10.1,8.5,7.1,6.1,5.2,4.2,4.3,4.1,3.8,3.5,3.2,3.0,3.2,2.9,2.7,,
宁夏回族自治区,,,14.3,13.7,13.6,11.8,11.7,10.3,8.8,9.8,8.8,8.7,7.5,5.8,5.7,5.6,4.1,3.6,,
新疆维吾尔自治区,,,43.2,35.8,30.5,26.0,21.8,17.7,16.3,14.4,15.2,15.0,14.8,12.8,11.6,11.3,10.3,10.3,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
