数据库：分省年度数据
指标：城镇私营企业和个体就业人员(万人)
时间：最近20年
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,708.6,750.3,734.2,685.2,638.4,553.3,420.5,357.0,340.4,323.2,297.0,282.2,253.7,269.6,230.7,220.8
天津市,214.2,193.9,201.4,179.1,158.7,141.8,132.4,130.7,128.9,123.3,113.9,116.2,48.7,57.6,54.3,52.3
河北省,711.4,638.5,572.3,510.7,429.9,373.7,430.2,345.2,349.6,294.1,452.3,255.8,222.2,187.6,165.8,150.3
山西省,428.9,393.5,356.7,323.1,272.3,250.5,232.1,215.4,179.7,170.7,132.0,133.4,112.5,89.0,80.1,91.1
内蒙古自治区,395.2,432.3,499.4,427.5,416.3,437.3,341.5,291.4,254.7,216.0,193.7,170.1,137.0,122.4,107.3,100.3
辽宁省,553.8,548.5,551.8,522.2,576.7,675.1,612.7,607.3,562.2,511.4,499.9,422.7,422.1,376.5,367.9,365.1
吉林省,412.2,425.5,433.2,439.9,441.1,392.0,361.1,313.6,279.4,247.3,196.3,170.0,133.2,132.1,152.3,159.9
黑龙江省,472.8,412.4,355.2,313.4,253.5,353.5,392.3,373.4,320.6,293.9,240.2,228.8,207.9,194.1,186.5,173.8
上海市,799.4,773.0,714.4,641.2,585.7,500.3,426.3,392.9,367.3,343.1,338.1,307.7,290.6,282.9,279.1,233.1
江苏省,2703.6,2743.7,2553.9,2296.5,1977.7,1776.8,1678.6,1467.0,1389.5,1297.3,1147.1,1019.1,828.6,722.3,586.4,448.0
浙江省,1897.4,1774.0,1753.6,1605.9,1495.1,1208.4,1008.5,895.1,856.1,758.8,689.8,646.3,630.5,467.0,373.2,383.1
安徽省,1106.3,1099.4,1013.6,879.8,755.1,655.4,523.9,480.4,420.2,397.4,277.3,236.7,256.5,205.6,210.1,201.0
福建省,1157.3,1326.0,938.1,846.6,666.5,562.9,485.8,507.5,446.0,278.4,319.6,263.3,222.8,182.1,155.4,128.3
江西省,732.8,651.8,580.7,547.5,517.1,450.5,368.4,336.7,334.9,247.5,230.3,229.1,230.3,221.3,193.2,163.1
山东省,1135.3,970.2,954.8,915.4,905.4,861.3,762.0,733.1,704.0,636.6,536.9,501.8,499.7,478.0,437.6,393.4
河南省,1191.7,1223.0,1114.0,880.4,712.7,604.3,459.2,501.3,447.6,375.2,332.4,261.9,239.0,230.5,209.5,173.6
湖北省,1021.9,946.0,871.1,829.6,852.6,809.6,623.0,634.5,557.4,451.8,414.1,326.6,266.0,243.5,231.7,201.6
湖南省,655.9,529.8,524.6,468.5,917.6,810.2,652.9,537.6,490.3,372.7,334.6,307.1,286.3,277.3,276.6,254.5
广东省,4225.6,3774.5,3551.1,3071.3,2550.9,2106.5,1670.1,1488.6,1363.7,1233.1,1222.2,1143.5,1056.0,895.4,708.4,540.7
广西壮族自治区,642.7,587.0,519.0,499.8,380.5,343.0,297.7,276.5,280.1,241.5,220.2,208.3,194.8,166.5,144.1,127.5
海南省,159.8,176.6,156.0,139.3,143.6,133.7,119.1,100.8,90.3,79.8,70.5,60.7,68.4,49.7,47.0,41.9
重庆市,1117.0,1028.6,921.9,824.8,726.1,614.3,505.7,433.7,355.7,266.4,249.8,215.5,181.5,137.0,138.3,114.3
四川省,1048.8,665.8,561.3,1135.1,1126.5,687.5,514.0,501.1,443.7,458.9,444.2,412.7,360.3,317.0,289.4,229.3
贵州省,350.0,282.3,231.3,193.9,192.7,185.5,170.1,150.2,117.2,99.2,91.2,84.2,84.4,77.7,71.1,63.3
云南省,550.9,479.9,403.0,311.2,197.2,438.4,401.9,376.9,375.3,324.6,280.9,263.3,208.0,159.3,163.4,125.4
西藏自治区,68.2,99.4,90.9,84.9,65.1,47.4,44.5,42.0,38.1,30.9,28.6,25.0,21.6,16.0,13.4,11.7
陕西省,914.7,675.3,485.9,440.7,404.7,355.4,300.9,265.6,246.9,117.5,106.8,152.8,138.4,132.4,111.7,127.6
甘肃省,274.8,251.8,244.2,225.0,210.3,189.9,166.5,143.8,135.9,123.6,107.5,94.2,83.8,74.9,69.1,70.2
青海省,91.0,97.1,84.2,67.6,56.7,54.1,49.9,47.3,44.2,43.2,39.4,36.0,41.5,39.2,38.9,36.0
宁夏回族自治区,100.5,80.2,116.7,107.0,93.6,75.1,56.7,69.7,70.2,48.6,52.0,28.1,36.7,37.4,28.0,27.7
新疆维吾尔自治区,415.4,361.7,586.3,297.3,259.2,218.8,176.2,183.8,149.0,132.4,130.0,130.1,127.8,124.9,115.7,105.9
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
