数据库：分省年度数据
指标：制造业城镇私营企业和个体就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,15.6,17.7,18.2,17.6,19.8,20.3,11.0,9.7,10.8,11.5,11.7,13.6,13.1,14.9,15.8,16.1,,
天津市,,,33.5,33.7,34.8,35.5,34.5,33.3,32.8,33.2,34.0,33.4,32.9,33.4,10.4,11.4,11.3,11.1,,
河北省,,,70.5,67.4,65.1,62.3,58.1,54.5,89.9,66.3,72.6,59.4,56.1,75.9,59.6,53.6,47.0,40.4,,
山西省,,,40.0,35.5,33.7,30.8,28.0,27.2,26.4,22.1,15.1,16.1,10.0,14.0,12.2,8.9,9.1,9.0,,
内蒙古自治区,,,28.3,29.8,31.8,29.6,29.3,38.5,25.7,26.8,24.9,24.4,22.2,20.0,17.8,16.7,15.1,13.8,,
辽宁省,,,83.1,86.1,90.8,75.3,86.4,95.1,88.7,87.7,89.4,87.5,79.2,67.9,70.3,67.1,74.8,72.7,,
吉林省,,,39.5,40.9,42.1,44.0,47.7,42.4,39.8,40.5,40.5,31.5,29.6,26.0,21.6,24.3,30.2,14.2,,
黑龙江省,,,29.6,28.7,26.9,21.9,18.5,39.6,39.8,40.1,38.6,34.2,36.0,35.1,32.2,31.7,30.0,25.6,,
上海市,,,45.2,48.0,50.8,51.5,53.7,52.3,50.7,51.2,53.3,53.5,51.5,52.1,48.4,47.3,46.6,41.7,,
江苏省,,,590.1,634.3,626.5,601.5,575.4,554.4,546.3,494.5,488.9,475.3,436.3,410.7,346.5,294.5,231.7,183.1,,
浙江省,,,441.5,438.6,432.1,416.4,417.0,382.6,336.2,292.6,288.2,259.7,224.9,217.5,220.9,174.3,131.6,144.1,,
安徽省,,,161.3,162.4,153.6,137.7,123.9,111.9,97.5,85.2,73.6,57.5,42.6,40.0,47.3,42.9,40.5,38.3,,
福建省,,,150.4,120.0,137.1,126.1,111.1,100.9,94.4,90.5,83.9,65.4,68.2,61.5,56.2,42.0,36.1,28.5,,
江西省,,,97.8,88.5,77.0,74.0,70.0,63.3,51.0,56.6,61.8,53.3,53.9,56.3,56.1,50.6,46.2,43.6,,
山东省,,,112.3,120.2,124.2,123.5,126.6,131.8,131.2,142.9,145.0,144.0,125.8,125.8,147.8,145.9,132.8,118.4,,
河南省,,,120.4,124.1,114.0,94.5,79.4,71.6,61.9,75.5,67.9,61.9,60.6,46.9,45.5,42.7,33.5,27.2,,
湖北省,,,87.1,81.8,84.6,93.9,100.5,108.7,90.8,99.9,80.0,71.5,68.6,59.2,48.5,49.7,44.4,39.9,,
湖南省,,,39.6,36.0,35.1,32.9,83.1,76.7,66.7,49.0,44.3,39.4,35.6,34.6,39.3,41.5,43.2,34.5,,
广东省,,,434.5,491.0,468.9,425.9,402.1,365.3,332.4,318.8,306.8,293.3,303.7,275.8,264.8,220.7,142.4,102.3,,
广西壮族自治区,,,48.7,44.2,38.2,35.1,32.6,31.8,31.0,34.0,35.9,34.7,31.4,30.5,26.9,24.0,22.1,19.4,,
海南省,,,5.4,5.8,5.2,5.2,5.8,5.6,5.2,4.6,4.6,4.4,4.0,3.7,3.4,3.6,3.4,2.3,,
重庆市,,,67.8,65.9,62.7,59.6,57.4,53.1,47.4,43.0,38.7,30.1,28.4,25.5,23.3,17.2,24.1,20.7,,
四川省,,,50.9,44.0,40.2,90.3,94.1,114.4,59.8,63.4,63.0,64.2,62.0,73.3,49.3,44.9,40.8,36.9,,
贵州省,,,27.3,20.1,16.4,17.1,17.9,16.8,15.1,14.6,14.2,13.0,12.9,12.4,12.5,11.7,10.3,10.0,,
云南省,,,39.5,35.5,31.4,24.2,13.9,48.0,46.5,46.7,47.1,45.0,39.1,36.3,27.2,23.4,21.0,17.2,,
西藏自治区,,,4.0,6.0,5.6,5.1,3.6,2.3,2.0,2.4,2.2,1.8,1.7,1.5,1.2,0.9,0.8,0.7,,
陕西省,,,49.1,40.8,31.3,28.9,28.1,26.0,22.4,21.1,21.9,47.2,18.4,17.8,15.8,17.2,14.4,14.6,,
甘肃省,,,15.3,14.8,15.0,14.1,14.6,13.6,12.8,12.2,12.2,11.6,10.5,9.4,9.4,8.4,7.7,8.1,,
青海省,,,5.2,5.5,4.9,4.1,3.5,4.4,4.1,4.3,4.6,5.2,4.7,5.3,6.0,5.9,5.4,4.7,,
宁夏回族自治区,,,4.7,4.4,5.9,5.3,5.5,5.3,4.2,5.7,5.9,5.2,5.7,2.7,3.8,4.5,3.3,3.9,,
新疆维吾尔自治区,,,46.8,36.2,32.8,31.0,28.2,25.8,20.2,22.7,21.6,16.3,16.3,16.2,15.2,15.2,14.1,13.5,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
