数据库：分省年度数据
指标：住宿和餐饮业城镇私营企业和个体就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,29.2,29.6,29.6,28.1,27.6,25.9,21.6,19.9,20.7,21.0,20.9,19.6,17.9,18.9,15.8,12.8,,
天津市,,,22.3,19.2,43.2,36.8,32.7,29.1,27.6,4.7,4.6,4.6,4.5,4.4,1.5,1.8,1.7,1.8,,
河北省,,,86.7,75.3,63.4,51.2,39.9,29.3,28.1,15.3,22.4,20.2,31.3,14.3,14.5,12.2,13.7,11.6,,
山西省,,,60.4,54.1,45.8,35.3,25.0,17.8,16.2,10.6,15.4,15.6,13.2,12.7,10.8,8.2,7.9,7.2,,
内蒙古自治区,,,41.2,45.0,60.8,47.0,45.4,48.1,34.4,34.7,29.7,23.1,20.7,16.9,14.2,14.2,12.6,12.1,,
辽宁省,,,53.6,49.2,43.7,41.1,38.0,33.6,31.5,31.6,33.4,31.0,27.3,28.0,29.3,27.3,26.8,28.6,,
吉林省,,,35.9,38.7,38.8,49.5,50.8,33.7,28.9,24.8,21.4,21.4,20.9,15.7,12.4,11.7,11.0,9.5,,
黑龙江省,,,78.1,79.5,60.1,52.5,42.3,42.3,35.2,34.0,30.9,28.4,25.5,23.1,21.0,21.4,20.9,19.6,,
上海市,,,22.1,21.6,19.6,17.4,16.7,15.6,15.0,15.3,16.0,16.4,16.6,15.5,13.7,12.7,12.3,10.6,,
江苏省,,,173.7,160.7,142.6,119.4,98.4,81.6,71.0,51.5,57.2,52.5,47.6,41.6,34.0,29.5,25.7,20.3,,
浙江省,,,117.1,108.1,98.2,90.3,71.7,53.8,43.6,38.5,35.8,36.1,34.4,32.3,32.9,23.7,19.1,21.7,,
安徽省,,,112.7,105.3,89.4,71.2,54.7,44.8,37.4,37.9,27.4,37.0,22.1,20.6,22.0,19.1,19.2,19.2,,
福建省,,,80.6,68.9,64.3,52.6,41.7,32.9,24.7,27.6,24.2,16.1,18.4,15.9,11.6,10.6,8.7,7.6,,
江西省,,,69.0,59.3,50.9,44.1,38.4,30.8,25.8,23.8,26.3,22.1,18.4,17.2,17.7,16.3,16.5,13.1,,
山东省,,,80.3,77.2,73.2,66.1,61.3,50.6,44.7,40.6,39.6,36.0,31.6,27.0,28.1,29.3,28.5,26.1,,
河南省,,,131.6,135.9,121.3,90.8,64.0,47.6,34.8,44.8,36.5,28.8,27.0,23.9,22.5,23.9,24.1,20.3,,
湖北省,,,114.2,105.6,112.0,96.0,88.2,87.2,57.7,47.3,40.7,32.6,32.1,25.2,21.2,18.8,20.1,17.3,,
湖南省,,,113.3,75.5,79.1,62.7,55.3,48.1,37.2,30.5,24.7,20.9,16.0,15.9,13.5,14.5,14.9,13.7,,
广东省,,,262.2,247.8,213.5,174.8,146.5,118.7,97.4,77.3,73.3,71.3,72.2,59.3,51.0,43.4,40.0,50.1,,
广西壮族自治区,,,67.4,55.8,46.9,38.5,33.8,26.5,22.9,17.3,19.1,18.5,20.4,20.6,15.5,14.5,13.1,11.6,,
海南省,,,18.4,22.1,17.0,14.6,11.7,11.3,12.6,6.7,7.1,6.6,6.0,5.0,4.4,3.3,3.0,3.1,,
重庆市,,,89.1,84.1,77.2,66.5,55.8,45.9,37.2,31.6,25.3,19.2,17.7,14.7,13.0,9.9,9.2,9.9,,
四川省,,,148.0,88.2,75.1,90.9,80.5,60.0,44.8,47.8,40.7,43.4,44.0,40.6,35.7,31.9,28.0,23.9,,
贵州省,,,65.4,46.6,37.6,24.9,17.7,19.9,17.6,14.3,10.8,8.9,7.8,7.8,7.5,7.1,5.5,5.2,,
云南省,,,76.8,64.2,53.8,39.6,27.3,31.0,28.6,29.7,30.6,28.0,24.9,22.0,19.7,15.7,19.1,12.8,,
西藏自治区,,,13.8,14.5,14.0,12.5,8.9,7.2,7.0,5.9,5.2,4.4,4.0,3.8,3.3,2.5,2.2,1.8,,
陕西省,,,125.3,107.8,84.0,71.5,58.8,41.0,32.7,28.7,25.7,8.9,7.8,18.4,16.8,18.2,13.4,11.6,,
甘肃省,,,35.3,32.1,32.3,29.1,26.5,21.8,19.5,17.7,16.0,14.9,13.0,11.1,10.6,9.4,9.1,9.6,,
青海省,,,15.7,16.8,14.6,12.5,10.1,13.8,13.4,6.5,6.3,5.7,5.3,4.7,6.1,5.1,5.1,4.7,,
宁夏回族自治区,,,16.2,14.9,12.9,10.8,9.7,7.5,5.0,6.7,5.8,5.1,4.7,3.7,4.1,3.6,2.8,2.8,,
新疆维吾尔自治区,,,57.5,47.7,40.7,35.3,29.8,22.4,17.7,14.6,15.8,14.6,14.3,14.2,15.1,17.2,15.5,15.0,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
