数据库：分省年度数据
指标：租赁和商务服务业城镇私营企业和个体就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,128.8,135.7,134.8,128.0,115.9,93.4,77.6,58.8,52.5,46.8,42.4,37.3,35.2,37.4,30.2,2.2,,
天津市,,,20.5,17.6,20.3,17.2,13.1,10.8,10.1,11.3,12.4,10.1,7.4,7.7,3.9,4.5,3.7,3.0,,
河北省,,,35.4,30.7,26.9,22.9,18.7,14.9,11.4,12.4,9.8,9.2,6.4,6.5,4.7,4.0,2.3,2.1,,
山西省,,,14.1,14.8,13.9,12.3,11.1,10.7,9.0,4.3,6.2,5.9,4.1,4.3,3.4,3.1,1.8,0.5,,
内蒙古自治区,,,25.4,29.0,31.7,24.6,22.1,16.8,13.1,12.2,11.2,9.1,7.4,7.3,3.8,3.1,2.3,2.3,,
辽宁省,,,27.1,27.1,27.7,21.4,31.8,47.2,36.6,33.5,30.4,24.2,24.0,16.7,16.1,14.0,13.1,11.7,,
吉林省,,,14.6,16.4,19.4,19.4,20.6,14.6,11.4,10.3,8.4,7.7,6.2,6.3,3.7,4.3,4.3,15.2,,
黑龙江省,,,13.4,14.0,12.6,10.5,7.6,15.8,19.4,18.0,16.2,12.6,9.3,7.7,5.5,4.3,4.3,3.9,,
上海市,,,186.7,175.0,157.1,138.4,120.6,93.0,72.7,62.1,54.1,45.1,58.7,35.8,35.6,34.4,33.7,24.2,,
江苏省,,,302.8,312.4,296.0,263.0,164.6,108.8,96.5,77.5,65.5,57.9,47.2,39.0,29.7,23.7,17.1,12.0,,
浙江省,,,196.9,185.8,236.7,190.2,176.3,94.4,73.6,61.1,58.4,44.8,35.8,32.1,25.0,18.8,13.6,10.2,,
安徽省,,,55.7,59.2,58.6,49.6,40.1,31.1,23.7,16.5,18.9,13.5,8.8,8.4,10.2,5.9,5.2,4.6,,
福建省,,,115.8,139.4,98.5,83.7,64.2,50.9,43.5,42.6,36.5,19.7,22.9,19.3,15.9,12.0,8.7,6.1,,
江西省,,,64.8,58.0,51.3,46.5,43.4,33.1,22.5,16.6,11.1,6.6,7.0,7.8,5.5,5.0,4.0,2.6,,
山东省,,,104.5,66.9,65.9,62.6,63.4,58.8,48.1,49.5,45.3,39.1,30.9,26.6,21.7,17.9,15.0,13.7,,
河南省,,,68.3,73.0,67.1,45.3,35.6,26.8,18.6,21.8,21.0,17.8,14.8,7.7,5.8,5.0,3.7,1.9,,
湖北省,,,69.0,61.6,57.9,51.2,46.2,40.0,23.9,29.3,23.8,20.1,19.9,13.3,12.0,9.7,8.7,7.0,,
湖南省,,,41.1,38.8,31.9,26.0,163.9,121.2,83.9,94.6,73.7,56.2,53.5,48.4,47.8,48.1,64.1,62.6,,
广东省,,,489.7,408.5,341.0,247.5,167.0,138.7,110.8,117.5,100.6,83.9,79.0,76.0,68.6,57.3,20.5,14.1,,
广西壮族自治区,,,55.8,52.6,45.6,43.7,26.3,22.6,17.7,19.3,15.5,12.2,10.4,8.3,11.2,7.1,5.4,4.5,,
海南省,,,17.3,19.2,17.2,16.1,17.2,15.1,12.4,10.2,8.1,6.6,5.4,4.8,4.2,3.0,2.6,2.0,,
重庆市,,,143.2,132.6,111.2,94.7,82.9,65.8,46.2,47.5,37.1,27.2,24.2,19.2,15.4,9.8,7.2,4.2,,
四川省,,,96.5,61.2,49.9,98.1,137.6,44.6,37.3,29.0,23.8,31.3,27.2,22.8,19.5,14.7,13.0,8.2,,
贵州省,,,15.5,17.0,8.5,7.4,11.8,12.6,11.3,8.6,4.8,4.3,3.6,2.9,2.4,2.0,1.6,1.3,,
云南省,,,39.2,34.3,28.5,20.8,10.4,32.3,26.2,20.8,19.2,14.5,11.7,10.3,7.6,5.0,4.2,3.4,,
西藏自治区,,,4.3,7.8,7.2,7.5,8.0,3.2,2.6,2.0,1.8,1.3,1.1,0.9,0.4,0.3,0.2,0.1,,
陕西省,,,47.9,35.5,20.5,18.4,16.2,20.1,19.1,16.7,16.0,4.0,10.0,6.1,7.6,5.5,5.0,2.2,,
甘肃省,,,16.3,14.2,12.8,11.3,9.9,7.7,5.7,4.6,4.6,4.0,3.7,3.3,3.0,2.3,1.9,1.9,,
青海省,,,5.0,5.3,4.1,2.8,1.9,1.5,1.1,1.3,0.7,0.7,0.6,0.5,0.5,0.4,0.3,0.3,,
宁夏回族自治区,,,12.2,4.7,11.7,9.5,7.4,5.3,4.0,3.7,3.3,1.9,2.3,0.6,1.7,1.5,1.1,0.6,,
新疆维吾尔自治区,,,27.5,25.4,28.9,25.1,22.0,19.3,14.7,9.5,7.8,8.2,7.4,6.5,5.4,4.9,3.8,3.0,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
