数据库：分省年度数据
指标：居民服务和其他服务业城镇私营企业和个体就业人员(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,13.3,14.1,13.6,13.4,13.7,12.6,12.8,12.8,14.1,15.4,14.9,14.6,14.4,14.2,12.5,14.4,,
天津市,,,15.7,12.7,10.0,8.1,6.9,5.8,5.2,4.9,4.7,4.7,4.6,4.6,2.1,2.6,2.4,2.1,,
河北省,,,62.6,55.4,47.4,40.1,32.9,27.2,29.0,22.8,23.7,19.6,17.3,13.4,12.7,10.6,10.4,9.4,,
山西省,,,44.7,41.4,35.8,29.8,22.7,16.3,14.9,9.9,17.5,17.1,14.0,12.8,9.6,6.7,6.1,7.5,,
内蒙古自治区,,,35.7,43.2,58.0,45.8,44.3,42.5,37.3,24.7,21.5,19.2,16.6,14.0,12.8,11.7,10.0,9.3,,
辽宁省,,,47.9,45.0,41.5,39.4,38.5,36.7,36.4,47.6,30.8,32.0,31.3,34.4,24.2,21.9,20.8,21.0,,
吉林省,,,37.7,39.1,43.9,37.0,37.8,34.5,34.5,31.3,29.6,20.0,14.5,10.9,8.0,7.8,8.2,6.7,,
黑龙江省,,,83.0,49.3,46.6,41.5,32.8,35.9,32.2,34.0,28.4,52.6,19.8,17.2,15.0,14.5,14.8,13.7,,
上海市,,,17.4,16.7,15.4,14.3,14.2,13.4,12.5,12.4,12.2,12.0,11.9,11.4,12.6,12.1,12.3,9.1,,
江苏省,,,143.9,132.3,118.2,101.2,88.1,78.4,72.0,65.3,64.1,57.6,53.3,45.9,38.7,36.6,54.5,26.9,,
浙江省,,,95.7,89.5,88.2,87.3,71.9,61.4,46.9,42.9,41.2,38.4,39.5,34.8,33.7,29.1,25.6,28.7,,
安徽省,,,92.1,87.1,77.9,67.6,58.1,50.8,37.8,41.8,34.1,34.4,31.2,19.7,20.0,15.8,16.4,15.9,,
福建省,,,56.1,46.3,44.9,39.7,32.5,27.7,23.9,29.3,27.2,16.6,21.6,15.8,13.3,13.8,12.5,10.9,,
江西省,,,54.7,47.8,42.8,38.9,36.9,32.6,28.2,23.9,23.4,19.2,17.2,15.0,16.2,15.8,14.2,11.9,,
山东省,,,77.9,76.3,71.2,65.3,61.7,53.2,44.1,42.4,40.5,35.7,31.0,27.2,27.0,26.2,24.0,23.1,,
河南省,,,57.7,55.5,98.9,74.5,59.0,50.4,38.8,36.9,33.2,27.7,27.3,22.3,20.3,21.1,20.2,16.2,,
湖北省,,,71.2,65.5,71.0,63.0,64.9,66.7,57.1,41.8,43.9,35.2,31.6,24.8,20.4,18.3,18.2,15.9,,
湖南省,,,58.4,53.4,46.4,40.5,45.0,44.8,36.7,32.1,27.3,23.0,17.3,15.2,13.3,13.7,13.6,13.0,,
广东省,,,230.0,221.4,202.6,162.2,128.0,104.5,82.3,73.1,69.9,67.5,63.5,60.6,55.2,50.1,43.1,34.4,,
广西壮族自治区,,,42.3,35.3,34.1,30.9,24.9,22.5,18.7,15.6,16.0,14.7,14.8,14.1,15.2,13.0,10.8,9.7,,
海南省,,,12.0,13.1,11.7,10.4,10.2,9.8,8.5,7.7,7.1,6.4,5.7,4.9,4.9,3.0,2.8,2.8,,
重庆市,,,67.6,64.5,56.0,49.9,43.8,37.3,30.5,27.0,21.4,15.8,15.6,13.2,11.9,10.3,9.7,9.2,,
四川省,,,83.8,51.0,43.6,60.4,56.5,46.4,35.6,36.8,34.0,33.6,32.1,29.3,26.3,23.0,21.5,17.2,,
贵州省,,,34.4,26.7,20.9,15.3,14.5,12.9,11.6,10.8,8.4,8.1,7.2,6.5,7.1,6.6,4.9,5.6,,
云南省,,,45.0,37.9,30.6,23.2,16.9,25.8,23.4,22.5,23.0,20.0,17.5,15.3,13.6,10.8,9.8,9.1,,
西藏自治区,,,5.6,6.5,6.2,6.0,4.7,3.8,3.6,3.6,3.3,2.8,2.5,2.3,2.1,1.8,1.8,1.6,,
陕西省,,,80.9,67.2,51.4,46.5,42.2,33.6,27.3,21.8,20.2,7.1,5.2,8.9,11.4,10.7,8.8,11.7,,
甘肃省,,,20.8,19.0,18.7,17.1,16.3,13.5,11.9,10.9,10.3,9.2,7.8,7.1,6.1,5.7,5.1,5.1,,
青海省,,,8.7,9.1,7.8,6.5,5.5,4.3,3.5,3.2,3.1,2.8,2.6,2.5,2.4,2.1,2.2,2.1,,
宁夏回族自治区,,,10.3,9.6,9.3,7.6,7.5,6.0,4.4,5.9,5.1,5.5,5.2,4.1,4.6,4.5,2.5,2.6,,
新疆维吾尔自治区,,,38.4,31.8,26.9,22.8,19.0,15.3,12.7,11.4,12.5,11.4,11.7,9.9,8.9,9.1,8.3,8.1,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
