数据库：分省年度数据
指标：固定资产投资(不含农户)_比上年增长(%)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
北京市,4.9,2.2,-2.5,-5.5,4.7,5.9,8.3,1.1,12.1,9.9,5.7,18.5,17.9,-2.1,19.4,16.1,11.2,16.7,18.1
天津市,4.8,3.0,13.1,-5.6,0.5,12.0,-2.5,3.1,2.5,2.7,6.6,27.3,33.8,38.2,25.4,19.9,18.5,19.1,22.3
河北省,3.0,3.2,6.5,6.0,1.6,4.3,7.0,11.7,13.3,14.7,18.9,20.0,34.4,27.5,24.5,29.1,32.4,32.8,29.0
山西省,8.7,10.6,9.3,5.7,6.3,0.1,6.7,5.1,15.5,15.2,19.9,15.3,27.7,16.4,17.6,16.3,18.7,22.2,21.1
内蒙古自治区,9.8,-1.5,6.7,-28.3,-7.3,5.6,-0.8,9.9,11.1,10.9,17.7,14.5,22.6,17.4,19.7,18.7,32.9,36.9,40.3
辽宁省,2.6,2.6,0.3,3.7,0.1,-56.6,-24.7,5.6,10.8,13.2,27.0,27.1,27.9,32.3,28.5,32.3,38.1,41.8,19.9
吉林省,11.0,8.3,-16.2,1.6,0.2,0.7,4.7,7.0,8.5,12.9,13.7,11.7,14.6,20.0,19.4,23.7,24.3,11.5,7.5
黑龙江省,6.4,3.6,6.3,-4.7,1.3,1.1,0.8,0.2,8.7,11.6,15.0,15.2,18.1,14.3,12.6,13.4,11.5,11.5,2.4
上海市,8.0,10.3,5.1,5.2,7.2,6.3,5.6,6.5,10.4,3.1,2.2,0.3,4.9,8.9,15.7,9.3,11.7,27.5,11.6
江苏省,5.8,0.3,5.1,5.5,4.5,6.9,9.7,15.9,19.4,19.8,22.9,18.4,19.4,20.9,18.5,17.2,20.4,20.7,42.3
浙江省,10.8,5.4,10.0,7.1,5.6,4.6,10.1,13.5,14.9,18.1,19.6,14.9,15.1,11.3,11.1,15.1,20.5,26.4,23.6
安徽省,9.4,5.1,9.2,11.8,6.6,9.7,9.7,14.8,18.3,20.5,25.6,25.4,29.2,29.9,39.3,37.9,28.7,31.7,28.5
福建省,6.0,-0.4,5.9,11.5,8.6,7.2,13.9,16.3,19.5,20.8,24.7,27.3,17.6,17.5,34.3,32.7,20.1,25.6,15.1
江西省,10.8,8.2,9.2,11.1,9.8,10.3,11.7,14.4,15.3,22.8,22.9,26.5,33.6,40.3,20.7,22.0,27.0,31.3,45.5
山东省,6.0,3.6,-8.2,4.1,3.2,9.1,12.0,14.9,17.8,18.1,21.3,18.5,19.7,20.5,19.7,17.0,28.8,24.5,40.9
河南省,4.5,4.3,8.0,8.1,9.0,10.5,12.6,16.0,18.6,18.1,23.1,18.9,27.3,28.2,31.1,34.6,38.9,39.7,29.3
湖北省,20.4,-18.8,10.7,11.0,11.0,12.1,15.0,19.1,23.2,26.4,30.6,25.4,32.6,26.2,23.9,22.9,18.2,23.6,9.9
湖南省,8.0,7.6,10.1,10.0,9.6,12.8,16.9,19.2,22.5,23.5,28.1,21.5,34.7,29.2,27.3,20.2,25.4,31.3,19.6
广东省,6.3,7.2,11.1,10.7,10.0,7.5,12.8,14.4,15.9,10.2,15.8,20.7,17.1,16.0,11.0,10.6,13.6,17.5,19.9
广西壮族自治区,7.6,4.2,9.6,10.8,5.0,7.5,10.5,10.8,13.5,14.3,19.4,30.7,35.1,24.8,28.3,27.3,36.1,31.8,21.5
海南省,10.2,8.0,-9.2,-12.5,7.8,11.7,10.4,15.8,27.2,29.1,35.2,33.4,41.1,41.3,19.1,17.0,16.6,18.2,21.5
重庆市,6.1,3.9,5.6,7.0,8.1,9.1,11.9,12.7,14.1,15.8,26.7,22.7,26.0,23.1,25.1,22.7,23.5,29.8,22.4
四川省,5.9,2.8,8.6,10.2,7.2,12.2,9.1,14.7,18.7,19.4,23.0,18.2,35.3,22.4,23.5,26.3,24.3,23.2,18.6
贵州省,-3.1,3.2,0.9,15.8,16.3,20.0,20.3,23.4,28.0,30.2,40.6,21.3,21.3,20.0,17.2,13.6,14.3,13.9,14.9
云南省,4.0,7.7,8.5,11.6,14.5,18.9,16.9,15.1,26.7,26.0,28.4,19.1,27.4,23.6,18.4,17.9,33.0,23.5,18.3
西藏自治区,-14.2,5.4,-2.2,9.8,18.5,20.7,18.7,20.6,27.8,26.6,18.0,17.7,16.3,12.3,10.7,7.0,12.1,19.7,13.6
陕西省,-3.0,4.1,2.5,10.4,13.0,2.6,18.4,15.8,23.9,28.4,29.0,24.3,32.0,30.5,32.3,26.9,24.2,24.9,25.3
甘肃省,11.1,7.8,6.6,-3.9,-36.8,8.3,8.6,18.2,22.7,24.8,32.5,31.4,33.6,26.3,24.3,16.3,17.7,18.5,13.4
青海省,-2.9,-12.2,5.0,7.3,5.8,5.6,8.9,17.1,19.9,22.0,35.9,16.5,25.7,12.9,11.6,18.2,11.7,13.3,4.3
宁夏回族自治区,2.2,4.0,-10.3,-18.2,0.2,6.4,8.9,18.5,24.2,24.7,30.9,28.0,26.0,33.3,16.8,15.1,17.9,17.3,30.0
新疆维吾尔自治区,15.0,16.2,2.5,-25.2,16.5,-5.8,9.1,23.0,25.1,30.6,38.6,18.6,15.3,15.6,12.6,13.6,12.6,13.6,11.0
数据来源：国家统计局
