数据库：分省年度数据
指标：经营单位所在地进出口总额(千美元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,471024235,336478080,416456752,412487938,324017423,282348960,319440570,415518593,428995812,408107320,389555977,301721548,214733053,271692899,192999761,158036628,125506425,94575725,68500170,52505290
天津市,132565199,106321816,106645671,122557291,112919165,102655947,114282803,133886075,128501788,115634270,103376166,82100050,63831234,80400836,71449733,64461940,53276804,42028606,29342440,22811400
河北省,83814594,64470226,58043282,53900873,49855543,46675380,51513748,59877359,54911571,50563060,53600835,42060370,29627252,38420533,25523410,18530877,16070353,13525851,8978250,6665250
山西省,34512188,21842015,20981625,20762372,17186875,16661411,14681315,16232813,15790979,15043110,14743057,12576225,8569032,14395057,11579483,6627099,5545655,5382487,3090130,2311540
内蒙古自治区,19120469,15222701,15939467,15690267,13873523,11640301,12731151,14556321,11994572,11258980,11930904,8729741,6774066,8918483,7735885,5960820,4876254,3721706,2829020,2434020
辽宁省,119476840,94828320,105320038,114601136,99595084,86556895,95947125,113998255,114478189,104090000,96035851,80712148,62934378,72433849,59474345,48390240,41013265,34410862,26509170,21739650
吉林省,23237798,18526325,18904123,20679164,18542971,18452886,18877390,26380786,25831735,24563010,22060930,16845182,11742407,13332125,10298001,7914038,6527723,6790448,6148410,3702480
黑龙江省,30884079,22230921,27108645,26437359,18951195,16539178,21012034,38900926,38879095,37590290,38522675,25515415,16229513,23130593,17296593,12856547,9566017,6788995,5329400,4349150
上海市,628602790,503831363,493905026,515679700,476196649,433768191,449240723,466399838,441268216,436586950,437548615,368950652,277713611,322055310,282853878,227524196,186336738,160009920,112339550,72627110
江苏省,806873228,642831839,629515934,663913736,590778136,509296406,545560447,563553079,550802269,547961490,539580894,465798959,338739703,392271930,349471786,283978384,227922762,170849007,113617400,70288540
浙江省,641092336,488542806,447224509,432360099,377907471,336575909,346783826,355039765,335788705,312401360,309377765,253534656,187730863,211133730,176847368,139141607,107389656,85204882,61410810,41955760
安徽省,107095468,78704041,68730324,62840317,54021626,44412861,47844532,49177300,45518969,39284540,31309246,24273372,15677726,20183848,15932286,12245136,9119388,7211555,5947810,4180970
福建省,285503451,203580822,193111151,187407290,171020040,156826190,168845931,177407841,169320901,155937960,143522428,108783289,79649592,84821068,74447381,62659633,54411187,47527013,35325530,28397370
江西省,77077605,58025836,50889783,48187584,44338984,40028407,42399604,42730822,36746634,33413830,31468810,21619177,12778782,13617931,9448541,6194863,4064606,3527948,2528060,1694470
山东省,453625351,320210390,296995532,292397074,264550956,234355852,240607798,276929398,266531533,245544320,235886076,189156292,139053369,158407511,122474443,95213815,76735872,60658222,44636820,33934480
河南省,127100930,97266709,82498953,82813633,77630090,71213099,73780562,64972209,59956868,51738810,32622578,17831514,13476415,17479337,12785127,9794566,7724918,6619553,4712170,3203160
湖北省,83143520,62245676,57160602,52781547,46337190,39388773,45552580,43039619,36380076,31963750,33586935,25932110,17251015,20705670,14868954,11762194,9054752,6765809,5109300,3953140
湖南省,92714858,70684462,62849835,46474201,36033297,26243470,29301801,30831603,25175308,21948730,18943763,14656390,10149466,12547194,9685853,7352256,6000189,5443515,3732360,2875840
广东省,1279548187,1024024456,1036626724,1084464573,1006678374,955298007,1022495683,1076584474,1091581437,984020460,913467331,784896124,611094049,684968798,634185954,527199096,427964967,357130622,283524770,221096310
广西壮族自治区,91701546,70414050,68221637,62302266,57878659,47627431,51090547,40548851,32827499,29484460,23355966,17738906,14254726,13236168,9258997,6667562,5181504,4277221,3186750,2430490
海南省,22872621,13586831,13152748,12733530,10374055,11348430,13966965,15862660,14985434,14322100,12756036,8648577,4881633,4528517,3514411,2846208,2542338,3401694,2274920,1866800
重庆市,123832934,94181104,83949585,79016913,66601107,62753637,74466845,95431578,68692163,53203580,29207634,12427074,7712521,9521394,7437944,5469679,4292842,3857147,2594760,1793070
四川省,147321648,116898171,98400662,89921137,68106058,49306252,51188560,70202970,64574658,59143600,47724169,32693864,24168651,22113647,14378124,11020819,7901964,6866987,5634290,4468530
贵州省,10127122,7910689,6568169,7602857,8162313,5699617,12221418,10771326,8290101,6631560,4887579,3146801,2304212,3366208,2270300,1617713,1403572,1513727,984330,691470
云南省,48659074,39128383,33692437,29857965,23451109,19902360,24491279,29607422,25303558,21013730,16028773,13430120,8047595,9596916,8793567,6224836,4743441,3741169,2669130,2226760
西藏自治区,622765,310532,702863,723178,863450,781922,913839,2254947,3319409,3424140,1358368,836067,402098,765829,393464,328377,205468,199892,159860,130370
陕西省,73644816,54595811,51033133,53304882,40202798,29947223,30498504,27364485,20128062,14799030,14647271,12101681,8405392,8328826,6887339,5360289,4576868,3642383,2782620,2224030
甘肃省,7591589,5529729,5520088,6013027,4826333,6832980,7952016,8640615,10236106,8900750,8728579,7402953,3865554,6095433,5523670,3824932,2630274,1763145,1327140,877400
青海省,484532,332800,544815,727175,655751,1529204,1934472,1717888,1402742,1157470,923817,788961,586785,688823,612073,651724,413307,575515,339140,196640
宁夏回族自治区,3318729,1782446,3489611,3776564,5039517,3252489,3739255,5435212,3217686,2216710,2285746,1959989,1202479,1879404,1581515,1437127,966574,908209,653230,442910
新疆维吾尔自治区,24298331,21373811,23707348,19999747,20568530,17637744,19669397,27672315,27561391,25170060,22819672,17130110,13947831,22217360,13715828,9103268,7940487,5634517,4769860,2691700
注：进出口数据来源于海关总署。1978年为外贸业务统计数，1980年起为海关进出口统计数。
数据来源：国家统计局
