数据库：分省年度数据
指标：经营单位所在地出口总额(千美元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,94641468,67149369,75050912,74079276,58565988,52022843,54666817,62338417,63097561,59632089,58997146,55436211,48379320,57499609,48926394,37953979,30865901,20569256,16886820,12613860
天津市,59965790,44348742,43791830,48809159,43561054,44278694,51162928,52590658,49004938,48312563,44481941,37484826,29892720,42102991,38074052,33490776,27380881,20851752,14349400,11631690
河北省,46898054,36448038,34380937,33976043,31357403,30575538,32932763,35710195,30960609,29598202,28569849,22556443,15688900,24004121,17000406,12833996,10924299,9339259,5927540,4594110
山西省,21137581,12682926,11690224,12270849,10195611,9932190,8420768,8940869,7995574,7016041,5425124,4702815,2837460,9253116,6532492,4139625,3528494,4034468,2272020,1661610
内蒙古自治区,7405217,5040045,5468324,5746596,4877962,4395988,5650008,6393548,4092561,3970163,4686973,3334426,2315480,3591850,2944394,2140501,1773624,1354465,1155690,806670
辽宁省,51250371,38326849,45437708,48790463,44865918,43062765,50710982,58745183,64522007,57959053,51042356,43098711,33414930,42069497,35324089,28319415,23438322,18913506,14579350,12366560
吉林省,5472643,4206475,4703819,4944365,4419364,4202011,4613753,5777591,6738906,5982684,4997715,4475849,3124940,4771629,3857056,2996646,2466156,1714747,2182280,1768490
黑龙江省,6931251,5190700,5068510,4449492,5209252,5035529,8035413,17335238,16231726,14435173,17672985,16280786,10082130,16806244,12257122,8435951,6069437,3680685,2874260,1986650
上海市,243312500,198043609,198993764,207144615,193642899,183352132,195913212,210133864,204180026,206730168,209673843,180713982,141796030,169145142,143846108,113589268,90717519,73505255,48452960,32037390
江苏省,503544470,396126756,394828281,403974812,363026227,319053086,338644778,341832503,328801752,328523522,312590057,270538690,199199190,238029408,203609780,160409625,122966712,87494225,59113020,38465120
浙江省,466122246,363109922,334604757,321038849,286793275,267863753,276332114,273327046,248746241,224517144,216349491,180464783,133012950,154296230,128263973,100890558,76802448,58138541,41594970,29410680
安徽省,63382168,45578724,40411116,36196609,30596115,28446682,32270174,31485371,28251314,26748502,17082639,12412888,8886490,11364111,8813734,6837748,5188504,3936813,3063630,2453130
福建省,167409830,122382982,120202566,115526413,104916672,103677985,112680109,113452293,106474420,97832594,92837782,71493128,53319110,56991843,49937573,41261744,34841868,29394755,21131730,17370630
江西省,56822783,42055760,36192955,33942689,32488265,29798398,33116737,32025319,28166652,25112787,21876063,13416063,7368490,7726656,5444587,3753018,2439340,1994754,1504900,1051980
山东省,272232431,188919732,161439709,160115821,147037464,137096088,143925676,144708654,134190125,128709205,125712568,104225604,79490710,93194785,75110105,58598337,46122893,35844519,26557060,21107830
河南省,77807346,59296399,54213275,53775586,47030963,42805509,43061365,39383031,35987102,29676445,19239910,10529372,7345380,10718897,8374916,6634402,5087533,4174640,2979290,2118620
湖北省,54312158,39062611,35995349,34071501,30486227,26039342,29211816,26642422,22836208,19398498,19534601,14441795,9978800,11708909,8172939,6260627,4428684,3382194,2655370,2098260
湖南省,65236093,47824232,44540738,30542617,23170836,17692536,19137092,19943002,14821196,12602200,9903796,7955989,5492030,8412884,6515397,5091822,3747136,3106434,2145850,1795280
广东省,781909833,628257173,629454196,646500791,622868368,598601986,643172084,646087011,636363845,574050767,531926569,453191160,358954890,405664468,369316088,301946429,238158830,191571044,152848230,118462740
广西壮族自治区,45449652,39175054,37746501,32789905,28091189,22926413,27933976,24327425,18693257,15467752,12457758,9603073,8375370,7347444,5109157,3592972,2876634,2385585,1969920,1507460
海南省,5148379,4024003,4987032,4488487,4365906,2125799,3743036,4416742,3706486,3136100,2541616,2320330,1308630,1587198,1364458,1375621,1022544,1092547,866200,819300
重庆市,80006371,60525830,53803289,51354473,42595258,40654379,55186832,63400799,46795899,38567582,19831648,7488937,4280070,5722049,4507207,3351023,2520578,2090747,1584990,1091010
四川省,88408672,67236940,56545246,50367690,37553430,27947617,33092898,44839133,41949056,38469065,29027285,18840625,14169450,13132485,8605959,6624118,4701605,3979702,3208710,2711630
贵州省,7539679,6226739,4740283,5123389,5793711,4742792,9948624,9397257,6885975,4952229,2985087,1920180,1356610,1900775,1465466,1038435,858937,866605,587980,441830
云南省,27345976,22136839,15024153,12810498,11466510,11490314,16615633,18787465,15671378,10017371,9472454,7605767,4513250,4984413,4768279,3391492,2641725,2238611,1676590,1429710
西藏自治区,348960,188094,540829,428423,433286,471725,586909,2100866,3269050,3355184,1182849,771029,375470,707572,326364,222218,165383,130224,121260,81120
陕西省,39728896,27889572,27221645,31595233,24543806,15837561,14788759,13929798,10225657,8652264,7035026,6208215,3988150,5380817,4675249,3629606,3076887,2396577,1734140,1376030
甘肃省,1500994,1237682,1906996,2210801,1709788,4062563,5811811,5329482,4677322,3573545,2158779,1637785,735510,1601354,1658657,1509601,1090995,996377,877200,548910
青海省,264180,177929,293533,470106,424174,1370061,1641967,1127899,847264,728764,661823,466197,251880,419100,385913,534200,323198,454762,273890,151000
宁夏回族自治区,2711727,1251482,2159301,2733663,3651071,2486748,2963107,4302851,2552158,1641117,1599430,1170002,742930,1258368,1085674,942623,687424,646262,511950,328180
新疆维吾尔自治区,19711708,15830400,18044314,16412297,17633335,15582165,17496082,23480763,22267735,19345647,16825724,12968652,10934560,19299100,11502170,7139228,5038919,3046270,2540550,1308500
注：进出口数据来源于海关总署。1978年为外贸业务统计数，1980年起为海关进出口统计数。
数据来源：国家统计局
