数据库：分省年度数据
指标：经营单位所在地进口总额(千美元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,376382767,269328711,341405840,338408661,265451435,230326117,264773752,353180176,365898251,348475229,330558831,246285337,166353730,214193290,144073367,120082649,94640525,74006469,51613350,39891420
天津市,72599409,61973074,62853841,73748132,69358110,58377253,63119875,81295417,79496850,67321709,58894225,44615224,33938520,38297846,33375681,30971164,25895924,21176854,14993040,11179720
河北省,36916540,28022189,23662345,19924830,18498140,16099842,18580985,24167163,23950962,20964853,25030986,19503927,13938350,14416412,8523009,5696882,5146055,4186592,3050710,2071140
山西省,13374606,9159089,9291402,8491523,6991263,6729222,6260547,7291944,7795405,8027068,9317933,7873410,5731580,5141940,5046991,2487474,2017161,1348019,818110,649930
内蒙古自治区,11715251,10182655,10471144,9943671,8995560,7244313,7081143,8162773,7902011,7288819,7243931,5395315,4458590,5326633,4791491,3820319,3102629,2367241,1673330,1627360
辽宁省,68226469,56501471,59882330,65810674,54729166,43494130,45236143,55253073,49956182,46130944,44993495,37613437,29519450,30364352,24150256,20070825,17574944,15497355,11929820,9373090
吉林省,17765155,14319850,14200304,15734799,14123606,14250875,14263638,20603195,19092829,18580325,17063215,12369333,8617470,8560496,6440945,4917392,4061567,5075700,3966130,1933980
黑龙江省,23952828,17040221,22040135,21987867,13741943,11503649,12976621,21565688,22647368,23155118,20849690,9234629,6147390,6324348,5039471,4420596,3496580,3108310,2455140,2362510
上海市,385290290,305787754,294911262,308535084,282553750,250416059,253327511,256265975,237088190,229856785,227874772,188236670,135917580,152910167,139007770,113934928,95619219,86504665,63886590,40589720
江苏省,303328758,246705083,234687653,259938924,227751909,190243320,206915669,221720577,222000518,219437968,226990837,195260269,139540510,154242522,145862006,123568759,104956050,83354782,54504380,31823420
浙江省,174970090,125432885,112619752,111321250,91114196,68712156,70451712,81712719,87042464,87884213,93028274,73069873,54717910,56837499,48583395,38251050,30587208,27066342,19815840,12545080
安徽省,43713300,33125317,28319208,26643708,23425511,15966179,15574358,17691928,17267655,12536041,14226607,11860484,6791240,8819737,7118552,5407389,3930884,3274742,2884180,1727840
福建省,118093622,81197840,72908585,71880877,66103368,53148206,56165822,63955547,62846481,58105363,50684646,37290161,26330480,27829225,24509808,21397889,19569319,18132258,14193800,11026740
江西省,20254822,15970076,14696829,14244896,11850719,10230009,9282867,10705504,8579982,8301043,9592747,8203114,5410300,5891275,4003954,2441846,1625266,1533194,1023150,642490
山东省,181392920,131290659,135555824,132281253,117513492,97259763,96682122,132220744,132341408,116835119,110173508,84930688,59562660,65212727,47364338,36615478,30612978,24813703,18079770,12826650
河南省,49293585,37970310,28285678,29038047,30599127,28407590,30719198,25589178,23969766,22062360,13382668,7302142,6131040,6760440,4410211,3160164,2637386,2444913,1732880,1084540
湖北省,28831362,23183065,21165253,18710046,15850963,13349431,16340764,16397197,13543868,12565253,14052334,11490315,7272220,8996761,6696015,5501567,4626068,3383615,2453930,1854880
湖南省,27478765,22860229,18309097,15931584,12862461,8550934,10164709,10888601,10354112,9346532,9039967,6700401,4657430,4134310,3170456,2260434,2253053,2337082,1586510,1080550
广东省,497638354,395767283,407172528,437963782,383810006,356696021,379323598,430497463,455217592,409969693,381540762,331704964,252139160,279304330,264869866,225252667,189806137,165559578,130676540,102633570
广西壮族自治区,46251894,31238997,30475136,29512361,29787470,24701018,23156571,16221426,14134242,14016708,10898208,8135833,5879360,5888724,4149840,3074590,2304869,1891635,1216830,923030
海南省,17724242,9562827,8165716,8245043,6008149,9222631,10223929,11445918,11278948,11185996,10214420,6328247,3573000,2941319,2149953,1470587,1519794,2309147,1408710,1047490
重庆市,43826563,33655275,30146296,27662440,24005849,22099258,19280013,32030779,21896265,14636001,9375986,4938137,3432450,3799345,2930737,2118656,1772265,1766400,1009770,702060
四川省,58912977,49661231,41855416,39553447,30552628,21358634,18095662,25363837,22625602,20674532,18696884,13853239,9999200,8981163,5772165,4396701,3200359,2887284,2425580,1756900
贵州省,2587443,1683950,1827886,2479467,2368602,956825,2272794,1374069,1404126,1679329,1902492,1226621,947600,1465432,804834,579278,544635,647122,396350,249640
云南省,21313097,16991543,18668283,17047467,11984599,8412046,7875646,10819957,9632181,10996361,6556319,5824353,3534340,4612503,4025288,2833344,2101716,1502558,992540,797050
西藏自治区,273805,122439,162034,294755,430164,310197,326930,154080,50359,68960,175519,65038,26630,58257,67100,106159,40085,69668,38600,49250
陕西省,33915920,26706239,23811488,21709649,15658992,14109662,15709745,13434686,9902404,6146768,7612245,5893466,4417240,2948009,2212090,1730683,1499981,1245806,1048480,848000
甘肃省,6090595,4292046,3613092,3802225,3116545,2770418,2140205,3311133,5558785,5327207,6569800,5765168,3130040,4494079,3865013,2315331,1539279,766768,449940,328490
青海省,220351,154871,251283,257069,231576,159143,292505,589989,555479,428705,261994,322764,334910,269723,226160,117524,90109,120753,65250,45650
宁夏回族自治区,607002,530964,1330310,1042901,1388446,765741,776148,1132360,665528,575588,686316,789987,459550,621036,495841,494504,279150,261947,141280,114730
新疆维吾尔自治区,4586623,5543411,5663034,3587449,2935195,2055579,2173315,4191552,5293656,5824412,5993948,4161458,3013270,2918260,2213658,1964040,2901568,2588247,2229310,1383200
注：进出口数据来源于海关总署。1978年为外贸业务统计数，1980年起为海关进出口统计数。
数据来源：国家统计局
