数据库：分省年度数据
指标：国有经济能源工业固定资产投资(亿元)
时间：最近20年
地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,333.00,182.26,140.00,167.94,121.40,88.56,88.00,93.89,125.05,124.15,133.31,90.66,99.83,52.98,32.41,49.23
天津市,153.00,173.27,224.00,163.75,173.85,194.29,241.00,235.46,297.18,273.06,175.19,103.85,46.76,41.95,48.41,36.86
河北省,550.00,566.54,584.00,462.78,463.53,400.29,426.00,370.44,209.41,275.80,257.26,268.08,190.31,96.31,88.76,80.94
山西省,301.00,608.19,1194.00,1177.73,1011.81,994.68,868.00,797.03,599.17,538.09,441.29,332.18,263.36,157.72,120.43,100.04
内蒙古自治区,796.00,981.98,766.00,1223.91,886.58,648.46,824.00,905.62,821.71,695.25,599.91,445.28,382.06,225.18,110.81,47.55
辽宁省,195.00,103.63,286.00,329.77,384.84,424.03,366.00,406.98,307.15,247.76,241.22,166.56,126.88,109.92,99.80,108.15
吉林省,213.00,230.00,314.00,306.77,266.26,228.74,253.00,321.08,255.62,216.97,103.84,79.88,46.85,34.08,42.97,42.68
黑龙江省,192.00,109.60,444.00,528.49,548.63,620.28,566.00,586.06,313.32,283.06,180.36,148.74,114.20,87.79,66.48,68.23
上海市,133.00,142.47,127.00,143.34,116.06,114.67,101.00,140.34,271.51,157.70,137.71,122.32,108.43,93.17,74.86,66.78
江苏省,361.00,391.69,681.00,447.22,404.44,416.58,275.00,293.64,323.69,247.86,174.68,284.86,311.16,310.33,269.97,194.00
浙江省,416.00,419.40,509.00,528.56,458.93,432.55,420.00,325.60,317.88,258.46,338.97,271.56,291.11,199.30,108.66,83.31
安徽省,350.00,311.99,424.00,339.59,382.17,422.24,289.00,321.29,325.66,387.70,379.85,238.39,170.18,107.11,63.64,72.98
福建省,448.00,438.16,401.00,435.24,467.84,362.16,280.00,267.60,234.85,311.21,271.84,168.56,114.93,72.60,37.34,51.07
江西省,185.00,204.64,195.00,167.62,149.23,134.39,129.00,149.71,135.95,83.30,92.75,96.66,81.04,57.29,37.55,35.68
山东省,730.00,654.42,675.00,889.80,458.29,323.32,531.00,406.88,277.27,263.43,216.46,232.09,216.26,247.65,196.99,174.07
河南省,329.00,262.69,268.00,219.56,280.16,285.43,275.00,297.53,422.44,404.77,267.40,214.91,210.03,183.66,157.64,148.98
湖北省,278.00,262.23,327.00,283.66,301.33,286.64,298.00,333.56,333.69,280.12,243.60,234.07,187.89,187.33,191.77,241.71
湖南省,259.00,245.03,276.00,264.97,227.38,215.07,226.00,195.13,188.47,219.69,175.84,131.20,116.78,96.31,81.78,100.82
广东省,687.00,686.23,812.00,873.53,794.59,690.69,544.00,691.06,558.30,348.91,341.76,400.59,375.78,242.91,192.01,159.48
广西壮族自治区,187.00,241.23,296.00,265.89,234.23,256.56,284.00,255.82,210.48,94.67,104.74,103.47,67.36,68.90,59.08,60.67
海南省,77.00,33.30,65.00,59.19,27.03,32.13,32.00,26.95,36.73,30.24,19.82,46.62,70.77,24.00,7.65,4.92
重庆市,204.00,193.41,452.00,385.25,329.70,265.74,174.00,150.54,150.23,126.36,136.21,139.92,73.95,41.73,34.09,32.74
四川省,729.00,806.39,901.00,918.86,744.06,751.21,669.00,513.50,386.20,317.28,328.06,273.11,182.91,122.74,66.52,89.10
贵州省,137.00,144.69,319.00,330.72,268.35,229.55,283.00,263.11,240.71,242.10,201.57,186.94,179.64,169.84,140.41,114.03
云南省,247.00,374.39,722.00,544.95,535.05,453.18,358.00,347.88,381.52,266.68,214.86,206.87,140.51,86.00,55.99,75.30
西藏自治区,205.00,125.07,107.00,201.55,144.14,77.01,49.00,44.40,38.92,30.15,17.84,12.72,15.05,15.33,20.65,14.65
陕西省,797.00,745.29,1021.00,1036.94,1026.31,766.19,717.00,667.13,579.55,470.53,425.45,276.08,237.74,183.73,124.88,91.26
甘肃省,164.00,256.42,401.00,463.04,532.09,372.62,384.00,416.14,312.46,195.41,146.91,97.15,97.14,79.80,67.17,39.54
青海省,123.00,208.68,344.00,218.48,235.35,180.13,111.00,56.52,74.86,34.30,31.70,41.90,21.38,35.18,29.69,18.41
宁夏回族自治区,234.00,280.20,398.00,285.89,212.65,188.35,243.00,198.61,182.25,141.17,104.68,75.93,60.79,27.36,31.59,34.38
新疆维吾尔自治区,444.00,672.75,1210.00,876.68,860.33,615.53,308.00,277.26,239.06,173.26,106.24,89.48,74.03,64.81,61.01,54.87
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
