数据库：分省年度数据
指标：地方财政一般预算收入(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,5932.31,5483.89,5817.10,5785.92,5430.79,5081.26,4723.86,4027.16,3661.11,3314.93,3006.28,2353.93,2026.81,1837.32,1492.64,1117.15,919.21,744.49,592.54,533.99
天津市,2141.04,1923.11,2410.41,2106.24,2310.36,2723.50,2667.11,2390.35,2079.07,1760.02,1455.13,1068.81,821.99,675.62,540.44,417.05,331.85,246.18,204.53,209.70
河北省,4167.58,3826.46,3738.99,3513.86,3233.83,2849.87,2649.18,2446.62,2295.62,2084.28,1737.77,1331.85,1067.12,947.59,789.12,620.53,515.70,407.83,335.83,302.31
山西省,2834.61,2296.57,2347.75,2292.70,1867.00,1557.00,1642.35,1820.64,1701.62,1516.38,1213.43,969.67,805.83,748.00,597.89,583.38,368.34,256.36,186.05,150.82
内蒙古自治区,2349.94,2051.20,2059.69,1857.65,1703.21,2016.43,1964.48,1843.67,1720.98,1552.75,1356.67,1069.98,850.86,650.68,492.36,343.38,277.46,196.76,138.72,112.85
辽宁省,2764.71,2655.75,2652.40,2616.08,2392.77,2200.49,2127.39,3192.78,3343.81,3105.38,2643.15,2004.84,1591.22,1356.08,1082.69,817.67,675.28,529.64,447.05,399.69
吉林省,1143.97,1085.02,1116.95,1240.89,1210.91,1263.78,1229.35,1203.38,1156.96,1041.25,850.10,602.41,487.09,422.80,320.69,245.20,207.15,166.28,154.00,131.49
黑龙江省,1300.50,1152.51,1262.76,1282.60,1243.31,1148.41,1165.88,1301.31,1277.40,1163.17,997.55,755.58,641.66,578.28,440.47,386.84,318.21,289.42,248.86,231.89
上海市,7771.80,7046.30,7165.10,7108.15,6642.26,6406.13,5519.50,4585.55,4109.51,3743.71,3429.83,2873.58,2540.30,2358.75,2074.48,1576.07,1417.40,1106.19,886.23,719.79
江苏省,10015.16,9058.99,8802.36,8630.16,8171.53,8121.23,8028.59,7233.14,6568.46,5860.69,5148.91,4079.86,3228.78,2731.41,2237.73,1656.68,1322.68,980.49,798.11,643.70
浙江省,8262.57,7248.24,7048.58,6598.21,5804.38,5301.98,4809.94,4122.02,3796.92,3441.23,3150.80,2608.47,2142.51,1933.39,1649.50,1298.20,1066.60,805.95,706.56,566.85
安徽省,3498.19,3216.01,3182.71,3048.67,2812.45,2672.79,2454.30,2218.44,2075.08,1792.72,1463.56,1149.40,863.92,724.62,543.70,428.03,334.02,274.63,220.75,200.22
福建省,3383.38,3079.04,3052.93,3007.41,2809.03,2654.83,2544.24,2362.21,2119.45,1776.17,1501.51,1151.49,932.43,833.40,699.46,541.17,432.60,333.52,304.71,272.89
江西省,2812.25,2507.54,2487.39,2373.01,2247.06,2151.47,2165.74,1881.83,1621.24,1371.99,1053.43,778.09,581.30,488.65,389.85,305.52,252.92,205.77,168.17,140.55
山东省,7284.45,6559.93,6526.71,6485.40,6098.63,5860.18,5529.33,5026.83,4559.95,4059.43,3455.93,2749.38,2198.63,1957.05,1675.40,1356.25,1073.13,828.33,713.79,610.22
河南省,4347.38,4168.84,4041.89,3766.02,3407.22,3153.47,3016.05,2739.26,2415.45,2040.33,1721.76,1381.32,1126.06,1008.90,862.08,679.17,537.65,428.78,338.05,296.72
湖北省,3283.30,2511.54,3388.57,3307.08,3248.32,3102.06,3005.53,2566.90,2191.22,1823.05,1526.91,1011.23,814.87,710.85,590.36,476.08,375.52,310.45,259.76,243.44
湖南省,3250.69,3008.66,3007.15,2860.84,2757.82,2697.88,2515.43,2262.79,2030.88,1782.16,1517.07,1081.69,847.62,722.71,606.55,477.93,395.27,320.63,268.65,231.15
广东省,14103.43,12923.85,12654.53,12105.26,11320.35,10390.35,9366.78,8065.08,7081.47,6229.18,5514.84,4517.04,3649.81,3310.32,2785.80,2179.46,1807.20,1418.51,1315.52,1201.61
广西壮族自治区,1800.12,1716.94,1811.89,1681.45,1615.13,1556.27,1515.16,1422.28,1317.60,1166.06,947.72,771.99,620.99,518.42,418.83,342.58,283.04,237.77,203.66,186.73
海南省,921.16,816.06,814.14,752.67,674.11,637.51,627.70,555.31,481.01,409.44,340.12,270.99,178.24,144.86,108.29,81.81,68.68,57.04,51.32,46.24
重庆市,2285.45,2094.85,2134.93,2265.54,2252.38,2227.91,2154.83,1922.02,1693.24,1703.49,1488.33,952.07,655.17,577.57,442.70,317.72,256.81,200.62,161.56,157.87
四川省,4773.27,4260.89,4070.83,3911.01,3577.99,3388.85,3355.44,3061.07,2784.10,2421.27,2044.79,1561.67,1174.59,1041.66,850.86,607.59,479.66,385.78,336.59,291.87
贵州省,1969.51,1786.80,1767.47,1726.85,1613.84,1561.34,1503.38,1366.67,1206.41,1014.05,773.08,533.73,416.48,347.84,285.14,226.82,182.50,149.29,124.56,108.28
云南省,2278.24,2116.69,2073.56,1994.35,1886.17,1812.29,1808.10,1698.06,1611.30,1338.15,1111.16,871.19,698.25,614.05,486.71,379.97,312.65,263.36,229.00,206.76
西藏自治区,215.59,220.99,221.99,230.35,185.83,155.99,137.13,124.27,95.02,86.58,54.76,36.65,30.09,24.88,20.14,14.56,12.03,10.02,8.15,7.31
陕西省,2775.27,2257.31,2287.90,2243.14,2006.69,1833.99,2059.95,1890.40,1748.33,1600.69,1500.18,958.21,735.27,591.48,475.24,362.48,275.32,214.96,177.33,150.29
甘肃省,1001.83,874.55,850.49,871.05,815.73,786.97,743.86,672.67,607.27,520.40,450.12,353.58,286.59,264.97,190.91,141.22,123.50,104.16,87.66,76.24
青海省,330.76,297.99,282.25,272.89,246.20,238.51,267.13,251.68,223.86,186.42,151.81,110.22,87.74,71.57,56.71,42.24,33.82,27.00,24.04,21.10
宁夏回族自治区,460.01,419.44,423.58,436.52,417.59,387.66,373.40,339.86,308.34,263.96,219.98,153.55,111.58,95.01,80.03,61.36,47.72,37.47,30.03,26.47
新疆维吾尔自治区,1618.60,1477.22,1577.63,1531.42,1466.52,1298.95,1330.90,1282.34,1128.49,908.97,720.43,500.58,388.78,361.06,285.86,219.46,180.32,155.70,128.22,116.47
注：地方财政收入均为本级收入，不包括国内外债务收入。
数据来源：国家统计局
