数据库：分省年度数据
指标：地方财政企业所得税(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,1182.49,1228.53,1287.74,1229.80,1095.23,1024.73,915.84,802.12,752.47,683.71,513.09,430.42,497.52,309.34,213.86,164.76,121.70,93.70,102.44
天津市,,310.58,323.91,319.53,310.14,278.46,260.00,234.91,204.38,187.70,182.95,125.89,95.56,103.70,76.41,53.49,41.42,32.12,23.80,26.24
河北省,,355.51,411.33,406.04,351.75,272.99,266.94,256.23,231.67,226.20,199.08,145.93,117.75,112.22,92.11,66.37,53.37,38.11,28.69,33.38
山西省,,229.99,271.48,226.91,174.42,116.55,143.05,167.38,202.07,214.39,150.22,117.75,101.81,87.29,84.35,52.72,36.99,22.43,14.23,12.60
内蒙古自治区,,161.10,181.65,165.09,128.82,96.93,101.77,109.64,155.26,179.85,156.10,101.27,74.81,58.80,41.80,27.28,19.36,8.70,7.16,9.03
辽宁省,,328.72,330.18,316.71,278.41,238.68,235.26,252.10,250.68,242.39,227.16,174.06,125.09,142.44,108.06,74.00,72.20,49.99,35.93,41.35
吉林省,,127.55,128.79,146.54,144.61,134.01,134.92,143.22,121.86,111.21,90.59,60.82,49.20,42.53,29.41,17.88,13.92,12.36,11.80,14.23
黑龙江省,,98.39,103.74,107.04,102.38,94.60,100.64,103.22,98.81,97.89,80.87,61.60,51.13,46.05,30.86,23.79,18.58,12.11,10.78,13.64
上海市,,1394.30,1452.11,1518.71,1402.30,1336.89,1104.08,942.46,837.44,806.77,731.05,606.05,481.69,547.99,425.63,271.47,249.15,204.99,146.15,139.46
江苏省,,1348.57,1316.81,1312.65,1145.19,978.81,917.58,821.04,763.66,745.88,731.17,554.43,407.85,398.92,316.22,220.87,177.70,138.59,92.69,94.87
浙江省,,1145.02,1116.09,972.46,822.19,704.86,662.21,635.25,565.88,536.97,497.56,374.13,295.06,302.28,274.18,204.25,167.92,147.79,106.52,108.14
安徽省,,362.51,370.90,334.69,274.73,233.24,235.57,218.32,190.46,184.50,153.26,106.59,79.56,74.51,55.85,41.09,30.08,25.83,19.05,20.72
福建省,,368.49,399.02,411.75,381.82,350.02,341.72,322.92,271.05,251.76,216.12,156.91,123.21,117.25,92.58,71.23,54.26,47.93,36.81,37.06
江西省,,232.54,244.66,222.62,182.23,166.26,157.21,152.47,136.71,124.12,97.87,63.72,46.27,47.24,37.81,24.67,17.41,13.51,9.74,10.60
山东省,,686.55,696.20,677.38,620.30,503.24,498.72,483.01,445.95,441.64,398.30,293.22,219.92,229.14,198.02,148.28,110.83,86.06,66.44,78.39
河南省,,362.63,382.13,370.23,332.02,297.31,281.41,261.00,235.60,209.13,185.21,136.63,114.74,116.75,102.92,70.21,51.56,38.43,29.14,31.97
湖北省,,349.84,407.05,394.37,349.62,299.12,276.78,255.02,215.23,196.87,155.50,106.91,86.75,88.49,65.24,47.57,39.06,28.25,21.35,24.43
湖南省,,255.96,247.16,235.59,201.94,172.31,169.53,155.01,136.17,120.07,89.96,60.28,51.16,49.95,43.31,30.06,21.83,17.67,13.46,15.43
广东省,,1946.60,2001.21,1876.46,1767.83,1492.07,1303.11,1136.19,974.68,891.03,827.90,678.75,523.03,535.92,428.69,297.46,236.45,194.43,170.02,182.07
广西壮族自治区,,170.13,167.89,151.24,127.75,117.03,109.74,109.35,94.04,85.95,85.65,58.92,36.06,37.22,30.03,23.50,18.54,15.18,13.05,14.38
海南省,,92.58,106.80,119.35,83.48,65.16,64.03,67.68,55.46,46.39,42.91,28.04,19.20,15.29,8.25,5.71,4.53,3.39,2.60,3.30
重庆市,,221.06,228.95,235.08,203.34,187.71,179.42,157.72,135.82,119.80,115.11,74.25,41.40,34.95,25.83,17.16,13.98,11.15,8.77,9.29
四川省,,523.25,472.44,415.79,359.38,299.48,295.31,286.06,266.57,246.45,200.59,141.49,109.29,92.73,80.73,54.39,39.94,31.05,24.75,29.00
贵州省,,206.39,215.41,184.46,146.67,127.12,127.35,123.84,103.15,86.53,70.69,51.02,42.18,35.54,29.84,21.41,16.08,12.10,8.41,8.77
云南省,,217.62,200.68,180.67,161.19,148.76,147.44,159.63,146.65,135.82,110.61,82.28,65.29,66.03,55.71,41.30,33.35,27.78,21.50,25.78
西藏自治区,,15.53,17.64,4.93,4.74,4.64,11.50,18.14,12.51,10.91,11.25,4.53,2.10,1.87,1.25,0.87,0.89,0.75,0.72,0.73
陕西省,,244.14,250.52,228.28,176.54,130.74,147.42,156.53,156.76,160.92,124.12,84.78,64.08,58.96,46.57,34.10,20.59,14.49,12.79,13.91
甘肃省,,64.39,64.79,74.59,67.24,54.95,59.20,46.00,40.10,36.53,28.57,19.98,16.95,20.56,17.91,10.69,8.43,6.32,5.31,6.61
青海省,,28.81,24.44,25.03,23.25,17.07,20.23,19.82,21.67,16.08,14.62,10.98,8.86,7.13,4.75,3.61,2.54,1.69,1.22,1.34
宁夏回族自治区,,28.45,32.54,32.53,26.14,24.47,24.56,28.33,25.87,25.39,24.17,14.08,9.27,6.22,4.55,3.22,2.61,2.14,1.68,1.84
新疆维吾尔自治区,,108.59,122.68,127.13,114.27,96.87,92.34,90.29,85.06,79.99,63.43,40.02,28.06,26.58,14.05,10.01,7.58,6.30,5.23,7.16
注：企业所得税2001年以前只包括国有及集体企业所得税，从2001年起，企业所得税还包括除国有企业和集体企业外的其他所有制企业所得税，与以前各年不可比。
数据来源：国家统计局
