数据库：分省年度数据
指标：地方财政城市维护建设税(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,222.05,234.98,245.58,225.41,221.64,204.36,187.24,177.41,160.34,145.65,80.00,71.28,63.95,56.63,45.17,38.83,34.72,28.85,24.91
天津市,,101.61,108.70,106.19,97.26,98.19,96.17,88.98,84.61,71.17,64.44,37.40,28.70,26.06,23.33,19.22,15.88,13.09,10.80,8.73
河北省,,132.55,148.19,149.92,129.00,115.21,111.89,105.94,101.66,97.59,87.84,64.30,51.15,48.71,40.24,33.42,29.25,22.98,18.77,16.51
山西省,,72.46,78.00,79.99,69.76,56.39,56.39,67.26,70.07,67.79,60.97,47.39,41.25,43.01,29.86,25.66,21.31,16.83,12.96,10.10
内蒙古自治区,,66.38,72.11,77.10,66.89,57.20,57.73,61.05,69.17,64.94,59.87,44.59,35.55,29.64,23.59,18.05,14.25,10.75,6.97,5.67
辽宁省,,126.16,134.11,144.73,129.77,124.28,117.56,118.22,119.25,108.41,102.79,71.62,57.69,58.71,51.58,43.87,39.92,31.73,25.77,22.24
吉林省,,58.07,60.38,67.51,66.62,67.66,63.13,59.67,66.57,57.24,46.39,26.30,22.34,22.05,18.74,14.38,13.16,11.57,9.33,8.01
黑龙江省,,49.41,56.47,63.29,58.08,52.24,54.56,59.38,60.01,58.96,61.53,43.89,37.47,42.22,34.21,31.64,27.60,27.81,21.02,18.68
上海市,,267.54,284.19,275.91,271.56,239.49,221.27,177.24,167.86,149.39,139.08,87.66,72.43,68.77,65.53,52.97,49.79,43.46,35.62,30.21
江苏省,,458.78,474.36,478.54,431.82,433.98,421.46,376.15,339.53,309.93,270.82,164.81,134.66,125.55,108.94,84.92,70.66,58.64,46.32,36.73
浙江省,,356.74,363.26,370.55,329.09,300.65,274.92,246.11,232.58,218.09,200.07,143.06,114.13,110.47,98.37,77.09,61.64,51.75,42.17,36.33
安徽省,,148.11,143.17,140.25,121.21,113.39,106.05,98.00,88.13,79.71,74.65,54.40,41.57,38.08,30.37,23.48,20.49,16.05,13.31,11.82
福建省,,122.31,123.90,125.68,112.28,112.04,108.60,101.30,92.16,85.94,74.53,43.11,35.02,33.50,28.94,23.15,18.55,16.00,13.92,12.11
江西省,,110.91,109.14,104.11,89.34,76.86,70.86,66.26,57.60,47.99,41.80,30.75,23.42,19.96,17.01,13.46,11.27,10.29,8.22,6.99
山东省,,283.97,290.13,306.46,261.82,250.83,243.71,231.33,217.84,198.88,179.60,130.74,109.08,104.14,92.46,78.43,65.95,54.93,44.40,37.40
河南省,,156.69,158.92,152.50,131.43,117.09,112.72,106.67,98.57,89.77,80.22,61.35,51.93,49.06,42.87,35.02,29.18,24.60,20.54,17.24
湖北省,,146.28,179.97,181.87,162.73,143.48,138.62,124.87,109.04,92.50,77.83,50.49,43.49,41.57,35.62,30.16,24.03,20.85,17.37,15.00
湖南省,,139.23,145.86,145.73,157.30,119.18,119.15,115.15,100.12,92.36,78.73,62.01,47.61,40.16,35.38,29.70,25.02,19.64,16.33,14.54
广东省,,581.28,598.98,592.94,534.97,491.74,457.05,413.75,383.48,338.31,295.45,135.97,113.91,106.23,94.23,77.59,64.34,55.24,47.75,42.16
广西壮族自治区,,77.39,75.87,73.50,68.28,61.15,63.56,53.14,49.59,42.05,40.51,29.67,24.08,21.79,18.54,15.17,12.92,11.35,9.52,9.12
海南省,,27.39,27.04,29.67,29.23,25.04,23.26,18.82,17.15,14.91,14.01,9.42,6.66,5.52,4.69,3.76,3.70,3.39,2.74,1.97
重庆市,,89.18,90.43,95.42,83.55,81.49,78.79,74.35,65.62,55.55,50.49,34.94,27.52,23.87,19.86,15.51,13.16,11.20,8.65,7.39
四川省,,181.39,180.34,174.98,150.59,137.55,126.30,126.55,119.81,110.46,94.17,66.61,53.87,46.97,39.93,33.23,28.09,23.52,20.60,17.52
贵州省,,83.80,82.79,85.53,67.26,61.93,59.80,57.64,53.71,45.79,37.82,29.18,24.45,22.07,18.89,15.42,12.91,10.49,8.69,7.04
云南省,,129.97,132.79,131.67,112.32,103.65,112.10,118.42,105.74,93.80,79.39,67.66,56.81,50.70,41.60,34.34,29.57,28.36,23.58,21.52
西藏自治区,,12.07,13.00,13.76,11.02,8.62,6.70,5.73,4.72,3.61,2.59,1.87,1.41,0.72,0.58,0.50,0.41,0.38,0.32,0.28
陕西省,,110.00,112.42,118.07,100.36,85.71,77.61,86.93,83.83,82.47,64.74,50.22,40.74,39.23,32.18,24.50,20.77,15.58,12.28,10.47
甘肃省,,45.74,47.33,49.59,45.59,43.07,44.17,37.69,32.14,28.91,23.62,21.22,18.25,15.54,13.44,10.99,9.36,8.31,7.01,5.91
青海省,,13.96,13.33,12.93,12.19,11.59,11.83,12.03,11.24,9.82,7.83,5.69,4.47,3.87,3.45,2.66,2.32,1.81,1.55,1.32
宁夏回族自治区,,17.69,16.93,20.05,17.52,17.25,14.96,14.02,14.46,13.08,11.23,8.10,5.92,5.81,4.68,3.58,3.04,2.43,1.85,1.51
新疆维吾尔自治区,,53.99,57.35,66.64,59.88,51.73,51.76,51.92,49.94,44.99,41.26,31.84,23.04,28.37,22.93,16.38,13.67,12.01,9.49,7.68
数据来源：国家统计局
