数据库：分省年度数据
指标：地方财政城镇土地使用税(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,18.51,20.03,19.65,19.92,19.18,17.88,17.76,16.34,16.26,16.07,16.13,15.75,15.44,14.65,4.00,3.30,3.27,3.29,3.29
天津市,,14.19,15.95,16.88,18.59,23.47,25.07,25.19,22.75,17.21,12.70,11.71,11.16,10.42,5.50,1.10,1.01,0.87,0.75,0.75
河北省,,145.90,139.06,122.98,112.14,101.65,106.84,104.04,62.42,58.12,45.55,34.49,33.38,27.65,17.26,5.37,4.49,3.94,3.92,3.52
山西省,,28.57,34.91,39.49,35.59,34.18,36.02,40.40,33.84,27.47,25.05,21.97,22.32,20.12,5.73,5.06,4.50,2.48,2.12,2.14
内蒙古自治区,,82.44,76.24,89.28,81.19,122.03,93.20,86.74,85.52,67.47,52.14,44.58,37.40,34.05,15.44,8.37,6.25,5.29,4.18,2.93
辽宁省,,135.66,132.86,142.60,139.10,125.21,125.41,248.05,246.28,221.92,145.75,108.05,85.18,66.03,49.42,16.83,9.76,8.34,7.57,7.06
吉林省,,22.46,26.47,30.54,31.03,28.69,30.60,33.07,27.64,31.61,22.76,19.45,18.17,18.84,6.01,2.48,2.39,2.21,1.89,0.81
黑龙江省,,72.66,80.83,72.76,75.21,57.94,61.41,49.65,47.65,47.42,43.97,28.91,27.36,20.50,7.04,3.46,3.65,3.88,3.23,3.46
上海市,,18.10,22.89,43.99,47.58,42.97,37.44,34.69,30.77,31.81,29.10,27.28,23.65,34.09,10.71,2.58,2.09,2.13,2.25,2.15
江苏省,,172.08,180.44,199.22,202.72,185.12,180.06,176.06,163.44,149.25,125.73,104.57,96.40,88.30,55.85,8.57,6.71,4.44,3.82,3.45
浙江省,,110.54,92.44,127.65,116.29,134.13,132.86,121.04,102.45,105.40,85.50,67.54,72.15,57.83,18.91,10.57,6.69,2.36,1.63,1.30
安徽省,,102.30,102.72,122.52,143.62,141.87,133.05,100.38,71.22,66.75,42.85,32.52,28.36,22.03,7.32,5.60,4.35,3.32,3.35,3.34
福建省,,31.60,34.87,44.53,44.41,36.13,37.59,38.34,45.01,21.69,29.64,26.33,23.71,29.04,8.88,5.67,2.94,2.29,2.02,1.75
江西省,,41.19,50.65,48.93,55.48,46.26,44.12,40.62,31.95,25.17,18.28,15.67,12.45,12.28,4.40,2.90,2.31,1.92,1.63,1.29
山东省,,299.89,337.27,396.84,398.18,393.74,358.75,264.69,229.16,211.69,158.46,137.69,120.88,103.57,65.96,35.97,29.44,21.17,19.81,11.72
河南省,,155.12,153.83,126.84,116.22,104.77,102.81,95.90,80.25,75.61,57.72,49.80,46.28,37.20,18.23,9.50,7.24,5.19,2.43,2.12
湖北省,,40.37,60.10,63.10,67.66,52.53,50.33,44.92,36.25,30.65,24.12,21.38,19.03,15.00,9.92,5.12,5.06,4.51,4.69,4.51
湖南省,,68.99,75.25,70.23,73.62,58.89,53.59,35.17,31.99,26.39,19.70,17.14,11.81,7.40,4.12,3.44,2.91,2.51,2.31,2.38
广东省,,93.59,120.70,158.52,111.98,133.60,143.69,151.00,129.30,110.07,104.11,87.78,93.37,82.74,18.39,11.24,8.63,7.04,5.87,5.24
广西壮族自治区,,19.12,25.16,26.61,31.11,26.14,26.05,23.45,16.00,12.89,11.86,9.57,9.44,8.53,3.92,3.64,2.92,2.49,2.38,2.38
海南省,,17.53,24.50,28.57,28.20,21.52,30.97,20.71,11.81,12.94,9.01,7.95,6.93,6.24,1.13,0.98,0.70,0.54,0.37,0.30
重庆市,,81.66,99.13,110.32,147.00,139.14,121.31,63.36,44.21,30.77,25.21,18.50,14.14,13.16,8.46,4.46,2.07,1.59,1.19,0.96
四川省,,78.08,79.18,81.66,72.05,65.10,64.64,61.11,54.05,50.75,41.60,34.08,31.79,32.71,9.35,6.45,5.78,4.36,2.52,2.07
贵州省,,29.42,31.75,36.49,37.90,30.12,27.91,18.44,16.18,14.38,12.61,10.83,9.48,9.89,3.33,2.04,1.76,1.54,1.46,1.34
云南省,,42.83,39.80,38.82,37.11,30.39,25.04,23.98,21.28,19.28,15.33,13.99,13.06,13.59,3.93,3.46,2.99,2.59,2.87,2.89
西藏自治区,,0.18,0.18,0.21,0.21,0.20,0.17,0.16,0.25,0.58,0.56,,,,,0.00,,0.00,,
陕西省,,46.58,45.12,40.79,36.71,27.69,28.34,28.07,22.55,22.66,19.21,15.73,15.45,16.96,4.86,3.77,3.52,2.93,2.56,2.32
甘肃省,,21.65,21.65,22.25,19.40,19.20,18.84,16.06,14.46,13.68,10.01,4.42,4.11,3.86,2.75,1.54,1.39,1.29,0.54,0.56
青海省,,3.61,3.62,4.17,4.58,5.70,4.19,3.75,2.89,2.41,1.76,1.83,1.87,1.74,0.24,0.09,0.10,0.09,0.09,0.09
宁夏回族自治区,,10.76,12.92,12.53,12.34,8.68,9.01,10.00,8.62,7.70,5.87,4.40,3.59,4.47,1.83,0.78,0.49,0.41,0.34,0.32
新疆维吾尔自治区,,52.63,54.87,48.64,43.39,39.50,14.85,15.83,12.25,11.73,10.01,9.73,12.30,3.21,1.95,1.73,1.90,1.24,0.48,0.42
数据来源：国家统计局
