数据库：分省年度数据
指标：地方财政土地增值税(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,259.30,225.37,209.13,288.99,177.34,174.86,214.33,187.24,132.07,121.29,85.86,54.16,34.67,24.34,5.67,2.38,1.85,3.07,1.40
天津市,,90.58,102.82,99.92,126.60,120.41,139.99,117.04,81.89,58.79,47.44,24.39,15.67,6.61,5.60,3.59,0.36,0.00,,
河北省,,269.72,270.11,247.65,168.70,138.74,118.58,116.09,100.38,69.72,53.27,32.47,15.22,10.92,7.76,3.64,0.85,0.27,0.24,0.14
山西省,,52.85,60.84,57.52,43.63,31.62,29.57,30.92,24.74,15.33,9.71,4.65,2.00,1.81,1.13,0.42,0.15,0.02,0.01,0.01
内蒙古自治区,,75.52,61.74,30.93,22.42,40.06,39.89,51.29,49.04,35.00,30.57,20.56,12.55,10.60,7.28,3.48,1.24,0.59,0.37,0.19
辽宁省,,92.14,90.11,76.39,65.74,60.08,46.14,177.57,190.21,190.38,128.80,77.59,47.99,24.78,18.24,11.54,5.95,4.89,2.76,1.68
吉林省,,38.90,37.79,43.41,31.03,34.15,36.15,48.47,40.41,35.88,25.21,11.25,6.32,3.95,3.11,1.52,0.69,0.58,0.38,0.36
黑龙江省,,66.18,66.93,79.81,63.41,53.31,63.46,65.40,49.37,41.53,22.59,8.64,4.97,3.57,1.91,0.88,0.61,0.27,0.16,0.17
上海市,,497.68,412.76,421.84,387.73,334.25,253.31,266.18,197.37,233.10,168.22,96.96,61.23,49.43,47.40,35.68,24.63,9.65,1.66,0.13
江苏省,,584.00,558.86,494.48,458.93,480.58,437.01,444.89,405.79,317.17,256.97,170.36,98.17,63.46,51.39,32.92,22.73,12.40,2.65,0.54
浙江省,,515.59,467.69,342.20,288.90,234.55,210.16,205.72,186.53,149.73,148.05,106.70,48.94,40.26,34.08,20.25,15.47,8.33,2.98,1.10
安徽省,,147.64,146.84,147.88,120.85,104.83,90.42,96.67,91.15,70.06,51.98,30.22,15.46,12.31,8.92,4.60,3.00,1.83,1.11,0.65
福建省,,229.67,254.53,262.37,274.25,215.87,196.43,213.37,182.28,136.00,99.92,62.81,36.78,30.17,19.70,10.53,4.08,1.61,0.99,0.79
江西省,,142.12,138.86,133.90,118.05,118.75,128.84,113.84,80.25,52.28,37.33,25.72,16.33,12.33,10.14,4.05,2.09,1.42,0.55,0.30
山东省,,433.38,404.28,390.79,367.18,293.15,259.51,257.74,205.91,145.21,105.67,66.19,43.84,36.56,32.53,22.02,14.39,9.08,5.49,1.98
河南省,,268.61,295.81,237.40,192.24,144.83,139.43,132.51,97.03,70.35,58.44,37.96,21.93,16.37,15.00,4.59,2.84,1.70,0.21,0.12
湖北省,,159.57,255.41,236.79,215.80,201.55,187.76,174.07,137.39,92.66,62.85,30.54,17.57,13.98,7.35,3.64,1.58,0.93,0.60,0.17
湖南省,,256.05,221.76,169.19,129.44,96.48,84.20,76.75,74.39,58.71,40.61,19.54,5.27,5.04,3.63,1.05,0.58,0.48,0.43,0.18
广东省,,1375.09,1402.89,1056.11,839.11,681.58,576.75,505.90,417.51,408.01,295.21,189.79,107.90,81.12,48.35,30.46,18.90,9.45,8.44,8.29
广西壮族自治区,,94.87,95.06,84.65,72.79,62.58,57.09,68.30,65.16,59.30,33.99,22.27,15.20,15.78,10.52,7.65,4.79,2.72,1.91,0.45
海南省,,134.65,172.37,133.81,98.66,90.29,75.55,75.22,56.01,41.84,37.83,21.23,10.17,6.21,4.74,2.79,1.83,0.89,0.14,0.07
重庆市,,104.44,129.03,121.06,83.95,102.77,94.36,96.22,80.73,79.06,61.47,29.80,7.59,10.70,7.36,4.38,2.93,1.57,0.41,0.20
四川省,,244.38,244.10,215.52,172.19,143.98,149.14,150.53,127.40,96.78,76.55,47.78,26.73,24.05,18.09,8.77,5.14,3.21,1.91,1.17
贵州省,,62.89,89.23,98.34,108.66,95.01,86.57,64.64,29.41,19.07,13.76,11.98,5.81,3.73,3.01,1.43,0.87,0.45,0.28,0.19
云南省,,103.57,86.92,71.93,50.53,42.63,56.34,43.86,46.10,43.80,30.09,14.36,8.19,5.67,3.73,2.03,0.56,0.34,0.25,0.05
西藏自治区,,5.78,4.13,3.18,1.41,1.62,1.08,1.06,0.64,0.34,0.36,0.13,0.28,0.25,0.08,0.02,0.03,0.02,0.02,0.03
陕西省,,70.76,80.50,87.82,44.82,34.89,40.86,50.07,46.01,37.03,22.19,15.43,7.32,5.49,4.13,2.25,0.81,0.05,0.07,0.08
甘肃省,,34.11,30.62,34.76,28.84,23.58,16.97,14.35,10.16,6.76,5.46,3.02,0.42,2.93,0.78,0.18,0.01,0.01,0.00,0.01
青海省,,8.12,8.18,9.26,4.60,3.26,3.53,3.14,1.72,1.43,0.68,0.45,0.20,0.13,0.15,0.04,0.00,0.00,0.00,0.00
宁夏回族自治区,,12.53,9.23,9.50,8.59,7.76,6.61,6.15,5.85,5.91,3.05,1.67,1.00,0.94,0.48,0.25,0.18,0.10,0.04,0.06
新疆维吾尔自治区,,37.85,40.35,33.85,33.26,41.69,31.60,32.40,25.86,15.77,13.05,7.99,4.36,3.62,2.17,1.15,0.63,0.31,0.16,0.03
数据来源：国家统计局
