数据库：分省年度数据
指标：地方财政耕地占用税(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,2.88,3.23,2.82,2.72,3.34,4.54,4.69,9.00,10.27,11.57,10.19,11.41,1.35,1.30,1.52,0.74,1.84,1.76,1.04
天津市,,2.38,4.60,9.11,10.82,8.02,10.41,11.51,16.20,15.55,11.98,12.33,12.78,1.80,1.27,0.49,0.83,1.07,1.25,0.80
河北省,,119.79,80.86,63.40,58.50,67.24,49.37,49.12,42.03,48.25,25.57,21.44,13.13,6.49,4.15,3.90,2.78,2.32,1.86,1.42
山西省,,19.70,10.60,11.62,12.08,11.75,11.43,20.30,13.82,8.95,6.19,3.87,2.71,2.23,1.79,1.24,1.15,0.79,0.58,0.86
内蒙古自治区,,73.80,69.09,49.78,88.81,262.01,282.44,201.21,89.48,65.83,30.65,31.53,32.17,10.13,3.74,7.20,6.02,3.92,2.61,0.73
辽宁省,,15.45,14.62,10.14,13.27,14.97,15.07,203.89,239.92,225.20,140.40,96.43,69.56,24.33,5.97,5.29,3.69,2.12,1.59,0.96
吉林省,,20.81,12.39,18.34,19.83,61.11,63.21,56.98,66.13,59.63,39.69,11.58,15.20,6.93,3.28,4.48,1.97,1.96,2.05,1.27
黑龙江省,,19.95,22.96,16.00,20.92,21.50,18.57,22.74,20.64,17.91,17.80,15.76,5.22,1.86,1.48,1.12,1.43,1.59,1.23,0.67
上海市,,8.29,13.29,5.71,5.89,4.62,7.26,14.48,12.13,12.04,15.10,12.14,8.55,1.53,2.03,3.61,3.39,3.66,3.21,3.16
江苏省,,61.90,72.53,54.17,53.00,26.63,31.76,34.74,42.91,57.96,54.33,58.98,42.66,25.93,14.76,17.75,12.16,13.87,14.32,7.62
浙江省,,93.32,121.85,45.63,64.97,82.65,62.51,63.24,58.70,64.73,51.38,44.05,27.39,20.57,15.29,12.18,12.28,21.37,19.91,12.31
安徽省,,22.77,46.81,52.99,52.12,68.38,45.12,35.76,38.98,50.61,41.99,45.57,27.32,13.21,6.47,8.17,4.17,6.25,4.00,1.75
福建省,,12.42,15.03,15.30,15.96,16.43,28.13,33.67,28.57,30.90,24.62,18.11,16.84,10.04,6.53,3.88,3.20,2.77,2.09,1.55
江西省,,28.49,36.58,44.12,78.01,86.04,86.30,76.83,69.82,71.76,47.20,35.74,22.92,11.80,5.08,3.75,4.87,0.73,0.38,0.47
山东省,,97.67,97.25,119.29,163.24,217.30,251.52,255.42,205.07,153.59,97.37,81.31,101.09,63.20,41.38,39.65,31.08,18.32,8.70,4.78
河南省,,176.38,166.87,175.73,189.15,184.34,184.74,125.31,102.62,78.15,61.18,48.96,29.62,25.38,17.11,10.90,5.35,2.85,1.83,0.90
湖北省,,29.51,98.71,105.47,106.37,115.60,116.42,107.32,80.39,69.29,50.63,56.25,19.05,7.03,3.85,3.39,3.27,3.63,1.59,1.41
湖南省,,72.26,66.32,49.63,60.96,63.36,59.83,75.72,78.19,64.72,48.06,53.21,30.26,18.02,9.85,9.79,8.37,6.47,3.94,2.24
广东省,,58.71,58.34,53.78,66.26,76.67,95.38,86.35,80.43,69.67,50.84,56.03,31.14,11.44,11.58,6.84,12.13,9.24,6.60,5.92
广西壮族自治区,,37.18,38.44,41.16,90.43,122.07,128.25,104.18,91.79,90.68,33.90,30.95,33.62,13.12,4.00,4.00,5.76,3.33,1.37,0.90
海南省,,2.98,14.46,2.55,0.95,12.23,12.74,13.68,14.59,14.55,7.04,4.25,2.89,1.44,0.86,0.72,0.31,0.28,0.10,0.16
重庆市,,34.79,30.87,36.18,43.41,48.67,48.80,38.26,36.93,52.86,44.36,30.31,14.89,8.49,4.49,4.30,3.13,2.45,1.66,0.46
四川省,,91.19,90.67,89.11,105.12,118.36,121.96,107.95,87.42,80.84,48.79,36.17,25.96,10.85,8.47,8.39,5.98,3.32,2.12,1.63
贵州省,,28.13,44.71,93.14,153.10,146.15,146.26,122.03,97.94,71.38,27.58,10.72,5.63,2.45,2.79,2.31,1.72,1.47,1.04,1.14
云南省,,25.19,33.32,35.72,52.99,61.28,67.06,55.35,76.03,67.01,46.82,33.73,13.96,7.27,3.17,2.73,2.59,1.86,2.17,1.49
西藏自治区,,1.48,0.73,1.62,1.09,1.72,1.32,0.34,0.29,0.15,0.28,0.12,0.13,0.04,0.01,0.00,0.01,0.00,0.00,0.00
陕西省,,39.28,45.04,34.19,51.15,54.75,71.55,78.72,63.58,44.25,28.99,22.32,12.45,5.74,3.38,2.67,2.57,1.92,1.37,1.16
甘肃省,,4.14,4.60,4.89,6.81,5.52,5.46,4.88,4.11,2.33,3.17,1.95,1.83,1.11,0.55,0.33,0.43,0.39,0.25,0.24
青海省,,2.68,4.93,5.89,5.03,5.64,9.24,4.52,3.54,0.93,0.84,0.48,0.41,0.29,0.20,0.24,0.27,0.09,0.09,0.04
宁夏回族自治区,,5.97,6.96,8.07,10.63,7.33,10.93,3.71,3.39,3.13,0.67,0.24,0.11,0.05,0.07,0.08,0.07,0.06,0.08,0.12
新疆维吾尔自治区,,48.07,63.18,63.32,48.28,53.21,49.62,46.16,33.61,17.58,6.49,3.93,2.19,0.27,0.15,0.20,0.13,0.16,0.13,0.12
数据来源：国家统计局
