数据库：分省年度数据
指标：地方财政契税(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,231.20,225.19,245.30,197.46,254.29,210.23,192.52,177.49,126.58,136.17,134.27,103.16,82.97,80.30,64.87,60.68,43.68,20.40,16.87
天津市,,92.98,112.96,105.61,151.00,171.10,92.59,96.40,100.21,79.54,80.05,70.87,50.40,40.31,31.72,27.97,16.32,12.38,8.25,4.68
河北省,,255.79,234.51,220.66,181.08,136.74,109.20,114.84,111.92,88.11,84.78,79.65,39.91,27.61,23.65,17.36,14.82,10.43,5.99,3.79
山西省,,79.02,75.07,47.91,38.68,30.06,30.10,46.82,39.55,18.58,18.49,10.50,7.78,7.75,5.58,3.89,3.19,2.50,1.56,1.16
内蒙古自治区,,62.38,52.03,41.42,34.88,48.44,36.60,45.85,50.55,34.98,36.93,27.91,18.08,13.98,9.74,7.69,4.53,3.80,2.81,1.77
辽宁省,,163.64,153.60,130.56,105.42,100.25,105.05,163.84,235.55,217.47,209.84,152.94,116.89,78.15,64.74,48.32,38.93,23.35,15.69,11.48
吉林省,,107.30,88.25,89.14,70.62,65.36,66.35,78.00,80.81,62.59,49.98,31.53,20.49,19.24,15.75,9.33,7.63,6.50,4.86,3.48
黑龙江省,,65.01,73.26,69.07,58.23,46.67,45.13,55.05,55.17,42.42,52.77,34.46,23.66,18.77,13.78,18.01,8.67,7.50,5.54,4.39
上海市,,380.10,315.18,284.95,271.55,345.83,270.99,214.33,215.07,145.96,180.67,173.58,162.01,109.99,115.88,83.13,111.04,87.00,63.48,36.85
江苏省,,918.64,717.13,635.10,488.20,335.41,370.11,401.69,383.75,332.84,319.78,324.72,245.45,179.12,159.42,105.44,80.88,60.44,40.28,23.80
浙江省,,838.16,571.34,459.45,381.59,304.79,243.37,267.09,254.20,192.72,234.17,227.94,154.42,117.10,108.12,78.14,69.14,58.71,47.82,30.15
安徽省,,226.24,231.90,237.65,244.30,185.40,172.52,195.66,187.89,117.09,100.27,95.91,47.90,40.54,31.35,23.85,17.81,10.39,7.10,3.72
福建省,,219.72,193.31,190.28,167.57,136.32,123.90,126.66,118.19,77.58,93.66,77.09,45.87,39.57,40.69,25.28,20.91,16.83,11.55,8.40
江西省,,204.88,192.69,177.89,168.18,140.29,136.33,130.62,124.56,95.07,78.04,70.59,44.31,32.90,26.16,18.53,14.96,11.26,6.85,3.72
山东省,,502.83,455.52,428.58,312.52,267.63,247.76,273.67,265.60,191.37,202.48,193.51,131.16,95.21,92.46,66.14,52.09,34.05,15.33,8.68
河南省,,316.86,274.94,246.79,208.54,186.95,138.75,142.01,185.29,120.21,98.06,88.98,61.06,41.68,35.07,26.97,19.43,11.38,5.91,3.88
湖北省,,198.45,257.24,230.54,204.87,149.64,153.50,145.89,125.70,85.00,72.74,54.61,37.40,30.67,27.09,21.49,15.03,13.97,5.75,4.50
湖南省,,321.15,289.57,264.52,220.42,178.58,184.76,148.46,119.61,89.34,78.07,67.47,41.65,36.72,30.72,22.98,19.45,10.04,5.55,3.63
广东省,,783.82,640.89,601.70,578.75,513.67,427.24,419.91,372.50,271.83,238.44,235.51,175.40,132.52,152.38,98.73,81.86,63.13,48.52,39.47
广西壮族自治区,,101.67,91.84,122.92,101.35,88.03,77.15,75.24,73.12,54.07,45.35,41.18,33.03,21.23,18.42,15.00,11.18,6.42,4.54,2.63
海南省,,45.22,52.53,44.52,36.95,27.30,31.88,37.42,33.95,41.45,18.18,16.78,9.07,7.10,5.50,3.13,1.97,1.75,1.39,1.10
重庆市,,182.67,190.64,200.69,178.57,129.84,134.48,128.96,112.40,84.95,76.32,54.65,33.85,25.60,29.08,17.33,14.14,8.30,4.19,2.71
四川省,,308.80,289.24,280.99,209.95,184.14,213.10,211.83,174.97,118.04,109.46,97.94,61.40,49.45,48.29,32.93,23.90,18.18,11.66,8.14
贵州省,,94.26,103.66,96.11,89.29,91.92,73.40,66.93,41.42,33.00,23.91,13.98,8.69,7.85,6.34,4.71,3.51,2.43,1.76,1.21
云南省,,120.74,118.66,90.57,63.36,52.35,56.16,60.96,69.16,59.19,54.90,32.53,26.36,25.25,10.60,7.79,8.33,4.41,4.05,3.38
西藏自治区,,,,,,,,,,,,,,,,0.00,,0.00,,
陕西省,,113.55,97.32,90.67,72.56,50.81,68.53,80.27,62.71,42.43,29.17,24.13,13.94,10.05,8.62,7.23,5.90,4.20,2.54,2.10
甘肃省,,38.94,36.23,27.47,22.55,23.47,16.85,19.06,14.62,9.76,8.82,5.98,4.41,3.27,3.10,2.75,2.23,2.01,1.04,0.84
青海省,,11.86,10.51,8.87,4.60,3.68,6.07,7.66,4.26,3.10,2.32,1.44,1.31,1.03,0.82,0.69,0.58,0.38,0.28,0.25
宁夏回族自治区,,21.95,18.80,17.57,13.50,12.84,14.53,16.03,15.88,12.51,10.03,8.94,4.80,3.21,2.61,1.89,1.57,1.22,0.80,0.62
新疆维吾尔自治区,,53.20,48.87,42.45,33.89,38.20,41.93,37.04,37.91,26.22,21.86,15.26,11.18,8.69,8.28,6.12,4.46,3.46,2.55,1.67
数据来源：国家统计局
