数据库：分省年度数据
指标：地方财政专项收入(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,335.80,424.32,496.76,462.30,375.16,283.39,103.38,95.56,88.00,79.39,48.16,44.01,40.86,37.48,35.48,32.99,27.71,21.52,18.53
天津市,,119.04,157.83,227.65,293.77,204.54,161.50,44.69,59.98,59.96,34.48,20.73,16.44,14.94,13.46,10.94,9.00,7.21,6.00,4.91
河北省,,372.10,303.63,274.38,248.61,187.80,217.22,95.25,94.00,96.88,99.98,75.98,60.89,54.82,47.92,42.37,32.85,22.62,16.65,14.01
山西省,,156.31,131.77,134.11,115.86,149.46,386.54,444.21,320.47,268.18,180.61,153.60,115.15,96.96,96.10,196.95,48.09,27.81,10.91,7.58
内蒙古自治区,,122.61,123.11,127.39,113.98,122.04,198.17,162.51,154.82,138.64,146.70,124.50,109.76,72.11,62.47,18.50,24.00,11.24,5.18,4.25
辽宁省,,136.08,138.47,156.37,149.18,152.91,161.04,105.53,107.12,110.53,99.28,55.02,45.67,50.67,50.85,34.50,28.90,22.44,18.10,16.13
吉林省,,74.79,79.67,94.43,95.95,92.92,94.11,47.63,51.40,49.42,36.48,20.11,18.93,22.73,17.17,12.29,10.91,7.94,6.06,6.12
黑龙江省,,55.89,61.98,67.42,65.74,66.01,76.37,47.91,73.61,49.91,45.53,36.49,49.92,82.23,33.71,28.52,22.59,21.60,14.09,14.99
上海市,,504.99,418.46,437.32,344.29,377.64,324.86,124.60,115.68,104.70,97.22,49.94,42.30,42.96,40.59,33.07,29.04,25.88,19.78,16.07
江苏省,,412.02,421.02,478.74,493.05,484.42,463.64,209.33,193.11,179.34,160.76,107.37,91.33,91.79,76.86,61.52,48.69,38.16,23.41,20.18
浙江省,,480.94,528.87,529.78,467.56,474.02,446.68,128.33,121.40,116.10,110.74,83.75,67.11,72.64,63.20,52.72,41.84,34.45,25.90,21.72
安徽省,,295.04,285.94,280.97,239.05,209.10,226.69,129.45,103.26,87.48,79.99,73.79,47.05,47.65,23.86,22.89,18.25,11.71,7.64,6.28
福建省,,327.36,267.26,289.30,249.17,214.62,193.09,80.70,78.79,69.51,54.14,35.23,27.28,27.11,21.32,17.09,12.07,9.82,8.27,6.81
江西省,,123.13,144.88,145.92,122.88,120.78,128.09,67.21,62.96,52.03,49.05,35.45,22.01,26.97,16.51,13.35,9.63,7.38,4.93,3.97
山东省,,360.11,347.44,351.96,310.39,322.24,336.88,153.52,163.58,138.90,130.80,103.90,87.41,81.27,72.97,60.88,49.71,35.39,28.60,24.31
河南省,,409.89,373.49,350.07,283.27,241.07,201.29,101.42,90.25,87.89,90.60,89.04,63.83,64.73,54.89,36.86,30.33,24.16,14.18,11.40
湖北省,,168.04,224.97,237.02,196.38,195.31,196.76,77.39,68.73,55.27,48.79,34.45,28.36,29.81,23.76,19.78,11.75,8.37,7.68,6.42
湖南省,,198.84,252.98,232.25,175.44,171.84,187.93,61.53,62.09,57.94,73.77,52.48,40.64,39.58,29.22,25.25,22.99,15.15,9.95,8.24
广东省,,974.77,892.51,956.92,873.93,863.02,598.77,255.71,233.09,202.56,179.78,97.35,81.95,86.03,73.88,62.93,52.42,44.08,33.51,29.73
广西壮族自治区,,109.63,130.66,137.90,134.80,120.17,127.31,42.99,40.74,31.49,30.37,22.67,18.09,22.09,16.36,14.06,10.61,9.00,6.54,6.61
海南省,,74.39,42.28,36.40,53.41,43.30,39.35,12.11,11.17,8.82,8.95,7.93,6.19,7.23,4.86,2.37,2.11,1.84,1.38,1.05
重庆市,,134.74,119.30,118.34,92.47,96.30,106.27,48.53,56.80,113.66,66.36,38.50,20.33,20.87,18.26,15.65,12.33,8.45,4.88,4.11
四川省,,243.55,244.58,255.17,222.75,209.90,304.45,110.74,112.68,104.41,97.30,61.16,57.56,46.91,36.49,31.49,22.77,15.94,11.15,9.66
贵州省,,109.41,123.87,125.22,91.25,88.45,96.34,65.08,73.84,84.85,85.91,59.07,46.56,40.65,24.85,13.92,10.37,7.07,5.24,3.98
云南省,,177.55,178.42,179.42,202.84,225.45,244.58,168.16,163.24,88.58,80.32,52.80,42.20,50.38,36.05,26.26,16.79,13.52,8.88,8.47
西藏自治区,,21.63,13.00,11.18,15.59,7.87,6.16,3.76,4.08,1.91,0.20,1.18,2.00,1.58,1.06,0.43,0.35,0.31,0.26,0.21
陕西省,,162.00,167.81,175.94,159.59,156.66,228.68,123.42,147.78,174.77,365.16,88.40,70.46,35.95,35.75,25.15,11.97,10.04,6.79,7.05
甘肃省,,87.91,84.33,79.19,76.11,67.25,65.14,42.64,60.79,75.46,84.84,59.02,46.75,31.73,12.28,11.32,8.49,7.21,4.93,4.21
青海省,,20.39,20.02,19.23,15.58,19.92,26.15,19.26,19.76,20.96,19.56,13.30,7.70,8.29,6.95,3.74,2.43,1.51,1.46,0.81
宁夏回族自治区,,33.53,36.03,40.68,31.66,33.06,37.58,22.07,18.80,12.42,11.55,8.92,6.70,6.59,10.55,5.09,2.69,1.91,1.18,1.06
新疆维吾尔自治区,,124.61,111.05,150.00,123.32,93.65,245.31,205.71,162.64,89.40,46.39,32.44,28.70,35.34,28.46,16.52,11.80,10.78,6.67,5.69
数据来源：国家统计局
