数据库：分省年度数据
指标：地方财政国有资本经营收入(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,68.53,152.10,0.12,,,-64.99,-94.79,-60.24,-30.50,-29.88,-27.79,-23.52,-33.99,,,,,,
天津市,,12.29,227.78,3.47,7.64,32.76,27.85,53.19,28.56,40.91,25.05,7.08,23.75,-2.07,,,,,,
河北省,,39.78,35.84,22.60,28.00,31.60,22.83,32.12,80.61,60.02,38.32,29.07,30.11,21.14,,,,,,
山西省,,29.77,1.68,0.70,3.63,3.92,1.93,25.15,27.99,16.02,4.34,3.36,1.34,0.49,,,,,,
内蒙古自治区,,13.59,11.85,7.50,11.12,87.35,78.07,103.86,59.08,46.02,51.22,58.92,70.71,41.55,,,,,,
辽宁省,,46.76,10.52,8.59,5.10,19.03,22.99,199.73,180.86,157.43,142.77,131.19,145.66,92.93,,,,,,
吉林省,,3.72,7.93,13.14,18.28,35.83,28.02,24.03,22.19,20.55,32.43,24.48,17.66,12.92,,,,,,
黑龙江省,,20.26,8.72,7.73,28.01,18.22,24.47,34.27,46.51,49.10,48.85,38.42,30.69,26.15,,,,,,
上海市,,147.62,25.01,,,,,-1.08,-1.61,-9.49,-9.15,-11.25,-9.28,-0.96,,,,,,
江苏省,,,,,,,,242.34,241.10,234.91,285.63,257.53,184.78,128.17,,,,,,
浙江省,,-100.37,-46.69,-47.47,-43.96,-61.95,-61.53,-56.00,-51.64,-52.74,-64.07,-72.91,-46.38,-46.84,,,,,,
安徽省,,43.94,51.16,40.24,63.33,41.39,22.87,28.11,35.66,45.58,28.04,20.05,17.44,9.34,,,,,,
福建省,,36.55,25.53,32.60,49.12,53.79,54.51,46.15,30.71,34.45,23.55,21.95,18.93,11.64,,,,,,
江西省,,9.63,2.16,2.85,3.12,4.19,3.21,2.61,1.72,35.67,20.34,24.08,16.77,12.41,,,,,,
山东省,,70.97,71.30,25.53,30.66,57.61,54.18,55.69,58.68,103.57,100.00,79.82,68.22,64.62,,,,,,
河南省,,77.52,66.91,45.27,77.55,92.53,103.28,108.25,90.17,88.48,71.97,60.36,51.80,37.40,,,,,,
湖北省,,3.17,18.05,15.06,31.60,39.21,26.04,31.41,43.65,36.59,42.86,29.39,32.94,22.21,,,,,,
湖南省,,2.39,6.50,2.11,9.27,18.98,14.39,15.97,14.72,18.69,12.54,8.58,14.85,8.00,,,,,,
广东省,,93.26,90.03,40.74,39.16,54.23,62.70,60.90,123.02,120.08,86.09,90.00,66.78,56.38,,,,,,
广西壮族自治区,,20.02,45.50,56.05,69.06,85.76,88.24,103.89,96.70,99.14,75.62,66.16,59.33,40.49,,,,,,
海南省,,19.53,9.25,6.73,2.87,7.13,11.86,10.76,13.11,10.95,6.39,7.73,6.08,4.69,,,,,,
重庆市,,,,,,,,,,125.20,90.02,-0.01,11.15,67.32,,,,,,
四川省,,65.42,61.58,27.90,38.85,42.37,44.95,40.90,36.43,27.06,29.73,41.67,36.78,37.25,,,,,,
贵州省,,168.83,85.75,18.28,25.32,43.12,15.80,12.91,10.97,7.21,6.38,4.88,6.04,4.34,,,,,,
云南省,,9.64,20.18,1.20,1.98,25.25,9.61,0.80,-0.18,-1.32,8.97,10.94,13.08,12.23,,,,,,
西藏自治区,,1.22,1.30,-0.77,-0.28,1.34,-0.20,-0.16,-0.30,-0.49,-0.49,-0.43,-0.09,0.20,,,,,,
陕西省,,5.93,0.85,0.99,32.57,95.64,74.40,44.56,30.08,26.41,61.16,76.35,62.08,50.09,,,,,,
甘肃省,,1.90,3.25,1.15,1.57,2.15,1.69,3.15,5.22,9.73,4.98,23.38,16.25,5.78,,,,,,
青海省,,0.09,0.78,0.84,0.73,0.23,0.39,0.81,0.81,0.51,0.25,0.56,0.95,0.25,,,,,,
宁夏回族自治区,,2.94,2.92,3.36,14.31,1.36,3.12,0.66,7.86,6.36,1.01,0.57,0.75,0.81,,,,,,
新疆维吾尔自治区,,51.13,63.77,19.75,18.46,24.61,20.07,16.15,11.20,9.82,3.95,8.59,14.59,5.15,,,,,,
数据来源：国家统计局
