数据库：分省年度数据
指标：地方财政教育支出(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,1138.29,1137.18,1025.51,964.62,887.37,855.67,742.05,681.18,628.65,520.08,450.22,365.67,316.30,263.00,,,,,
天津市,,442.91,467.63,448.19,434.59,502.49,507.44,517.01,461.36,378.75,302.32,229.56,173.61,141.70,110.02,,,,,
河北省,,1596.26,1537.09,1385.59,1276.55,1134.90,1041.16,868.87,837.63,865.54,652.11,514.30,439.33,376.98,283.39,,,,,
山西省,,733.36,696.28,668.03,620.67,606.97,602.85,507.28,542.44,558.03,421.79,328.58,278.07,234.99,181.22,,,,,
内蒙古自治区,,642.17,609.97,576.33,561.85,554.97,536.53,477.77,456.87,439.97,390.69,322.11,243.48,206.40,153.57,,,,,
辽宁省,,741.15,702.38,653.88,648.06,633.96,610.24,604.49,669.48,728.79,544.09,405.39,346.73,306.36,252.13,,,,,
吉林省,,526.69,500.53,513.82,508.09,499.70,477.57,407.10,422.09,451.05,319.82,250.20,216.99,188.03,144.42,,,,,
黑龙江省,,562.42,555.13,544.38,573.11,558.87,549.66,505.94,501.28,544.79,373.83,299.14,266.61,256.62,199.75,,,,,
上海市,,1000.59,995.70,917.99,874.10,840.97,767.32,695.63,679.54,648.95,549.24,417.28,346.95,326.06,283.33,,,,,
江苏省,,2406.53,2213.84,2055.56,1979.57,1842.94,1746.22,1504.86,1434.99,1350.61,1093.22,865.36,680.63,592.60,492.90,,,,,
浙江省,,1881.09,1764.69,1572.47,1430.15,1300.03,1264.93,1030.99,950.07,877.86,751.42,606.54,519.33,453.99,383.89,,,,,
安徽省,,1261.86,1222.21,1113.26,1014.91,910.87,856.73,743.07,736.59,717.94,564.71,386.31,323.79,286.26,212.97,,,,,
福建省,,1031.57,968.54,925.06,842.21,789.11,757.51,634.60,574.91,562.30,406.73,327.77,277.55,233.29,183.66,,,,,
江西省,,1223.59,1148.50,1054.41,940.57,848.88,793.27,711.72,664.53,622.06,474.43,297.50,251.93,206.86,173.81,,,,,
山东省,,2283.84,2156.14,2006.50,1890.00,1825.99,1690.62,1461.05,1399.67,1311.80,1047.90,770.45,613.49,550.99,453.36,,,,,
河南省,,1882.56,1810.71,1664.67,1493.11,1343.76,1271.00,1201.38,1171.52,1106.51,857.14,609.37,526.14,444.03,366.12,,,,,
湖北省,,1192.02,1147.10,1065.64,1101.35,1047.37,913.05,773.35,690.63,732.37,488.16,366.57,317.29,284.19,217.20,,,,,
湖南省,,1325.25,1270.02,1186.72,1115.33,1032.37,928.54,833.27,809.45,807.58,540.83,403.10,357.58,311.26,228.52,,,,,
广东省,,3510.56,3210.51,2792.90,2575.52,2318.47,2040.65,1808.97,1744.59,1501.22,1227.87,921.48,803.20,703.33,575.90,,,,,
广西壮族自治区,,1061.10,1014.52,933.22,920.20,854.55,789.69,660.53,609.93,589.24,456.89,366.84,296.60,251.22,189.38,,,,,
海南省,,295.84,273.50,248.98,220.87,214.24,206.84,175.95,174.57,158.79,127.27,98.33,74.50,55.63,40.33,,,,,
重庆市,,754.97,728.26,680.99,626.30,575.18,536.24,469.98,437.28,471.49,318.70,240.46,190.28,153.50,121.55,,,,,
四川省,,1686.16,1578.88,1461.78,1389.20,1301.85,1252.33,1056.91,1036.41,993.20,684.66,540.65,451.44,369.28,292.86,,,,,
贵州省,,1073.34,1067.62,985.95,901.96,843.54,772.91,637.03,560.67,500.51,376.86,292.06,256.72,229.77,166.27,,,,,
云南省,,1162.02,1069.85,1077.43,998.33,871.14,767.46,674.94,685.97,674.82,483.00,374.79,308.18,241.95,190.54,,,,,
西藏自治区,,273.89,263.26,232.15,227.20,169.64,167.27,142.08,107.18,94.48,77.81,60.80,61.04,47.08,33.57,,,,,
陕西省,,998.58,951.23,871.44,828.25,777.53,758.07,693.83,710.11,703.34,529.46,377.79,310.96,264.91,184.52,,,,,
甘肃省,,662.99,636.05,592.96,567.35,548.95,498.33,401.26,377.06,367.92,284.33,228.23,206.36,182.93,123.97,,,,,
青海省,,218.14,221.37,199.10,187.51,171.36,163.19,156.31,121.51,171.81,130.11,82.47,61.82,48.81,34.85,,,,,
宁夏回族自治区,,208.42,179.33,170.47,170.65,152.57,142.51,122.68,112.95,106.45,103.02,81.59,63.50,54.06,47.31,,,,,
新疆维吾尔自治区,,908.11,863.07,812.88,722.59,664.52,647.93,567.20,532.67,473.86,399.80,313.84,240.15,199.21,142.77,,,,,
数据来源：国家统计局
