数据库：分省年度数据
指标：地方财政商业服务业等事务支出(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,37.13,31.95,51.75,53.73,56.15,58.85,39.90,41.81,38.29,41.06,,,,,,,,,
天津市,,59.31,50.97,51.23,53.44,40.91,50.38,26.24,29.40,29.21,20.55,,,,,,,,,
河北省,,25.38,27.40,39.09,39.20,35.80,36.53,29.06,43.21,49.48,54.17,,,,,,,,,
山西省,,14.66,14.19,19.08,19.52,15.91,15.31,13.95,26.52,23.67,22.99,,,,,,,,,
内蒙古自治区,,22.52,21.29,36.21,41.84,37.04,45.79,27.96,27.07,29.95,25.82,,,,,,,,,
辽宁省,,39.52,25.49,29.10,31.77,33.24,45.76,59.34,57.48,44.99,56.39,,,,,,,,,
吉林省,,16.37,13.25,26.20,31.14,30.01,28.68,28.30,24.45,23.38,22.46,,,,,,,,,
黑龙江省,,19.47,10.90,18.38,18.28,17.47,23.89,21.45,22.54,28.43,28.72,,,,,,,,,
上海市,,196.14,178.72,178.32,141.27,129.25,86.85,79.10,66.51,60.51,51.13,,,,,,,,,
江苏省,,104.41,94.74,114.40,112.56,123.74,136.15,118.11,118.00,124.87,128.56,,,,,,,,,
浙江省,,200.76,104.37,154.62,140.38,133.51,143.57,103.63,89.48,84.63,96.97,,,,,,,,,
安徽省,,43.76,26.48,36.65,34.71,59.47,63.43,62.09,60.11,71.53,65.63,,,,,,,,,
福建省,,69.80,62.85,68.10,67.81,83.11,79.48,65.24,64.63,55.38,49.63,,,,,,,,,
江西省,,28.93,19.06,37.09,34.60,41.22,55.70,32.94,34.46,38.22,38.16,,,,,,,,,
山东省,,74.28,55.83,102.20,83.96,113.79,116.88,94.13,88.87,96.00,119.34,,,,,,,,,
河南省,,38.07,30.14,41.89,34.57,42.97,57.71,31.50,39.74,53.99,67.60,,,,,,,,,
湖北省,,42.05,21.13,32.31,33.71,37.28,52.17,36.06,47.81,58.63,52.52,,,,,,,,,
湖南省,,55.34,49.40,59.96,56.56,57.75,63.47,44.43,55.87,55.95,53.46,,,,,,,,,
广东省,,100.45,64.70,64.32,91.73,203.33,147.85,89.21,80.68,68.75,91.88,,,,,,,,,
广西壮族自治区,,40.61,19.11,31.69,38.69,40.71,45.56,31.35,28.74,30.72,23.69,,,,,,,,,
海南省,,7.12,9.82,13.63,12.36,11.37,9.56,8.76,9.54,12.19,10.66,,,,,,,,,
重庆市,,43.45,31.69,47.68,60.66,48.13,41.92,34.79,34.93,45.38,40.22,,,,,,,,,
四川省,,65.90,57.32,77.50,81.21,73.41,82.52,69.92,64.23,61.76,63.25,,,,,,,,,
贵州省,,18.98,14.57,25.66,30.16,31.05,24.97,21.12,22.49,18.76,19.81,,,,,,,,,
云南省,,50.08,18.78,28.71,28.69,31.55,33.59,29.74,36.13,39.03,33.72,,,,,,,,,
西藏自治区,,3.31,4.84,10.43,8.56,6.87,12.40,10.45,8.31,6.98,5.52,,,,,,,,,
陕西省,,42.40,41.50,50.20,42.78,49.03,44.56,33.29,38.06,34.87,41.59,,,,,,,,,
甘肃省,,14.11,10.49,24.24,25.14,24.27,29.69,17.63,17.62,19.13,16.95,,,,,,,,,
青海省,,4.01,7.39,15.32,17.70,14.60,19.06,13.03,12.16,10.21,10.91,,,,,,,,,
宁夏回族自治区,,9.29,8.80,15.43,16.62,21.98,20.08,18.64,16.23,14.57,16.18,,,,,,,,,
新疆维吾尔自治区,,34.16,30.12,32.31,36.32,43.22,52.40,28.42,29.46,22.24,25.24,,,,,,,,,
数据来源：国家统计局
