数据库：分省年度数据
指标：地方财政金融监管支出(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,16.62,16.33,15.15,12.93,11.30,12.80,4.09,3.54,3.00,2.09,,,,,,,,,
天津市,,9.35,4.71,3.60,5.52,3.05,3.67,2.93,3.02,2.81,1.92,,,,,,,,,
河北省,,5.39,9.59,9.74,4.09,7.50,3.19,1.98,7.84,4.89,2.08,,,,,,,,,
山西省,,38.75,13.82,20.30,7.19,7.95,5.61,2.91,9.35,5.15,8.57,,,,,,,,,
内蒙古自治区,,20.40,58.37,29.42,19.43,4.44,13.16,3.21,2.44,3.25,4.30,,,,,,,,,
辽宁省,,16.56,73.45,3.77,2.18,28.10,12.37,3.89,4.82,7.62,13.32,,,,,,,,,
吉林省,,6.86,45.03,17.29,6.94,34.25,5.54,18.62,10.47,4.62,7.12,,,,,,,,,
黑龙江省,,8.46,7.59,2.34,2.92,5.90,0.80,1.15,1.67,2.61,2.56,,,,,,,,,
上海市,,25.88,29.94,59.07,26.37,20.40,17.87,15.20,15.09,17.05,13.81,,,,,,,,,
江苏省,,18.75,16.05,16.09,13.59,26.95,18.05,14.84,16.50,22.98,27.45,,,,,,,,,
浙江省,,52.55,40.70,64.26,10.47,10.33,30.51,10.13,12.14,9.87,5.78,,,,,,,,,
安徽省,,7.65,4.90,10.33,13.55,33.04,6.93,5.02,3.63,4.04,8.06,,,,,,,,,
福建省,,10.48,4.14,6.32,13.80,6.28,4.86,2.98,2.78,2.98,1.58,,,,,,,,,
江西省,,9.77,4.34,2.35,7.12,4.07,10.22,4.32,6.71,6.92,2.06,,,,,,,,,
山东省,,91.57,161.07,62.14,22.75,43.17,48.74,11.89,12.93,17.35,21.17,,,,,,,,,
河南省,,32.38,12.99,19.83,18.99,34.95,40.92,27.71,28.72,25.06,16.83,,,,,,,,,
湖北省,,17.72,5.84,3.10,4.26,4.13,10.51,9.79,13.76,9.05,7.28,,,,,,,,,
湖南省,,23.17,22.90,10.23,12.47,4.47,8.83,5.76,2.35,3.22,3.87,,,,,,,,,
广东省,,28.89,55.28,70.61,20.65,159.47,141.17,45.56,16.43,27.67,14.61,,,,,,,,,
广西壮族自治区,,15.67,5.78,4.16,3.48,5.29,33.79,2.65,7.04,5.12,8.04,,,,,,,,,
海南省,,2.41,1.15,1.13,0.88,1.26,0.53,1.64,1.39,0.75,0.25,,,,,,,,,
重庆市,,10.47,6.16,5.12,1.67,4.52,13.51,9.76,9.88,3.51,12.63,,,,,,,,,
四川省,,84.39,11.32,23.58,14.13,21.79,17.40,7.33,6.51,10.72,11.19,,,,,,,,,
贵州省,,2.45,1.12,0.67,0.74,4.32,0.79,0.52,0.48,0.97,0.44,,,,,,,,,
云南省,,8.60,4.21,4.53,4.38,1.26,2.32,4.73,2.98,4.43,7.51,,,,,,,,,
西藏自治区,,10.92,1.95,1.57,15.51,7.86,2.84,2.62,1.10,0.34,0.37,,,,,,,,,
陕西省,,44.50,29.20,40.32,17.67,4.68,12.86,5.32,5.48,7.51,5.07,,,,,,,,,
甘肃省,,12.19,20.74,21.33,0.37,3.16,2.16,1.89,0.16,8.10,2.47,,,,,,,,,
青海省,,0.87,2.54,0.65,2.88,6.92,6.00,12.93,1.82,6.26,6.98,,,,,,,,,
宁夏回族自治区,,2.68,0.40,4.97,3.48,18.16,7.11,16.12,1.07,4.95,6.95,,,,,,,,,
新疆维吾尔自治区,,1.98,0.07,0.07,4.43,21.36,1.18,1.20,0.87,16.89,9.00,,,,,,,,,
数据来源：国家统计局
