数据库：分省年度数据
指标：地方财政住房保障支出支出(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,145.55,96.84,132.00,148.00,322.09,104.69,66.96,48.48,44.79,54.56,,,,,,,,,
天津市,,67.48,84.77,92.21,64.08,116.23,46.82,15.57,14.99,9.58,20.82,,,,,,,,,
河北省,,167.72,209.25,199.20,175.12,182.01,161.15,126.86,135.01,135.81,142.56,,,,,,,,,
山西省,,118.74,121.90,126.12,138.19,148.70,126.61,93.38,95.63,85.65,84.85,,,,,,,,,
内蒙古自治区,,177.75,172.76,182.21,164.31,210.71,190.36,157.61,169.54,164.83,140.35,,,,,,,,,
辽宁省,,219.41,180.96,151.08,124.77,154.40,136.93,174.33,152.46,120.90,152.44,,,,,,,,,
吉林省,,149.10,124.62,124.43,128.04,136.45,135.91,137.30,139.14,145.19,124.15,,,,,,,,,
黑龙江省,,227.77,166.90,240.96,265.15,271.95,212.34,147.19,180.98,218.78,183.17,,,,,,,,,
上海市,,291.93,273.51,266.70,286.01,230.67,123.39,119.30,105.24,112.71,82.46,,,,,,,,,
江苏省,,661.29,507.14,443.65,351.81,269.43,247.18,189.53,169.32,133.94,118.92,,,,,,,,,
浙江省,,237.33,200.40,185.31,169.78,160.86,140.73,99.82,81.59,65.25,58.05,,,,,,,,,
安徽省,,218.59,213.21,224.91,222.52,229.29,276.63,232.76,225.77,248.58,161.22,,,,,,,,,
福建省,,130.32,102.16,88.82,91.59,105.85,81.65,91.46,51.67,52.85,56.45,,,,,,,,,
江西省,,205.25,143.24,137.59,151.04,171.65,241.38,197.11,200.02,134.43,108.28,,,,,,,,,
山东省,,251.63,239.29,343.82,309.89,248.74,204.14,181.15,126.54,123.53,67.56,,,,,,,,,
河南省,,349.43,284.71,359.62,248.12,268.58,242.04,247.57,191.11,185.65,142.64,,,,,,,,,
湖北省,,205.18,202.68,213.62,249.55,240.64,204.78,147.06,123.11,140.57,103.06,,,,,,,,,
湖南省,,244.84,213.76,256.47,248.97,305.21,277.26,208.13,174.58,185.91,126.76,,,,,,,,,
广东省,,543.33,424.50,527.13,762.03,662.85,357.29,264.88,206.39,180.37,146.42,,,,,,,,,
广西壮族自治区,,188.50,138.52,130.36,140.38,185.55,173.96,114.67,108.87,134.39,106.85,,,,,,,,,
海南省,,40.53,65.08,64.19,55.36,56.25,48.26,39.37,36.30,44.76,34.52,,,,,,,,,
重庆市,,178.00,124.98,123.04,112.78,108.20,85.90,64.39,77.22,177.14,157.47,,,,,,,,,
四川省,,381.43,348.98,350.72,325.16,312.28,288.90,307.62,223.54,227.41,231.26,,,,,,,,,
贵州省,,183.65,190.01,275.59,251.86,291.73,298.44,289.00,190.45,129.20,121.65,,,,,,,,,
云南省,,241.71,267.64,224.21,213.62,242.30,210.92,164.84,206.98,231.42,151.71,,,,,,,,,
西藏自治区,,55.50,61.79,57.22,38.38,51.14,54.53,70.49,51.94,41.14,60.79,,,,,,,,,
陕西省,,175.46,168.63,194.00,199.36,215.98,249.10,227.89,167.59,151.51,150.28,,,,,,,,,
甘肃省,,139.62,161.23,157.81,133.84,124.50,127.87,113.66,102.82,102.17,92.58,,,,,,,,,
青海省,,64.29,64.85,66.53,67.32,69.93,65.25,67.73,62.75,84.59,106.15,,,,,,,,,
宁夏回族自治区,,61.90,50.77,54.44,60.32,63.58,72.25,81.39,55.62,56.23,33.86,,,,,,,,,
新疆维吾尔自治区,,176.28,234.27,305.96,234.48,181.02,209.19,199.31,200.19,199.45,170.04,,,,,,,,,
数据来源：国家统计局
