数据库：分省年度数据
指标：商品零售价格指数(上年=100)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,101.0,100.5,101.1,99.2,98.1,98.5,99.1,99.8,100.6,103.2,100.4,97.8,104.4,100.8,100.2,99.7,99.2,98.2,98.4
天津市,,101.0,101.7,101.6,100.8,100.5,100.3,100.9,101.7,103.0,104.7,103.4,98.9,105.1,103.2,100.4,99.9,100.8,97.4,97.4
河北省,,101.4,101.8,102.2,101.4,101.2,100.2,101.0,102.2,102.2,105.0,103.1,99.0,106.7,104.1,101.5,101.1,103.2,100.2,99.2
山西省,,100.9,101.8,101.7,101.3,100.5,99.3,100.6,101.8,101.8,104.9,102.3,99.1,107.2,104.2,101.2,100.3,103.1,100.3,98.6
内蒙古自治区,,100.5,101.5,101.6,101.2,100.6,100.5,100.7,102.6,102.5,104.9,103.0,99.5,104.7,103.6,101.4,101.5,102.7,99.6,99.4
辽宁省,,101.1,101.7,101.4,100.7,101.0,100.5,101.0,101.6,102.2,105.0,103.2,99.8,105.3,104.4,101.3,100.1,101.9,98.9,97.4
吉林省,,100.7,102.1,102.4,101.4,101.3,99.8,101.2,101.6,101.7,104.9,104.1,99.3,106.2,103.7,101.5,101.1,103.5,100.5,99.0
黑龙江省,,101.5,102.1,101.1,99.9,101.1,100.1,100.8,101.1,102.2,104.5,103.1,98.9,105.8,105.2,101.5,100.4,102.8,99.7,98.5
上海市,,100.9,100.4,101.6,100.9,100.8,101.1,100.9,100.2,101.2,104.1,101.7,99.4,105.3,102.4,100.2,99.4,100.9,99.0,98.7
江苏省,,101.8,102.6,102.6,101.9,100.8,100.6,101.6,101.4,102.1,104.6,103.2,98.9,104.9,102.9,100.8,100.3,102.2,99.8,98.4
浙江省,,101.2,102.5,102.1,101.4,101.0,99.9,100.9,101.0,101.9,105.5,103.9,98.8,106.3,103.8,100.8,100.9,102.7,99.6,98.7
安徽省,,101.6,101.9,101.9,101.7,100.8,99.7,100.4,101.3,102.1,105.3,103.2,99.0,106.3,104.5,100.8,100.6,102.7,101.3,99.2
福建省,,101.3,101.9,101.5,100.6,100.7,99.9,101.1,101.1,101.8,104.8,103.4,97.9,105.7,104.3,100.5,100.6,102.7,99.1,98.3
江西省,,101.6,101.9,101.0,101.0,100.6,100.5,101.2,101.5,102.1,104.8,102.7,99.0,106.1,104.0,101.2,100.9,103.0,100.1,100.2
山东省,,102.0,102.2,102.2,100.8,101.3,100.2,101.0,101.4,101.6,104.7,102.7,99.4,104.9,103.6,100.6,100.6,102.8,100.2,98.8
河南省,,100.9,102.4,102.9,101.3,100.3,99.8,101.0,101.9,102.3,105.7,103.7,99.4,107.5,104.4,100.9,101.7,105.7,101.3,99.2
湖北省,,102.2,102.6,101.2,100.3,100.8,100.5,100.9,101.8,102.6,105.6,103.1,98.6,106.3,104.2,101.1,102.1,104.1,101.2,98.8
湖南省,,101.3,102.3,102.3,101.3,101.0,99.9,101.2,101.7,101.7,105.5,103.1,98.5,105.6,104.3,101.3,102.3,103.9,100.6,99.2
广东省,,100.8,101.4,102.1,101.6,100.8,99.6,101.4,101.0,102.2,105.1,103.3,96.8,106.0,103.4,101.5,101.8,102.9,100.0,98.5
广西壮族自治区,,101.4,103.2,101.6,101.2,100.4,100.1,101.4,101.2,102.3,106.0,103.0,98.0,107.4,104.8,100.3,101.1,103.9,100.2,98.1
海南省,,101.6,102.5,102.5,102.0,101.0,99.8,101.2,101.5,102.7,105.4,104.6,98.5,106.7,104.2,101.3,100.9,103.4,100.4,98.4
重庆市,,102.2,101.6,101.2,100.8,101.3,100.2,100.9,101.8,101.6,104.7,101.7,97.3,105.0,103.7,101.6,98.7,101.4,99.5,98.9
四川省,,102.7,102.7,101.4,100.5,100.8,100.2,100.6,101.7,101.6,104.6,103.0,100.1,105.3,105.3,101.7,100.6,103.7,100.1,99.4
贵州省,,101.6,101.7,101.8,100.9,100.2,100.1,101.2,101.5,102.0,105.5,103.0,97.6,107.2,104.2,100.9,101.3,103.2,100.0,99.3
云南省,,102.4,101.5,101.5,101.3,100.7,100.8,101.6,102.6,102.4,105.1,103.6,100.1,106.1,104.4,100.8,100.1,104.7,99.9,98.1
西藏自治区,,102.0,102.0,101.5,101.4,102.1,101.4,102.2,103.0,102.9,103.7,101.0,99.5,103.9,101.7,100.2,100.8,100.7,99.4,99.5
陕西省,,101.9,102.4,102.1,101.3,100.3,99.8,100.7,101.8,102.3,104.8,103.6,99.9,106.9,104.9,101.8,100.1,102.5,100.5,98.6
甘肃省,,101.3,101.9,101.7,101.4,100.9,101.0,101.7,102.6,102.6,105.4,104.6,101.4,107.9,104.8,101.2,99.9,102.1,100.2,98.9
青海省,,102.4,102.0,102.1,101.2,100.4,101.0,101.5,102.7,102.1,105.4,104.3,101.6,110.6,106.1,102.0,100.7,102.6,100.8,99.3
宁夏回族自治区,,100.6,101.1,102.9,101.8,100.7,100.1,100.9,102.4,101.0,105.3,103.2,99.5,108.5,104.1,101.3,100.4,102.8,99.5,98.6
新疆维吾尔自治区,,100.6,101.3,100.9,100.9,100.5,99.6,101.7,103.3,103.3,105.1,104.6,100.4,108.5,105.1,101.8,99.4,100.7,99.2,97.9
数据来源：国家统计局
