数据库：分省年度数据
指标：农村商品零售价格指数(上年=100)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,101.7,102.2,102.6,102.2,101.3,100.0,101.1,102.5,102.3,106.0,103.5,99.1,107.9,104.6,101.5,101.2,104.0,100.4,99.6
山西省,,101.6,102.4,101.6,100.6,100.4,99.7,100.5,102.3,102.1,105.0,102.0,99.3,107.2,104.7,101.2,100.7,104.2,100.6,99.1
内蒙古自治区,,101.0,102.1,101.8,101.0,100.4,100.2,101.1,102.7,102.4,104.7,103.3,99.6,106.1,104.0,101.2,101.4,103.1,99.6,99.2
辽宁省,,102.0,102.2,101.3,100.7,100.9,100.4,100.9,101.7,101.6,105.4,104.8,100.3,105.9,106.1,101.9,100.9,103.9,101.3,97.6
吉林省,,101.8,102.2,102.8,101.3,100.8,100.0,101.0,102.2,101.9,105.5,104.3,100.3,106.2,104.5,101.9,101.5,104.9,101.1,99.7
黑龙江省,,101.6,102.2,101.9,99.6,101.3,100.2,100.7,101.7,102.3,105.8,105.5,100.7,108.2,106.7,103.4,102.3,105.0,101.1,98.7
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,102.4,103.4,103.2,102.2,101.3,100.6,101.2,101.5,102.3,105.2,103.6,98.5,105.1,104.6,101.3,101.1,103.5,100.2,99.0
浙江省,,102.1,102.5,102.3,101.7,101.0,100.2,101.1,100.5,101.8,105.8,103.9,98.6,106.1,103.9,101.0,100.7,103.6,99.9,99.3
安徽省,,101.7,102.0,102.1,101.3,100.8,99.9,100.5,101.4,102.3,106.1,104.0,99.1,106.7,104.7,100.9,101.1,103.3,101.7,99.4
福建省,,101.6,102.0,101.6,100.8,101.0,100.0,101.3,101.3,102.4,105.1,103.6,97.7,106.1,105.0,101.0,101.0,103.2,99.5,98.3
江西省,,101.9,101.4,100.8,101.0,100.8,100.6,101.4,101.9,102.5,105.0,102.9,98.8,106.4,105.1,101.4,101.4,104.0,100.7,100.3
山东省,,102.6,102.9,102.7,100.8,101.0,100.2,100.5,101.8,101.9,105.3,103.2,99.4,105.8,104.6,100.9,101.2,103.7,101.0,99.7
河南省,,101.2,102.2,102.9,101.6,100.3,100.0,101.0,102.3,102.1,106.1,104.0,99.2,107.5,105.1,101.1,101.6,106.0,101.4,99.3
湖北省,,103.0,102.6,101.6,100.9,100.9,100.7,101.0,102.1,102.7,106.2,103.4,98.9,107.6,105.4,101.6,102.4,105.4,100.8,99.5
湖南省,,102.5,102.4,102.0,101.4,101.1,100.0,101.1,102.3,101.8,105.6,103.3,98.8,108.7,106.7,101.4,103.0,105.0,101.1,99.3
广东省,,101.2,102.3,101.8,101.5,101.0,100.2,101.4,101.6,102.4,105.6,103.1,97.0,106.2,103.8,101.6,102.2,103.7,100.6,98.6
广西壮族自治区,,102.1,103.5,101.7,100.8,100.3,100.1,101.1,101.3,102.4,106.6,103.2,96.9,108.2,105.3,99.8,101.0,104.4,100.8,98.0
海南省,,102.4,103.4,102.2,103.1,102.3,98.6,101.8,101.6,102.8,106.7,106.0,97.2,108.3,105.3,102.3,101.5,103.8,100.8,97.7
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,103.4,103.1,101.3,100.8,100.9,101.0,100.4,101.6,101.4,105.2,103.3,100.4,105.4,105.5,101.9,101.0,104.6,100.1,99.8
贵州省,,102.4,101.9,101.3,100.5,100.0,100.3,101.3,100.8,102.6,105.9,103.1,97.7,108.4,105.2,101.6,102.8,104.4,101.1,98.9
云南省,,102.6,102.0,101.8,101.6,101.2,100.6,101.7,103.0,102.5,105.3,103.7,100.4,107.0,105.1,101.7,99.8,105.0,99.3,98.9
西藏自治区,,101.7,101.8,102.4,101.3,102.2,101.3,101.9,102.5,102.5,103.3,101.0,99.6,103.5,102.5,100.8,100.4,101.2,100.0,99.6
陕西省,,102.4,102.4,102.3,101.4,100.7,100.0,100.6,102.0,102.3,104.8,104.5,100.1,107.1,105.1,102.2,100.8,103.7,101.0,99.1
甘肃省,,101.5,101.3,101.0,100.7,101.0,101.5,102.0,103.1,103.3,104.9,103.2,102.3,108.4,106.3,102.0,100.6,102.1,100.6,99.3
青海省,,102.3,102.8,102.6,101.4,101.5,101.5,101.7,102.6,102.1,105.2,105.0,101.3,111.3,106.5,101.1,101.0,102.2,100.1,99.2
宁夏回族自治区,,100.2,101.1,103.2,102.1,100.0,99.9,100.3,102.9,101.7,107.8,104.5,100.0,112.5,105.4,101.8,100.1,104.2,100.1,98.7
新疆维吾尔自治区,,101.2,101.7,102.0,101.3,100.5,99.8,101.0,103.1,104.0,106.6,106.4,101.6,108.8,105.9,103.5,99.3,103.2,99.5,99.3
数据来源：国家统计局
