数据库：分省年度数据
指标：农村居民人均消费支出(元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,23574,20913,21881,20195,18810,17329,15811,14535,13564,11888,11086,9262,8904,7289,6403,5728,5318,4619,4149,3733
天津市,19286,16844,17843,16863,16386,15912,14739,13739,12491,10254,8273,6072,5167,4550,4142,3850,3442,2945,2543,2334
河北省,15391,12644,12372,11383,10536,9798,9023,8248,7377,6451,5666,4624,3968,3651,3208,2831,2420,2019,1734,1578
山西省,11410,10290,9728,9172,8424,8029,7421,6992,6458,6184,5096,4070,3642,3386,2908,2421,2000,1728,1502,1407
内蒙古自治区,15691,13594,13816,12661,12184,11463,10637,9972,9080,7972,6880,5572,4870,4364,3860,3225,2796,2337,1950,1784
辽宁省,14606,12311,12030,11455,10787,9953,8873,7801,7032,5892,5311,4410,4184,3757,3322,3030,2776,2054,1870,1770
吉林省,13411,11864,11457,10826,10279,9521,8783,8140,7523,6307,5409,4228,3973,3500,3111,2736,2333,1991,1831,1692
黑龙江省,15225,12360,12495,11417,10524,9424,8391,7830,7192,6035,5630,4635,4459,4025,3248,2716,2629,1888,1701,1707
上海市,27205,22095,22449,19965,18090,17071,16152,14820,13016,10947,10103,9336,9025,8453,8253,7523,6888,6034,5444,5126
江苏省,21130,17022,17716,16567,15612,14428,12883,11820,10759,9921,8788,7104,6260,5710,5096,4373,3747,3121,2803,2699
浙江省,25415,21555,21352,19707,18093,17359,16108,14498,12803,11598,10849,9721,8360,8096,7261,6423,5723,4873,4453,3811
安徽省,17163,15024,14546,12748,11106,10287,8975,7981,7200,6988,6235,5048,4516,3986,3278,2829,2521,2042,1764,1603
福建省,19290,16339,16281,14943,14003,12911,11961,11056,9986,9068,8013,6736,6048,5534,4732,4125,3722,3356,2973,2786
江西省,15663,13579,12497,10885,9870,9128,8486,7548,6807,6176,5611,4710,4191,3871,3452,3040,2780,2309,2072,1911
山东省,14299,12660,12309,11270,10342,9519,8748,7962,6877,6304,5489,4472,4132,3835,3426,2992,2619,2301,2066,1945
河南省,14073,12201,11546,10392,9212,8587,7887,7277,6359,5686,4881,4161,3793,3375,2938,2422,2034,1772,1591,1517
湖北省,17647,14472,15328,13946,11633,10938,9803,8681,7850,7159,6264,5114,4576,4414,3664,3182,2780,2345,1986,1893
湖南省,16951,14974,13969,12721,11534,10630,9691,9025,7833,6956,6138,5108,4703,4393,3846,3385,3056,2703,2306,2203
广东省,20012,17132,16949,15411,13200,12415,11103,10043,8938,7990,7205,5908,5348,5164,4428,4073,3866,3360,3018,2898
广西壮族自治区,14165,12431,12045,10617,9437,8351,7582,6675,6035,5720,4882,4006,3704,3383,3078,2672,2573,2085,1871,1782
海南省,15487,13169,12418,10956,9599,8921,8210,7029,6376,5572,4860,4020,3559,3284,2876,2480,2161,1892,1762,1698
重庆市,16096,14140,13112,11977,10936,9954,8938,7983,6971,6035,5414,4359,3722,3368,2906,2498,2394,2041,1716,1601
四川省,16444,14953,14056,12723,11397,10192,9251,8301,7365,6265,5458,4550,4785,3562,3090,2660,2496,2185,1870,1684
贵州省,12557,10818,10222,9170,8299,7533,6645,5970,5291,4355,3857,3184,2679,2374,2080,1752,1658,1371,1243,1184
云南省,12386,11069,10260,9123,8027,7331,6830,6030,5247,5045,4424,3759,3208,3257,2849,2352,1899,1654,1468,1433
西藏自治区,10577,8917,8418,7452,6691,6070,5580,4822,4102,3406,3146,3061,2725,2472,2468,2205,1878,1584,1095,1052
陕西省,13158,11376,10935,10071,9306,8568,7901,7252,6488,5797,5091,4300,3758,3310,2815,2374,2043,1726,1537,1561
甘肃省,11206,9923,9694,9065,8030,7487,6830,6148,5654,4834,4273,3430,3188,2733,2267,2061,1999,1587,1432,1220
青海省,13300,12134,11343,10352,9903,9222,8566,8235,7506,6613,5619,4675,3906,3467,2877,2520,2248,1874,1719,1499
宁夏回族自治区,13536,11724,11465,10790,9982,9138,8415,7676,6740,5558,4909,4168,3466,3195,2602,2305,2143,1965,1665,1438
新疆维吾尔自治区,12821,10778,10318,9421,8713,8277,7698,7365,7103,6154,5105,4014,3383,3050,2631,2247,2104,1825,1563,1489
数据来源：国家统计局
