数据库：分省年度数据
指标：居民平均每百户年末摩托车拥有量(辆)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,3.5,3.7,3.6,3.4,3.3,4.0,,,,,,,,,,,,,
天津市,,3.9,4.0,4.4,6.4,8.1,11.6,,,,,,,,,,,,,
河北省,,25.5,24.6,28.6,33.9,34.7,40.0,,,,,,,,,,,,,
山西省,,24.4,25.1,27.9,32.8,33.3,37.4,,,,,,,,,,,,,
内蒙古自治区,,28.0,30.7,33.3,39.0,40.4,44.8,,,,,,,,,,,,,
辽宁省,,21.3,22.0,22.9,26.0,26.5,26.3,,,,,,,,,,,,,
吉林省,,26.6,29.0,30.3,38.1,37.8,40.7,,,,,,,,,,,,,
黑龙江省,,19.3,20.3,22.2,26.1,27.5,28.9,,,,,,,,,,,,,
上海市,,2.6,2.8,3.2,4.0,4.3,4.9,,,,,,,,,,,,,
江苏省,,14.6,14.9,17.6,23.1,24.4,27.7,,,,,,,,,,,,,
浙江省,,11.5,11.6,12.7,17.7,17.9,20.0,,,,,,,,,,,,,
安徽省,,20.5,22.0,25.1,27.6,28.5,34.1,,,,,,,,,,,,,
福建省,,50.6,51.6,50.8,62.6,63.6,63.8,,,,,,,,,,,,,
江西省,,44.8,44.8,48.4,52.2,52.8,52.5,,,,,,,,,,,,,
山东省,,23.0,25.3,28.0,35.0,36.4,43.6,,,,,,,,,,,,,
河南省,,27.7,28.2,30.2,38.5,40.4,47.4,,,,,,,,,,,,,
湖北省,,53.8,56.9,56.4,53.0,52.0,51.8,,,,,,,,,,,,,
湖南省,,56.9,57.2,57.7,56.0,56.6,54.3,,,,,,,,,,,,,
广东省,,65.5,66.4,67.2,64.2,62.8,60.7,,,,,,,,,,,,,
广西壮族自治区,,61.7,63.8,63.7,72.8,74.5,75.4,,,,,,,,,,,,,
海南省,,48.8,50.8,58.8,61.3,63.2,66.3,,,,,,,,,,,,,
重庆市,,22.6,23.7,25.7,25.5,26.0,27.3,,,,,,,,,,,,,
四川省,,32.5,34.5,35.3,35.9,36.1,38.0,,,,,,,,,,,,,
贵州省,,40.2,41.5,41.6,37.2,38.8,40.0,,,,,,,,,,,,,
云南省,,59.3,59.5,56.8,61.1,61.0,56.5,,,,,,,,,,,,,
西藏自治区,,58.4,61.9,61.7,60.9,56.2,57.0,,,,,,,,,,,,,
陕西省,,33.9,35.4,37.8,35.5,36.3,40.4,,,,,,,,,,,,,
甘肃省,,35.9,39.0,37.9,51.6,54.6,58.0,,,,,,,,,,,,,
青海省,,35.3,36.4,40.1,44.5,45.3,48.7,,,,,,,,,,,,,
宁夏回族自治区,,29.7,30.4,34.7,38.5,42.5,47.3,,,,,,,,,,,,,
新疆维吾尔自治区,,23.2,25.1,33.0,41.7,42.5,48.9,,,,,,,,,,,,,
数据来源：国家统计局
