数据库：分省年度数据
指标：居民平均每百户年末洗衣机拥有量(台)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,101.3,101.1,100.3,96.0,95.0,95.2,,,,,,,,,,,,,
天津市,,100.1,100.3,99.6,98.1,97.5,96.0,,,,,,,,,,,,,
河北省,,103.7,101.2,99.8,99.2,98.4,97.6,,,,,,,,,,,,,
山西省,,94.5,94.5,92.6,93.8,93.3,91.1,,,,,,,,,,,,,
内蒙古自治区,,98.0,97.6,96.9,94.4,93.7,91.3,,,,,,,,,,,,,
辽宁省,,94.6,94.1,93.2,93.2,91.7,88.1,,,,,,,,,,,,,
吉林省,,95.8,95.4,94.6,95.0,94.1,92.8,,,,,,,,,,,,,
黑龙江省,,96.0,95.6,93.2,92.5,91.2,90.3,,,,,,,,,,,,,
上海市,,95.6,94.9,93.2,94.7,93.4,89.3,,,,,,,,,,,,,
江苏省,,102.6,101.9,100.4,100.1,98.9,96.7,,,,,,,,,,,,,
浙江省,,93.7,92.9,90.6,88.9,86.4,83.2,,,,,,,,,,,,,
安徽省,,95.9,94.8,92.0,90.3,87.0,83.3,,,,,,,,,,,,,
福建省,,91.6,90.5,85.0,86.7,84.3,80.1,,,,,,,,,,,,,
江西省,,82.1,81.4,78.1,75.6,72.0,68.3,,,,,,,,,,,,,
山东省,,99.1,98.5,98.1,96.1,94.8,91.9,,,,,,,,,,,,,
河南省,,100.3,99.8,98.9,98.5,97.5,95.5,,,,,,,,,,,,,
湖北省,,94.0,93.4,91.9,86.9,84.8,79.3,,,,,,,,,,,,,
湖南省,,97.9,97.2,95.1,90.4,87.9,83.7,,,,,,,,,,,,,
广东省,,93.2,92.6,89.7,78.2,75.1,69.3,,,,,,,,,,,,,
广西壮族自治区,,93.6,91.4,85.1,82.6,80.0,72.3,,,,,,,,,,,,,
海南省,,74.4,74.3,69.3,64.3,61.5,55.0,,,,,,,,,,,,,
重庆市,,95.7,94.3,91.8,90.5,89.0,86.6,,,,,,,,,,,,,
四川省,,98.7,97.9,94.6,94.0,92.2,88.6,,,,,,,,,,,,,
贵州省,,100.5,99.6,96.9,95.3,93.4,90.5,,,,,,,,,,,,,
云南省,,95.9,95.6,90.9,88.4,85.0,80.0,,,,,,,,,,,,,
西藏自治区,,86.9,87.1,85.6,73.4,71.7,60.4,,,,,,,,,,,,,
陕西省,,97.0,96.6,94.3,95.7,94.4,91.8,,,,,,,,,,,,,
甘肃省,,99.3,97.0,98.3,96.2,95.3,91.8,,,,,,,,,,,,,
青海省,,100.8,98.5,95.3,98.0,97.2,95.7,,,,,,,,,,,,,
宁夏回族自治区,,103.2,102.7,101.4,100.1,98.9,96.5,,,,,,,,,,,,,
新疆维吾尔自治区,,101.2,99.4,97.5,97.9,96.4,92.8,,,,,,,,,,,,,
数据来源：国家统计局
