数据库：分省年度数据
指标：居民平均每百户年末微波炉拥有量(台)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,77.6,77.3,76.2,78.1,77.4,77.3,,,,,,,,,,,,,
天津市,,69.5,69.8,68.9,68.5,66.9,66.4,,,,,,,,,,,,,
河北省,,38.3,35.7,45.4,40.5,39.4,37.5,,,,,,,,,,,,,
山西省,,25.1,25.4,24.5,25.8,24.7,23.8,,,,,,,,,,,,,
内蒙古自治区,,30.5,30.1,29.2,25.7,24.8,25.2,,,,,,,,,,,,,
辽宁省,,43.8,43.8,43.0,44.7,43.9,40.2,,,,,,,,,,,,,
吉林省,,32.8,32.3,30.8,29.8,29.4,28.8,,,,,,,,,,,,,
黑龙江省,,23.6,23.6,22.9,24.0,23.9,24.6,,,,,,,,,,,,,
上海市,,86.0,86.2,85.2,88.3,87.4,84.4,,,,,,,,,,,,,
江苏省,,82.4,80.7,78.5,84.0,81.9,78.7,,,,,,,,,,,,,
浙江省,,53.1,52.6,50.1,53.0,50.9,49.5,,,,,,,,,,,,,
安徽省,,46.9,45.2,43.6,44.0,40.4,36.4,,,,,,,,,,,,,
福建省,,49.5,48.0,43.5,53.8,52.6,51.5,,,,,,,,,,,,,
江西省,,33.7,33.8,31.8,34.6,32.3,31.4,,,,,,,,,,,,,
山东省,,39.3,39.0,37.9,37.7,34.7,33.0,,,,,,,,,,,,,
河南省,,28.8,28.4,26.2,26.0,25.1,23.0,,,,,,,,,,,,,
湖北省,,32.5,31.8,31.7,33.7,32.3,30.3,,,,,,,,,,,,,
湖南省,,26.5,26.5,25.7,27.1,25.9,24.9,,,,,,,,,,,,,
广东省,,41.8,41.1,39.2,38.1,36.1,34.0,,,,,,,,,,,,,
广西壮族自治区,,50.4,46.0,41.7,41.3,39.5,38.4,,,,,,,,,,,,,
海南省,,21.0,21.2,23.9,25.9,25.7,25.6,,,,,,,,,,,,,
重庆市,,45.5,44.9,42.4,45.0,44.4,42.9,,,,,,,,,,,,,
四川省,,30.3,29.1,27.0,30.4,28.0,25.2,,,,,,,,,,,,,
贵州省,,22.7,21.7,20.4,24.4,23.6,22.2,,,,,,,,,,,,,
云南省,,36.3,34.2,32.9,31.7,30.2,31.0,,,,,,,,,,,,,
西藏自治区,,19.2,18.5,19.5,15.7,15.4,14.6,,,,,,,,,,,,,
陕西省,,27.5,25.7,25.8,22.9,22.0,22.3,,,,,,,,,,,,,
甘肃省,,29.0,29.2,27.1,26.2,25.7,24.5,,,,,,,,,,,,,
青海省,,41.9,38.2,34.0,35.2,32.4,32.4,,,,,,,,,,,,,
宁夏回族自治区,,40.7,40.2,35.7,35.9,34.2,31.7,,,,,,,,,,,,,
新疆维吾尔自治区,,26.1,24.9,25.8,23.6,22.5,23.6,,,,,,,,,,,,,
数据来源：国家统计局
