数据库：分省年度数据
指标：居民平均每百户年末热水器拥有量(台)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,101.6,100.0,99.8,94.4,93.4,92.6,,,,,,,,,,,,,
天津市,,98.3,96.1,96.4,93.7,92.3,92.7,,,,,,,,,,,,,
河北省,,85.5,81.3,80.9,79.0,77.6,72.7,,,,,,,,,,,,,
山西省,,58.4,57.1,54.8,45.5,45.0,42.6,,,,,,,,,,,,,
内蒙古自治区,,62.7,57.5,56.3,46.3,44.6,40.6,,,,,,,,,,,,,
辽宁省,,70.6,69.0,67.6,60.8,58.8,54.0,,,,,,,,,,,,,
吉林省,,54.6,51.4,49.4,38.0,36.7,35.3,,,,,,,,,,,,,
黑龙江省,,51.4,48.8,46.1,35.1,33.6,31.8,,,,,,,,,,,,,
上海市,,98.2,96.9,94.9,94.8,92.7,88.2,,,,,,,,,,,,,
江苏省,,107.6,105.9,106.1,103.2,101.2,98.4,,,,,,,,,,,,,
浙江省,,105.9,104.0,101.9,95.3,92.0,87.5,,,,,,,,,,,,,
安徽省,,101.1,97.4,98.1,91.1,87.8,80.7,,,,,,,,,,,,,
福建省,,113.2,110.2,104.3,97.8,95.7,91.3,,,,,,,,,,,,,
江西省,,96.0,92.4,88.0,82.2,79.3,74.6,,,,,,,,,,,,,
山东省,,97.5,93.7,95.3,90.3,88.7,84.0,,,,,,,,,,,,,
河南省,,87.0,82.7,81.2,73.3,71.5,63.8,,,,,,,,,,,,,
湖北省,,99.0,96.3,94.4,84.1,81.9,75.8,,,,,,,,,,,,,
湖南省,,94.3,91.2,88.5,78.5,74.8,66.5,,,,,,,,,,,,,
广东省,,104.2,101.5,99.4,88.7,85.2,82.0,,,,,,,,,,,,,
广西壮族自治区,,98.3,94.7,87.8,84.8,80.2,71.4,,,,,,,,,,,,,
海南省,,90.2,87.5,82.8,78.0,75.8,67.1,,,,,,,,,,,,,
重庆市,,95.2,91.1,87.6,80.2,79.2,76.5,,,,,,,,,,,,,
四川省,,92.0,87.3,82.4,79.8,75.6,68.2,,,,,,,,,,,,,
贵州省,,81.9,76.7,70.0,64.6,58.3,50.4,,,,,,,,,,,,,
云南省,,92.7,86.8,84.0,82.2,78.6,72.4,,,,,,,,,,,,,
西藏自治区,,30.9,24.9,23.5,16.0,15.2,15.4,,,,,,,,,,,,,
陕西省,,75.5,69.3,69.8,66.4,64.7,57.9,,,,,,,,,,,,,
甘肃省,,62.1,57.6,57.3,49.7,47.5,43.2,,,,,,,,,,,,,
青海省,,64.1,59.4,55.9,43.9,40.4,37.8,,,,,,,,,,,,,
宁夏回族自治区,,102.0,99.9,98.3,89.1,82.6,73.5,,,,,,,,,,,,,
新疆维吾尔自治区,,90.9,79.6,70.2,59.9,59.4,53.2,,,,,,,,,,,,,
数据来源：国家统计局
