数据库：分省年度数据
指标：居民平均每百户年末移动电话拥有量(部)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,234.5,232.7,228.3,228.5,225.8,221.2,,,,,,,,,,,,,
天津市,,235.8,235.7,233.1,231.8,230.3,219.5,,,,,,,,,,,,,
河北省,,244.6,240.5,236.5,233.0,229.5,223.3,,,,,,,,,,,,,
山西省,,226.1,227.9,223.8,220.3,216.9,207.8,,,,,,,,,,,,,
内蒙古自治区,,233.5,234.4,231.3,229.2,226.1,218.4,,,,,,,,,,,,,
辽宁省,,211.8,211.6,208.8,213.0,210.1,196.4,,,,,,,,,,,,,
吉林省,,237.1,236.7,234.8,232.9,231.0,228.0,,,,,,,,,,,,,
黑龙江省,,229.1,228.1,215.7,209.7,207.6,199.5,,,,,,,,,,,,,
上海市,,226.0,224.5,220.1,230.4,227.9,217.2,,,,,,,,,,,,,
江苏省,,252.3,251.1,247.3,242.9,239.3,228.6,,,,,,,,,,,,,
浙江省,,247.9,245.0,243.6,239.9,233.1,224.2,,,,,,,,,,,,,
安徽省,,262.5,261.4,255.8,230.0,221.8,210.8,,,,,,,,,,,,,
福建省,,256.8,259.7,246.7,252.2,249.5,242.6,,,,,,,,,,,,,
江西省,,263.3,263.4,266.0,241.5,234.5,228.2,,,,,,,,,,,,,
山东省,,234.4,234.0,231.4,225.7,220.7,214.7,,,,,,,,,,,,,
河南省,,262.9,261.0,255.6,241.0,238.5,222.9,,,,,,,,,,,,,
湖北省,,268.6,265.4,263.1,236.4,234.7,227.2,,,,,,,,,,,,,
湖南省,,281.4,280.3,279.2,260.7,254.9,239.9,,,,,,,,,,,,,
广东省,,268.4,270.6,268.2,248.8,241.9,233.7,,,,,,,,,,,,,
广西壮族自治区,,280.0,283.6,282.5,276.4,267.5,256.4,,,,,,,,,,,,,
海南省,,281.9,286.2,275.2,262.4,254.5,235.3,,,,,,,,,,,,,
重庆市,,264.8,265.1,261.4,250.4,245.9,232.2,,,,,,,,,,,,,
四川省,,257.3,257.6,252.4,243.5,239.6,221.6,,,,,,,,,,,,,
贵州省,,294.6,294.1,285.3,275.3,263.5,241.8,,,,,,,,,,,,,
云南省,,276.6,278.2,267.2,259.6,253.5,235.1,,,,,,,,,,,,,
西藏自治区,,244.9,240.5,235.0,203.7,199.4,185.8,,,,,,,,,,,,,
陕西省,,249.1,248.5,247.0,244.9,243.8,237.4,,,,,,,,,,,,,
甘肃省,,277.6,274.8,275.3,255.8,251.8,235.7,,,,,,,,,,,,,
青海省,,261.5,261.5,254.6,252.6,247.1,233.5,,,,,,,,,,,,,
宁夏回族自治区,,271.0,270.7,265.5,269.0,265.1,255.9,,,,,,,,,,,,,
新疆维吾尔自治区,,235.3,225.2,212.5,208.3,202.9,192.7,,,,,,,,,,,,,
数据来源：国家统计局
