数据库：分省年度数据
指标：居民平均每百户年末计算机拥有量(台)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,92.7,91.8,91.4,101.1,99.8,101.9,,,,,,,,,,,,,
天津市,,66.9,68.6,70.6,74.2,73.3,68.1,,,,,,,,,,,,,
河北省,,50.7,52.5,64.0,59.5,58.6,57.5,,,,,,,,,,,,,
山西省,,45.4,45.1,45.9,55.6,54.6,53.7,,,,,,,,,,,,,
内蒙古自治区,,47.1,45.7,46.3,47.4,46.3,43.5,,,,,,,,,,,,,
辽宁省,,48.4,46.9,47.4,60.7,59.3,53.8,,,,,,,,,,,,,
吉林省,,49.2,49.5,50.2,52.7,52.6,53.3,,,,,,,,,,,,,
黑龙江省,,41.3,40.3,40.9,47.3,46.7,44.5,,,,,,,,,,,,,
上海市,,104.9,104.7,99.2,131.1,131.2,117.3,,,,,,,,,,,,,
江苏省,,62.7,62.2,62.6,78.7,76.6,73.4,,,,,,,,,,,,,
浙江省,,73.7,72.3,72.6,80.7,77.8,77.6,,,,,,,,,,,,,
安徽省,,46.6,45.6,45.8,46.2,45.0,45.3,,,,,,,,,,,,,
福建省,,63.4,61.2,59.4,67.5,67.7,67.6,,,,,,,,,,,,,
江西省,,48.4,46.9,46.3,50.8,48.4,50.4,,,,,,,,,,,,,
山东省,,63.7,63.0,61.7,63.3,61.5,59.2,,,,,,,,,,,,,
河南省,,47.4,46.5,46.1,50.6,51.1,48.1,,,,,,,,,,,,,
湖北省,,57.4,55.7,55.6,53.5,53.2,52.4,,,,,,,,,,,,,
湖南省,,51.3,51.3,51.1,50.7,48.9,47.3,,,,,,,,,,,,,
广东省,,74.3,72.6,69.3,75.8,73.9,70.9,,,,,,,,,,,,,
广西壮族自治区,,48.7,48.7,48.1,53.2,52.4,50.2,,,,,,,,,,,,,
海南省,,42.6,43.3,40.7,48.3,47.4,42.4,,,,,,,,,,,,,
重庆市,,48.0,46.2,45.2,51.7,52.7,49.3,,,,,,,,,,,,,
四川省,,38.9,37.1,36.0,40.5,39.2,35.4,,,,,,,,,,,,,
贵州省,,33.0,31.9,29.2,36.3,33.6,31.7,,,,,,,,,,,,,
云南省,,36.0,33.5,34.4,33.8,33.1,30.7,,,,,,,,,,,,,
西藏自治区,,22.4,21.5,18.8,21.4,20.4,18.7,,,,,,,,,,,,,
陕西省,,40.2,37.3,36.8,49.8,47.3,45.9,,,,,,,,,,,,,
甘肃省,,41.0,38.0,39.1,41.2,39.9,36.7,,,,,,,,,,,,,
青海省,,37.5,36.1,35.5,38.8,38.0,39.0,,,,,,,,,,,,,
宁夏回族自治区,,52.7,51.3,48.9,52.1,50.1,47.3,,,,,,,,,,,,,
新疆维吾尔自治区,,35.8,34.8,36.1,42.7,42.4,39.8,,,,,,,,,,,,,
数据来源：国家统计局
