数据库：分省年度数据
指标：居民平均每百户年末照相机拥有量(台)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,42.5,42.6,42.0,54.4,53.7,59.4,,,,,,,,,,,,,
天津市,,18.5,19.3,20.7,29.6,28.5,31.1,,,,,,,,,,,,,
河北省,,9.9,9.6,15.7,19.2,18.3,19.9,,,,,,,,,,,,,
山西省,,8.4,8.9,8.9,12.2,12.5,13.8,,,,,,,,,,,,,
内蒙古自治区,,11.6,11.7,11.6,15.5,15.5,16.2,,,,,,,,,,,,,
辽宁省,,15.6,15.3,15.8,21.8,21.2,23.6,,,,,,,,,,,,,
吉林省,,8.7,8.8,8.6,14.2,12.6,15.5,,,,,,,,,,,,,
黑龙江省,,7.3,7.4,7.3,12.7,11.6,13.6,,,,,,,,,,,,,
上海市,,33.5,34.0,32.9,47.7,48.0,50.2,,,,,,,,,,,,,
江苏省,,13.3,13.7,14.4,28.6,25.4,27.7,,,,,,,,,,,,,
浙江省,,17.0,17.6,17.3,23.7,23.9,27.7,,,,,,,,,,,,,
安徽省,,9.1,9.1,8.9,11.9,11.4,14.9,,,,,,,,,,,,,
福建省,,11.3,11.6,11.0,15.7,15.9,20.6,,,,,,,,,,,,,
江西省,,8.4,8.8,7.5,11.3,11.5,15.1,,,,,,,,,,,,,
山东省,,17.5,17.1,18.7,26.3,24.1,26.3,,,,,,,,,,,,,
河南省,,6.8,7.0,7.0,10.8,11.3,12.9,,,,,,,,,,,,,
湖北省,,9.7,10.1,10.0,13.8,11.7,15.7,,,,,,,,,,,,,
湖南省,,9.8,9.8,10.0,13.7,13.5,16.0,,,,,,,,,,,,,
广东省,,16.2,16.3,15.9,24.6,24.7,28.4,,,,,,,,,,,,,
广西壮族自治区,,9.5,9.3,10.1,11.7,12.4,16.4,,,,,,,,,,,,,
海南省,,7.0,7.3,8.0,8.6,8.7,10.2,,,,,,,,,,,,,
重庆市,,11.5,11.1,11.3,16.3,16.8,19.1,,,,,,,,,,,,,
四川省,,7.8,7.9,7.5,11.0,10.4,11.9,,,,,,,,,,,,,
贵州省,,4.5,4.5,4.3,7.8,7.4,8.5,,,,,,,,,,,,,
云南省,,9.2,8.4,7.8,13.1,12.6,15.3,,,,,,,,,,,,,
西藏自治区,,6.0,6.1,6.1,11.4,10.6,13.5,,,,,,,,,,,,,
陕西省,,10.2,10.2,10.6,15.9,14.0,17.2,,,,,,,,,,,,,
甘肃省,,9.1,9.7,10.5,12.7,13.0,14.7,,,,,,,,,,,,,
青海省,,8.6,8.8,8.6,11.5,12.1,14.1,,,,,,,,,,,,,
宁夏回族自治区,,8.9,9.3,8.8,12.3,12.9,13.6,,,,,,,,,,,,,
新疆维吾尔自治区,,8.5,9.1,8.6,15.6,15.2,17.0,,,,,,,,,,,,,
数据来源：国家统计局
