数据库：分省年度数据
指标：城区面积(平方公里)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年
北京市,,16410,16410,16410,16410,12187,12187,12187,12187,12187,12187,12187,12187
天津市,2640,2640,2585,2585,2583,2506,2363,2334,2334,2334,2236,2236,2236
河北省,6321,6309,5927,6907,6613,6399,6412,6478,6611,6627,6522,6517,6231
山西省,3020,3164,3298,3298,2893,2837,2729,2999,3427,3401,3348,3270,3250
内蒙古自治区,4984,5082,5058,4885,4872,5373,6765,8356,8501,10997,8537,8330,11802
辽宁省,12509,12895,12899,12800,15148,14316,14084,13974,13967,12822,11656,10925,10775
吉林省,6486,6483,6659,5106,5112,3668,3643,3596,3957,4718,7377,7322,7234
黑龙江省,2574,2528,2588,2583,2736,2578,2787,2766,2718,2653,2589,3136,2990
上海市,6341,6341,6341,6341,6341,6341,6341,6341,6341,6341,6341,6341,6341
江苏省,15797,15536,15536,15368,15278,15111,14610,14308,13957,13272,12463,11396,12251
浙江省,13461,12422,11914,11590,11312,11327,11095,10992,10515,10484,10256,10114,10011
安徽省,6712,6355,6190,6082,6100,6059,5930,5852,5569,5573,5041,5704,5630
福建省,3919,4138,4048,4474,4441,4368,4318,4299,4501,4481,4362,4334,4407
江西省,2997,2941,2493,2422,2369,2179,2115,2113,1950,1891,1719,1627,1603
山东省,23954,23206,22784,22734,22424,21568,21311,21635,21421,20158,19632,18815,18690
河南省,5364,5364,5132,5132,4823,4810,4663,4658,4628,4214,4101,4026,3332
湖北省,8221,8186,8146,8084,8334,8115,7681,7349,9052,9049,9057,9124,9011
湖南省,4779,5103,5452,4592,4373,4582,4286,4312,4623,4602,4122,3630,3370
广东省,16213,16079,16634,16835,17086,16826,17036,16136,15984,17957,18130,18064,18486
广西壮族自治区,5877,5814,5814,5789,5752,5728,5887,6104,6067,5789,5657,5663,5719
海南省,1439,1479,1489,1445,1428,1428,1277,1265,1149,850,833,826,826
重庆市,7779,7660,7440,7440,7438,7027,6643,6134,6106,5697,5696,5591,5591
四川省,8894,8610,8458,8359,7873,10778,6426,6433,6205,5999,5773,5492,5481
贵州省,3702,3651,3245,3184,3105,2680,2644,1828,1817,1674,1658,1658,1656
云南省,3274,3204,3187,3157,3128,3029,2903,3337,2144,2085,1930,1852,1820
西藏自治区,632,632,632,603,450,433,362,339,337,948,782,295,295
陕西省,2597,2431,2692,2621,2335,2312,1610,1555,1504,1373,1431,1406,1379
甘肃省,2005,1978,1994,1591,1580,1570,1555,1450,1292,1437,1426,1398,1392
青海省,736,696,688,688,688,688,636,560,512,512,512,512,512
宁夏回族自治区,951,952,2162,2159,2119,2119,2111,2106,2103,2063,2050,2426,2421
新疆维吾尔自治区,2451,2281,3000,3094,3035,2835,1692,1620,1559,1430,1268,1249,1183
注：2006年以前年份“城区面积”为“城市面积”。
数据来源：国家统计局
