数据库：分省年度数据
指标：建成区面积(平方公里)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,1469,1469,1446,1420,1401,1386,1306,1261,1231,,1350,1311,1289,1254,1200,1182,,
天津市,,1170,1151,1078,1088,1008,885,797,747,722,711,687,662,641,572,540,530,500,,
河北省,,2236,2182,2163,2120,2056,1944,1833,1787,1739,1685,1620,1578,1528,1474,1417,1316,1248,,
山西省,,1267,1223,1180,1178,1158,1123,1097,1041,1014,957,865,823,784,774,734,709,675,,
内蒙古自治区,,1262,1270,1270,1269,1242,1225,1185,1206,1133,1077,1038,975,885,887,830,824,699,,
辽宁省,,2726,2720,2670,2644,2798,2462,2422,2386,2329,2277,2221,2031,1956,1918,1860,1780,1737,,
吉林省,,1566,1555,1539,1452,1426,1399,1363,1344,1294,1271,1237,1193,1135,1051,1013,943,885,,
黑龙江省,,1827,1771,1825,1820,1810,1772,1785,1758,1725,1679,1638,1566,1524,1526,1467,1496,1418,,
上海市,,1238,1238,1238,999,999,999,999,999,999,999,999,,,886,860,820,781,,
江苏省,,4787,4648,4558,4427,4299,4189,4020,3810,3655,3494,3271,3046,2904,2714,2583,2379,2253,,
浙江省,,3157,3022,2919,2829,2673,2591,2489,2399,2296,2221,2129,2033,1939,1851,1744,1680,1509,,
安徽省,,2410,2242,2110,2039,2002,1926,1835,1777,1696,1598,1491,1378,1311,1202,1136,1260,1123,,
福建省,,1648,1621,1588,1517,1469,1414,1326,1263,1203,1130,1059,919,877,819,780,673,628,,
江西省,,1704,1608,1546,1454,1371,1296,1201,1151,1078,1020,934,857,819,801,758,664,632,,
山东省,,5646,5413,5164,4971,4795,4609,4400,4187,3927,3751,3566,3374,3261,3082,2895,2676,2396,,
河南省,,3040,2944,2797,2685,2544,2503,2375,2289,2219,2098,2014,1913,1857,1775,1679,1572,1422,,
湖北省,,2757,2661,2510,2341,2249,2197,2078,2007,1890,1812,1701,1616,1565,1299,1298,1417,1432,,
湖南省,,1959,1856,1837,1709,1626,1573,1540,1505,1465,1408,1321,1239,1195,1112,1037,1033,1003,,
广东省,,6501,6398,6036,5911,5808,5633,5398,5232,5026,4829,4618,4434,4133,4084,3706,3619,3306,,
广西壮族自治区,,1618,1543,1476,1414,1334,1275,1193,1154,1084,1014,940,881,841,814,738,772,710,,
海南省,,391,383,380,324,321,338,303,296,266,238,221,215,205,204,197,194,164,,
重庆市,,1566,1515,1497,1423,1351,1329,1231,1115,1052,1035,870,783,708,667,631,583,514,,
四川省,,3190,3054,2982,2832,2616,2282,2217,2058,1902,1788,1630,1510,1392,1328,1273,1443,1394,,
贵州省,,1118,1086,1053,986,845,789,724,695,586,508,464,460,407,396,405,372,332,,
云南省,,1266,1218,1164,1142,1131,1060,977,936,860,804,751,667,624,578,542,472,428,,
西藏自治区,,168,164,164,148,145,145,126,120,120,90,85,81,79,79,78,75,72,,
陕西省,,1372,1358,1356,1287,1127,1073,968,915,864,809,758,686,660,653,629,562,541,,
甘肃省,,901,876,891,869,870,834,779,727,682,656,633,604,581,553,524,507,495,,
青海省,,235,215,202,200,197,194,166,157,122,122,114,112,111,111,109,106,103,,
宁夏回族自治区,,494,489,482,458,442,455,441,421,400,371,344,321,311,292,269,249,236,,
新疆维吾尔自治区,,1499,1422,1312,1244,1199,1185,1118,1065,960,922,838,800,751,679,674,596,585,,
数据来源：国家统计局
