数据库：分省年度数据
指标：供水综合生产能力(万立方米/日)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,1788.16,1942.56,3198.87,2178.74,2452.45,2496.71,2439.77,2554.53,1644.19,1588.27,1604.10,1572.86,1591.44,1686.90,2635.20,1065.71,1504.30
天津市,480.70,476.90,473.90,468.30,454.55,456.55,447.15,453.54,439.54,429.44,405.18,393.86,365.42,370.45,357.30,358.95,338.32
河北省,831.63,889.10,968.99,885.90,814.64,855.56,809.04,887.82,974.18,995.83,888.89,835.39,833.90,816.71,812.60,830.85,888.60
山西省,420.87,411.66,456.00,457.44,494.40,460.07,453.65,434.63,442.48,422.39,356.01,449.33,444.04,442.14,394.90,346.01,344.69
内蒙古自治区,401.83,410.83,421.13,427.31,422.79,410.19,425.47,378.06,378.70,357.38,341.58,344.66,669.30,372.93,320.20,308.77,308.27
辽宁省,1222.24,1286.62,1198.80,1110.65,1238.25,1289.32,1338.06,1320.17,1339.10,1354.63,1391.14,1386.06,1383.52,1333.02,1372.40,1339.14,1356.87
吉林省,655.63,627.85,616.18,622.86,631.02,653.46,680.18,730.82,747.49,758.57,735.50,720.10,723.00,733.61,816.40,684.98,698.27
黑龙江省,667.39,683.28,760.34,786.56,806.87,828.41,811.14,798.05,891.03,855.53,830.22,813.35,794.24,808.93,883.10,654.38,658.35
上海市,1221.00,1250.00,1250.00,1184.00,1152.00,1137.00,1137.00,1124.00,1145.00,1150.00,1465.64,1434.63,1407.63,1418.63,1492.60,1450.63,1429.00
江苏省,3490.41,3472.51,3491.18,3445.18,3369.65,3104.12,2961.61,2902.56,2749.84,2757.24,2714.73,2534.11,2356.86,2334.72,2166.80,1977.55,1871.40
浙江省,2039.12,1902.37,1831.19,1769.78,1833.52,1794.03,1720.46,1675.50,1537.79,1524.58,1519.85,1401.04,1369.63,1357.90,1228.40,1256.73,1237.34
安徽省,1079.04,997.68,896.55,906.28,1111.57,1094.78,1074.84,1073.97,1029.37,820.17,1992.81,2080.60,1728.70,999.22,938.50,1032.66,1018.87
福建省,889.99,830.99,781.26,766.16,737.04,710.03,717.24,721.94,721.00,682.94,676.42,680.43,672.73,568.13,611.70,699.99,700.66
江西省,646.33,594.28,602.65,550.79,494.30,473.05,457.66,444.51,435.90,444.77,459.23,454.25,435.22,453.17,678.10,654.20,623.85
山东省,1908.07,1924.95,1892.12,1860.20,1807.81,1776.71,1725.23,1701.90,1644.45,1616.88,1477.64,1458.32,1435.40,1474.53,1461.40,1385.29,1342.91
河南省,1256.52,1281.52,1166.64,1150.37,1180.32,1121.39,1083.62,1047.26,1042.31,1037.56,1010.34,1007.79,1013.91,1039.85,1023.70,1026.51,1038.31
湖北省,1597.28,1497.33,1426.14,1453.05,1467.43,1393.78,1354.30,1336.58,1327.98,1351.02,1326.28,1311.69,1326.47,1290.90,1394.60,1424.75,1434.27
湖南省,1154.79,1081.74,1017.91,1024.20,1014.24,1038.35,1031.79,991.00,999.48,985.12,979.41,910.96,1025.34,1041.29,1181.10,1254.64,1234.01
广东省,3949.10,3584.08,3524.39,4071.26,3971.72,3913.77,3555.40,3496.53,3531.36,3506.32,3497.41,3406.48,3176.77,3292.19,3294.80,2995.58,2848.28
广西壮族自治区,708.04,661.91,714.49,701.37,684.66,676.03,644.58,684.16,664.97,636.60,604.35,590.86,594.85,631.78,644.80,656.19,633.04
海南省,198.96,201.62,196.80,161.68,156.19,168.35,153.40,152.20,151.70,174.30,173.00,172.40,182.20,181.40,151.10,149.40,143.80
重庆市,711.01,627.76,616.99,599.87,566.12,529.92,506.89,491.22,447.83,429.27,412.30,420.35,418.16,419.20,391.70,405.61,373.65
四川省,1669.27,1390.62,1101.81,1213.03,1056.64,969.96,950.54,871.35,822.77,812.64,804.48,764.95,755.08,759.18,772.30,880.51,890.18
贵州省,432.74,423.84,361.74,312.95,289.97,257.63,246.18,240.67,250.35,244.94,241.13,240.16,250.26,261.70,271.70,297.22,285.24
云南省,460.78,443.99,424.86,415.19,394.76,381.42,356.95,350.07,353.10,323.60,299.26,282.87,298.85,288.90,294.80,282.36,264.70
西藏自治区,68.45,66.97,68.21,67.48,81.40,56.50,64.50,34.00,59.81,57.50,31.20,25.06,19.31,19.26,17.00,17.80,18.12
陕西省,577.78,566.67,483.89,447.67,445.18,404.99,379.42,370.84,380.48,375.90,371.09,376.33,375.20,371.91,360.70,355.44,381.40
甘肃省,373.80,375.39,355.00,360.96,342.16,392.05,380.79,372.12,370.44,373.81,398.22,397.37,398.44,383.37,355.90,368.91,328.13
青海省,140.80,136.01,102.81,101.31,97.43,98.45,94.97,94.97,84.59,84.59,84.59,78.59,78.59,78.59,87.50,71.79,68.29
宁夏回族自治区,277.22,251.71,235.56,235.59,160.78,161.42,146.80,145.13,144.30,131.80,136.36,130.45,139.42,138.33,133.20,127.57,129.60
新疆维吾尔自治区,753.70,605.06,585.44,738.87,590.80,574.26,524.70,493.29,425.79,385.14,373.11,371.53,340.18,339.52,417.20,359.70,360.30
数据来源：国家统计局
