数据库：分省年度数据
指标：用水人口(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,1885.64,1847.48,1863.40,1876.60,2088.45,1877.70,1859.00,1825.10,1783.70,1740.70,1685.90,1491.80,1439.10,1585.48,1644.39,1654.70,1187.00,,
天津市,,1174.44,1303.82,1296.81,846.90,940.07,875.24,786.49,663.66,649.41,615.43,615.29,607.26,639.02,651.12,568.90,640.48,632.00,,
河北省,,1950.30,1931.96,1896.93,1830.45,1749.79,1685.76,1617.14,1606.27,1593.35,1565.59,1534.94,1527.05,1479.19,1464.29,1332.59,1324.12,1291.21,,
山西省,,1207.60,1195.17,1155.21,1114.00,1122.83,1099.39,1068.59,1037.76,1013.35,986.84,941.20,914.31,884.43,878.26,815.76,812.76,758.95,,
内蒙古自治区,,917.62,918.32,926.86,882.67,878.41,862.07,854.20,851.18,828.58,768.18,736.86,696.48,628.61,600.37,571.83,537.68,517.23,,
辽宁省,,2251.61,2310.14,2279.73,2229.88,2226.78,2250.59,2245.64,2294.95,2233.43,2158.41,2060.39,2041.65,2000.60,1962.82,1907.78,1928.82,1896.21,,
吉林省,,1162.97,1157.24,1144.65,1105.91,1065.05,1096.84,1083.22,1058.19,1051.98,1036.96,957.72,906.88,877.25,866.65,835.98,904.82,811.26,,
黑龙江省,,1401.46,1373.11,1395.63,1403.56,1395.06,1379.26,1325.94,1299.42,1293.41,1239.58,1199.56,1172.81,1130.06,1129.48,1092.79,1127.09,1134.37,,
上海市,,2428.14,2428.14,2423.78,2418.33,2419.70,2415.27,2425.68,2415.15,2380.43,2347.46,2301.91,1921.32,1888.46,1858.08,1815.00,1778.00,1289.13,,
江苏省,,3538.02,3450.64,3380.89,3214.94,3137.98,3068.64,2970.72,2875.15,2785.12,2660.46,2515.63,2443.90,2331.49,2300.91,2209.06,2408.52,2273.66,,
浙江省,,2833.02,2564.40,2545.50,2443.96,2328.21,2166.92,2026.72,1997.40,1876.00,1822.52,1814.96,1758.90,1754.12,1741.47,1396.69,1345.87,1321.86,,
安徽省,,1775.18,1681.33,1604.82,1533.03,1504.98,1471.13,1412.77,1358.51,1310.51,1218.96,1195.59,1148.64,1094.14,1050.38,989.37,1021.43,977.52,,
福建省,,1388.12,1319.62,1307.00,1271.35,1219.15,1175.97,1128.37,1098.37,1065.36,1024.22,993.86,942.49,882.86,895.93,687.86,630.57,625.23,,
江西省,,1308.08,1223.49,1180.68,1126.22,1067.71,1024.85,965.92,938.08,887.94,838.36,801.74,758.35,723.86,691.02,690.57,666.97,639.22,,
山东省,,3982.77,3852.55,3673.06,3526.74,3360.82,3129.04,3036.28,2940.83,2886.48,2792.06,2715.33,2648.44,2624.33,2629.28,2475.98,2629.41,2444.45,,
河南省,,2630.80,2533.36,2431.89,2396.63,2278.01,2308.57,2232.45,2138.58,2108.19,2000.08,1933.33,1737.82,1701.24,1539.62,1545.71,1480.35,1438.64,,
湖北省,,2273.46,2310.06,2269.42,2203.96,2044.98,1948.92,1856.40,1807.26,1782.33,1750.97,1705.37,1640.80,1607.60,1520.25,1435.96,1616.04,1580.57,,
湖南省,,1738.39,1627.97,1667.25,1721.09,1491.42,1454.12,1414.88,1385.31,1350.88,1280.45,1173.74,1127.56,1077.17,1046.18,997.48,946.75,886.42,,
广东省,,6241.10,6146.94,5614.71,5356.42,5349.54,5069.54,4969.33,4822.00,4567.73,4658.75,4329.89,4238.67,4117.01,4377.16,3775.12,3586.86,3154.93,,
广西壮族自治区,,1266.45,1205.62,1151.26,1102.17,1062.59,1018.06,935.54,903.35,883.30,853.15,801.84,743.69,776.18,745.44,637.47,652.44,620.86,,
海南省,,344.89,342.49,355.57,294.20,285.16,287.97,259.13,242.14,233.55,215.57,204.09,190.14,189.22,160.90,144.34,140.04,141.68,,
重庆市,,1524.60,1508.40,1481.76,1471.27,1411.36,1296.13,1203.44,1090.47,1049.40,973.78,996.55,865.54,820.13,779.05,677.50,669.66,644.70,,
四川省,,2760.15,2514.05,2483.78,2349.84,2125.80,1907.23,1796.29,1711.78,1636.69,1532.39,1437.85,1348.02,1292.68,1245.25,1208.84,1361.60,1291.35,,
贵州省,,828.17,797.76,756.68,707.80,650.59,612.67,597.56,578.21,555.94,536.67,509.75,491.22,465.78,430.31,453.84,452.39,448.96,,
云南省,,1007.82,974.19,930.10,915.98,905.56,867.87,810.55,789.09,814.68,755.34,706.80,634.38,586.56,566.81,451.92,442.03,416.53,,
西藏自治区,,98.94,100.38,95.05,68.98,79.77,66.67,59.81,59.82,42.04,44.90,43.80,42.97,39.76,32.70,16.00,20.90,20.60,,
陕西省,,1267.17,1210.12,1143.90,1031.32,946.50,905.01,848.95,831.64,793.07,765.17,782.88,762.18,731.60,741.11,704.74,734.81,729.25,,
甘肃省,,636.43,632.21,632.13,639.13,630.70,618.38,543.55,531.90,523.79,508.13,495.44,477.92,465.01,475.18,467.36,440.00,422.74,,
青海省,,212.78,204.34,191.03,189.06,184.98,183.51,165.10,162.16,136.82,127.24,118.68,111.50,105.09,100.52,98.80,96.52,94.77,,
宁夏回族自治区,,296.50,286.41,291.60,286.79,269.66,272.95,265.96,254.74,242.81,225.98,220.14,212.73,186.41,182.84,168.49,161.73,155.49,,
新疆维吾尔自治区,,884.75,826.32,739.82,744.34,736.77,716.35,710.70,692.97,666.21,646.99,625.67,608.79,547.70,517.62,484.96,510.04,492.89,,
数据来源：国家统计局
