数据库：分省年度数据
指标：液化石油气供气总量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,31.83,43.43,48.06,49.23,50.02,57.63,54.63,47.30,41.82,44.25,32.31,36.73,32.45,32.04,41.83,37.44,43.14,,
天津市,,6.06,5.44,5.73,5.76,5.60,5.05,4.32,4.95,4.91,5.86,5.34,5.90,8.74,2.05,2.15,6.15,6.98,,
河北省,,8.03,14.12,15.67,24.12,17.07,16.64,16.19,18.36,20.54,22.49,20.50,28.41,25.42,26.46,27.98,32.73,33.67,,
山西省,,5.72,6.32,7.46,9.08,3.36,6.62,6.96,7.44,9.05,7.48,6.33,5.59,5.38,6.17,6.58,4.20,3.87,,
内蒙古自治区,,5.71,5.87,5.37,5.24,6.92,5.80,6.31,6.92,9.85,11.32,7.43,8.42,7.23,7.38,9.96,13.83,14.41,,
辽宁省,,54.93,67.93,68.40,65.48,49.25,46.89,49.24,49.52,51.64,50.49,39.51,39.83,39.63,45.65,48.73,40.27,45.64,,
吉林省,,14.12,14.72,15.71,17.98,17.79,15.78,18.46,18.14,22.09,23.63,21.48,21.98,20.81,17.98,18.25,18.43,21.07,,
黑龙江省,,14.68,18.81,19.90,18.92,19.75,21.05,21.44,21.80,20.61,21.11,21.98,19.57,19.87,24.42,29.20,22.86,23.68,,
上海市,,26.84,32.80,31.36,34.45,39.79,42.41,41.80,39.73,39.25,39.43,39.84,40.02,48.92,50.65,45.86,45.26,44.65,,
江苏省,,52.53,55.82,57.51,57.71,51.56,59.36,65.18,70.08,73.58,76.66,76.66,86.57,93.17,99.92,104.23,112.91,122.67,,
浙江省,,83.91,76.94,73.06,69.12,75.97,69.59,70.18,82.17,77.64,80.76,87.80,90.95,93.70,93.83,105.76,106.06,105.07,,
安徽省,,15.77,16.22,15.65,13.11,73.11,73.63,75.26,61.96,53.72,56.72,61.58,59.50,68.05,60.27,60.53,61.36,59.02,,
福建省,,29.05,32.66,32.01,30.81,27.74,28.69,29.83,27.78,28.90,32.48,33.38,34.18,38.59,40.74,38.75,37.81,34.67,,
江西省,,21.21,20.82,20.27,21.83,24.29,22.89,23.73,22.34,20.43,19.43,18.88,17.98,18.55,18.14,16.51,17.45,17.56,,
山东省,,29.14,29.83,31.66,34.75,34.37,36.67,39.55,48.43,51.15,54.15,76.03,87.28,75.83,70.35,56.45,57.22,51.72,,
河南省,,16.54,17.67,21.37,21.48,21.51,21.74,22.35,22.72,23.45,23.82,24.16,23.79,25.06,24.77,23.45,22.59,17.20,,
湖北省,,27.19,33.00,32.40,33.61,34.79,35.21,35.01,36.16,38.62,42.65,42.15,34.35,35.64,39.38,29.43,31.12,31.50,,
湖南省,,25.24,25.69,24.11,20.30,24.39,24.15,18.92,19.52,20.13,26.59,25.29,23.59,27.93,27.54,28.74,29.47,30.04,,
广东省,,255.72,412.37,378.97,363.62,390.19,334.04,368.44,388.90,387.24,404.97,505.60,470.45,447.89,567.34,375.90,410.20,312.13,,
广西壮族自治区,,31.75,30.50,30.62,26.41,25.59,26.23,26.76,30.95,32.61,29.74,30.38,29.68,30.61,46.28,32.43,31.60,27.20,,
海南省,,7.80,7.53,8.72,8.21,8.26,8.22,8.94,9.12,5.53,7.67,6.40,6.17,6.79,7.14,6.66,6.69,6.83,,
重庆市,,5.71,6.12,6.45,7.35,8.16,7.64,9.57,8.79,9.33,9.29,9.28,7.01,6.93,8.16,7.35,9.56,9.60,,
四川省,,20.50,19.44,19.20,19.59,17.46,17.37,17.51,18.36,18.04,20.66,19.11,17.66,18.42,18.33,19.70,16.43,16.39,,
贵州省,,11.74,12.11,11.34,11.41,9.49,8.87,7.60,7.10,6.61,6.54,6.38,6.02,5.81,5.56,5.01,5.38,6.05,,
云南省,,15.03,16.21,14.92,12.93,20.71,21.01,21.06,19.60,17.49,16.24,16.61,15.59,13.06,13.98,13.18,7.04,9.51,,
西藏自治区,,0.86,0.69,0.65,0.61,6.67,6.67,6.25,2.04,2.59,2.47,0.55,82.61,81.33,81.45,81.30,0.15,0.07,,
陕西省,,3.71,3.03,5.27,2.79,2.44,2.88,2.86,3.27,3.15,3.41,4.34,11.11,11.36,8.05,4.55,12.19,5.14,,
甘肃省,,3.40,4.77,4.14,4.45,4.96,8.53,5.97,7.40,15.14,15.17,18.55,18.57,9.76,8.55,7.25,7.19,7.32,,
青海省,,1.72,1.14,0.85,0.75,0.68,0.64,0.62,0.54,0.68,0.66,0.71,0.76,0.87,1.11,1.26,1.43,1.74,,
宁夏回族自治区,,1.48,1.33,0.76,0.89,0.91,1.32,1.99,1.84,1.71,1.40,1.50,1.56,1.59,1.67,2.05,2.27,2.72,,
新疆维吾尔自治区,,5.80,7.48,7.73,6.84,6.01,6.02,5.91,6.50,7.31,8.30,7.96,8.20,9.71,11.43,12.64,14.73,15.45,,
数据来源：国家统计局
