数据库：分省年度数据
指标：道路长度(万公里)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,0.84,0.83,0.83,0.84,0.81,0.81,0.81,0.79,0.79,0.63,0.64,0.62,0.62,0.55,0.59,1.59,0.75
天津市,0.92,0.89,0.82,0.79,0.79,0.76,0.73,0.69,0.65,0.60,0.54,0.55,0.60,0.57,0.60,0.55,0.42
河北省,1.88,1.78,1.73,1.57,1.44,1.34,1.29,1.26,1.24,1.23,1.16,1.04,0.99,0.95,0.90,0.84,0.80
山西省,0.98,0.92,0.86,0.82,0.77,0.73,0.71,0.66,0.64,0.61,0.57,0.57,0.54,0.50,0.52,0.50,0.46
内蒙古自治区,1.05,1.01,0.99,1.00,0.97,0.93,0.86,0.82,0.73,0.68,0.64,0.56,0.52,0.49,0.43,0.39,0.36
辽宁省,2.15,1.95,1.93,1.71,1.64,1.69,1.67,1.62,1.55,1.45,1.42,1.29,1.21,1.15,1.11,1.06,1.04
吉林省,1.10,0.95,0.92,0.91,1.07,0.89,0.89,0.84,0.81,0.77,0.85,0.70,0.66,0.61,0.58,0.54,0.46
黑龙江省,1.37,1.34,1.27,1.24,1.28,1.24,1.23,1.21,1.11,1.06,1.01,0.99,0.97,0.96,0.94,0.93,0.91
上海市,0.55,0.55,0.53,0.52,0.51,0.50,0.49,0.49,0.48,0.47,0.47,0.44,0.43,0.43,1.46,1.22,1.10
江苏省,5.09,4.91,4.80,4.71,4.50,4.07,3.91,3.70,3.50,3.25,3.19,3.00,2.88,2.85,2.71,2.87,2.66
浙江省,2.76,2.53,2.37,2.18,2.12,2.05,1.94,1.88,1.77,1.68,1.55,1.48,1.41,1.37,1.30,1.25,1.13
安徽省,1.78,1.63,1.50,1.40,1.42,1.34,1.29,1.23,1.16,1.09,1.02,0.97,0.93,0.88,0.78,0.80,0.73
福建省,1.44,1.39,1.33,1.14,0.87,0.84,0.80,0.78,0.82,0.72,0.68,0.64,0.60,0.58,0.51,0.49,0.46
江西省,1.27,1.19,1.12,1.03,0.90,0.82,0.72,0.69,0.65,0.61,0.57,0.53,0.48,0.46,0.42,0.39,0.37
山东省,5.00,4.81,4.56,4.36,4.07,4.04,3.94,3.78,3.66,3.47,3.29,3.08,2.87,2.71,2.53,2.52,2.36
河南省,1.63,1.58,1.45,1.39,1.31,1.23,1.16,1.12,1.08,0.99,0.94,0.90,0.87,0.85,0.85,0.71,0.65
湖北省,2.30,2.18,2.06,1.90,1.86,1.79,1.82,1.75,1.75,1.49,1.42,1.36,1.37,1.29,1.26,1.42,1.44
湖南省,1.52,1.31,1.32,1.09,1.23,1.14,1.09,1.09,1.04,0.99,0.86,0.82,0.74,0.71,0.66,0.60,0.55
广东省,4.94,4.93,4.51,3.93,3.89,3.89,3.82,3.68,4.14,4.29,4.08,3.13,3.16,2.93,2.38,2.43,2.25
广西壮族自治区,1.49,1.28,1.04,0.91,0.86,0.82,0.76,0.73,0.70,0.68,0.64,0.60,0.56,0.53,0.49,0.51,0.48
海南省,0.45,0.46,0.46,0.28,0.25,0.24,0.22,0.21,0.21,0.20,0.14,0.14,0.14,0.13,0.12,0.11,0.11
重庆市,1.09,1.01,0.95,0.94,0.85,0.77,0.69,0.62,0.60,0.54,0.51,0.49,0.46,0.43,0.40,0.36,0.34
四川省,2.55,2.04,1.78,1.61,1.48,1.34,1.25,1.19,1.13,1.02,0.96,0.91,0.85,0.81,0.78,0.90,0.83
贵州省,0.93,0.53,0.50,0.43,0.40,0.35,0.33,0.31,0.25,0.24,0.23,0.22,0.22,0.21,0.20,0.22,0.21
云南省,0.82,0.78,0.70,0.61,0.60,0.62,0.73,0.52,0.49,0.46,0.40,0.35,0.45,0.31,0.29,0.28,0.25
西藏自治区,0.10,0.08,0.08,0.07,0.11,0.10,0.06,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.05,0.04
陕西省,0.95,0.91,0.86,0.79,0.68,0.65,0.62,0.58,0.54,0.50,0.48,0.46,0.43,0.41,0.36,0.32,0.31
甘肃省,0.60,0.56,0.51,0.49,0.47,0.45,0.42,0.38,0.36,0.35,0.34,0.33,0.31,0.25,0.33,0.30,0.28
青海省,0.16,0.15,0.12,0.11,0.10,0.10,0.09,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05
宁夏回族自治区,0.30,0.27,0.24,0.23,0.22,0.21,0.21,0.20,0.19,0.18,0.19,0.16,0.14,0.17,0.15,0.13,0.12
新疆维吾尔自治区,1.27,1.19,1.06,0.79,0.78,0.74,0.68,0.65,0.58,0.55,0.52,0.49,0.47,0.43,0.40,0.38,0.37
数据来源：国家统计局
